api,search_phrase,file,records_in_page,reported_total,page
DataCite,randomised controlled trial,datacite_randomised_controlled_trial_1.json,1000,1289,1
DataCite,randomised controlled trial,datacite_randomised_controlled_trial_2.json,289,1289,2
DataCite,randomised trial,datacite_randomised_trial_1.json,1000,1776,1
DataCite,randomised trial,datacite_randomised_trial_2.json,776,1776,2
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_1.json,1000,6058,1
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_2.json,1000,6058,2
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_3.json,1000,6058,3
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_4.json,1000,6058,4
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_5.json,1000,6058,5
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_6.json,1000,6058,6
DataCite,randomized controlled trial,datacite_randomized_controlled_trial_7.json,58,6058,7
DataCite,randomized trial,datacite_randomized_trial_1.json,1000,8672,1
DataCite,randomized trial,datacite_randomized_trial_2.json,1000,8672,2
DataCite,randomized trial,datacite_randomized_trial_3.json,1000,8672,3
DataCite,randomized trial,datacite_randomized_trial_4.json,1000,8672,4
DataCite,randomized trial,datacite_randomized_trial_5.json,1000,8672,5
DataCite,randomized trial,datacite_randomized_trial_6.json,1000,8672,6
DataCite,randomized trial,datacite_randomized_trial_7.json,1000,8672,7
DataCite,randomized trial,datacite_randomized_trial_8.json,1000,8672,8
DataCite,randomized trial,datacite_randomized_trial_9.json,672,8672,9
Harvard Dataverse API,randomised controlled trial,harvard_randomised_controlled_trial_1.json,101,101,
Harvard Dataverse API,randomised trial,harvard_randomised_trial_1.json,23,23,
Harvard Dataverse API,randomized control trial,harvard_randomized_control_trial_1.json,1000,1282,
Harvard Dataverse API,randomized control trial,harvard_randomized_control_trial_2.json,282,1282,
Harvard Dataverse API,randomized controlled trial,harvard_randomized_controlled_trial_1.json,1000,1219,
Harvard Dataverse API,randomized controlled trial,harvard_randomized_controlled_trial_2.json,219,1219,
Harvard Dataverse API,randomized trial,harvard_randomized_trial_1.json,323,323,
