Variablesusedfor2IUDpaper	B	C
"Variable name"	"Label "	"Description"
"fakeid"	"Fake Participant ID"	""
"month"	"month of visit"	"0, 3, 6, 12, 18 and  24"
"PID"	"pelvic inflammatory disease "	"0=No; 1=Yes"
"preg"	"pregnancy at the month of visit"	"0=No; 1=Yes"
"ECTOP"	"ectopic pregnancy"	"0=No; 1=Yes"
"expl"	"expulsion "	" 1=Yes"
"expldate"	"date of IUD expulsion"	""
"IUDDC"	"discontinuation "	"0=No; 1=Yes"
"iuddcdate"	"date of IUD discontinuation"	""
"arm"	"treatment group "	" LNG IUD; C-IUD"
"gvl"	"genital tract HIV viral load  detectable"	"0=No; 1=Yes"
"gvlquant"	"genital tract HIV viral load "	""
"gvldate"	"date of gvl measured"	""
"pvl"	"plasma VL detectable"	"0=No; 1=Yes"
"pvlquant"	"plasma VL "	""
"pvldate"	"date of pvl measured"	""
"trich"	"Trichomonas vaginalis (TV)"	"0=No; 1=Yes"
"trichdate"	"date of TV testing"	""
"trichtreatdate"	"date TV treated"	""
"bv"	"sialidase-positive bacterial vaginosis (BV)"	"0=No; 1=Yes"
"bvdate"	"date of BV testing"	""
"bvtreatdate"	"date BV treated"	""
"sy"	"Syphilis"	"0=No; 1=Yes"
"sy_rapiddate"	"dateSyphilis testing "	""
"ct"	"Chlamydia trachomatis (CT)"	"0=No; 1=Yes"
"ctdate"	"date of CT testing"	""
"cttreatdate"	"date CT treated"	""
"gc"	" gonorrhea "	"0=No; 1=Yes"
"gcdate"	"date of  gonorrhea  testing"	""
"gctreatdate"	"date  gonorrhea  treated"	""
"anyrti"	"any breproductive tract infection"	"0=No; 1=Yes"
"hbg"	"Hemoglobin "	""
"cd4"	"CD 4 count"	""
"cd4date"	"date of CD 4 count measured"	""
"art"	"received ART"	"0=No; 1=Yes"
"iud_remove"	"IUD removal "	" 1=Yes"
"iud_removedate"	"date of IUD removal"	""
"iud_reason"	"reason for IUD removal"	""
"iud_expulsion"	"IUD expulsion"	" 1=Yes"
"iud_expulsiondate"	"date of IUD expulsion"	""
"iud_replaced"	"IUD replacement"	"0=No; 1=Yes"
"iud_replacedate"	"date of IUD replaced"	""
"iud_nonelect"	"not elected IUD removal "	"0=No; 1=Yes"
"artgroup"	"ART group "	"1=pre-ART; 2=ART using"
"enddate"	"end of study date"	""
"age"	"age at the enrollemnt"	""
"education"	"Completed secondary education"	"0=No; 1=Yes"
"employed"	"Currently employed"	"0=No; 1=Yes"
"everpreg"	"Ever pregnant"	"0=No; 1=Yes"
"sexparts"	"Number of sex partners in past 12 months"	""
"sexfreq"	"Sexual frequency, last 3 months"	""
"hivdate"	"date of HIV diagnosis"	""
"enrolldate"	"date of enrollment"	""
"ATPOP"	"incled in at treated analysis population"	"0=No; 1=Yes"
