Trial_ID,Candidate_ID,variable_name,variable_type,brief_explanation
trial116,RCTC-01557,Treatment,Treatment,Randomized treatment assignment arm.
trial116,RCTC-01557,X_source_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,YP_dass_total_t2,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial116,RCTC-01557,YP_delta_dass_total_t2,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial116,RCTC-01557,YP_factg_total_t2,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial116,RCTC-01557,YP_delta_factg_total_t2,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial116,RCTC-01557,YS_dass_total_t1,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial116,RCTC-01557,YS_delta_dass_total_t1,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial116,RCTC-01557,YS_dass_stress_t2,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial116,RCTC-01557,YS_dass_anxiety_t2,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial116,RCTC-01557,YS_dass_depression_t2,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial116,RCTC-01557,X_dass_total_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_factg_total_0m,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_age_years,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_education_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_religion_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_residence_place_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_job_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_marital_status_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_income_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_cancer_diagnosis_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_cancer_stage_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_treatment_type_code,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_chemotherapy_time,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial116,RCTC-01557,X_regimen_number,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial117,RCTC-02282,Treatment,Treatment,Randomized treatment assignment arm.
trial117,RCTC-02282,X_source_patient_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial117,RCTC-02282,YP_delta_mrr_post_pre,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial117,RCTC-02282,YP_mrr_post,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial117,RCTC-02282,YS_delta_vrr_post_pre,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial117,RCTC-02282,YS_vrr_post,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial117,RCTC-02282,YS_delta_vtv_post_pre,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial117,RCTC-02282,YS_vtv_post,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
trial117,RCTC-02282,X_mrr_pre,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial117,RCTC-02282,X_vrr_pre,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial117,RCTC-02282,X_vtv_pre,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial117,RCTC-02282,X_repeated_rows_aggregated,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,Treatment,Treatment,Randomized treatment assignment arm.
trial118,RCTC-05010,X_subject_id,Baseline covariate,"Baseline covariate, source identifier, or pre-treatment/pre-stress measurement retained for adjustment/provenance."
trial118,RCTC-05010,YP_cognitive_composite_180_bd_full_adj,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial118,RCTC-05010,YP_cognitive_composite_180_crude_full_adj,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial118,RCTC-05010,YP_moca_visit3,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial118,RCTC-05010,YP_delta_moca_visit3,Primary outcome,Primary or primary-like outcome variable constructed from available source data.
trial118,RCTC-05010,YS_hamilton_anxiety_visit3,Secondary outcome,Secondary outcome or supportive follow-up outcome variable.
