Trial_ID,variable_name,variable_type,brief_explanation
trial96,Treatment,treatment,Randomized treatment assignment.
trial96,YP_delta_tewl_7d,primary_outcome,Primary outcome: delta tewl 7d
trial96,YS_delta_moisture_7d,secondary_outcome,Secondary outcome: delta moisture 7d
trial96,YS_delta_skin_ph_7d,secondary_outcome,Secondary outcome: delta skin ph 7d
trial96,X_tewl_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: tewl 0d
trial96,X_moisture_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: moisture 0d
trial96,X_skin_ph_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: skin ph 0d
trial96,X_operating_room_experience_years_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: operating room experience years 0d
trial96,X_age_decade_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: age decade 0d
trial96,X_dominant_hand_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: dominant hand 0d
trial96,X_handwashing_method_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: handwashing method 0d
trial96,X_inner_glove_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: inner glove 0d
trial96,X_handwash_count_0d,baseline_covariate,Baseline covariate or pre-treatment measurement: handwash count 0d
