Trial_ID,variable_name,variable_type,brief_explanation
81,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
81,YP_nausea_present_24h,Primary outcome,Primary outcome: nausea present 24h
81,YS_rhodes_nausea_vomiting_score_24h,Secondary outcome,Secondary outcome: rhodes nausea vomiting score 24h
81,YS_nausea_intensity_24h,Secondary outcome,Secondary outcome: nausea intensity 24h
81,YS_vomiting_episodes_24h,Secondary outcome,Secondary outcome: vomiting episodes 24h
81,YS_rescue_medication_24h,Secondary outcome,Secondary outcome: rescue medication 24h
81,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
81,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
81,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
81,X_height_m,Baseline covariate,Baseline covariate or pre-treatment measurement: height m
81,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
81,X_operating_room,Baseline covariate,Baseline covariate or pre-treatment measurement: operating room
81,X_asa,Baseline covariate,Baseline covariate or pre-treatment measurement: asa
81,X_surgery_duration_min,Baseline covariate,Baseline covariate or pre-treatment measurement: surgery duration min
82,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
82,YP_postoperative_atrial_fibrillation,Primary outcome,Primary outcome: postoperative atrial fibrillation
82,YS_af_episode_count,Secondary outcome,Secondary outcome: af episode count
82,YS_ventilation_hours,Secondary outcome,Secondary outcome: ventilation hours
82,YS_cicu_stay_days,Secondary outcome,Secondary outcome: cicu stay days
82,YS_hdu_stay_days,Secondary outcome,Secondary outcome: hdu stay days
82,YS_hospital_stay_days,Secondary outcome,Secondary outcome: hospital stay days
82,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
82,X_gender,Baseline covariate,Baseline covariate or pre-treatment measurement: gender
82,X_ethnicity,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnicity
82,X_euroscore,Baseline covariate,Baseline covariate or pre-treatment measurement: euroscore
82,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
82,X_nyha,Baseline covariate,Baseline covariate or pre-treatment measurement: nyha
82,X_left_atrial_size,Baseline covariate,Baseline covariate or pre-treatment measurement: left atrial size
