Trial_ID,variable_name,variable_type,brief_explanation
81,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
81,X_mqol_total_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: mqol total 0m
81,X_qolfa_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: qolfa 0m
81,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
81,X_gender_code,Baseline covariate,Baseline covariate or pre-treatment measurement: gender code
81,X_site,Baseline covariate,Baseline covariate or pre-treatment measurement: site
81,X_income,Baseline covariate,Baseline covariate or pre-treatment measurement: income
81,X_born_canada,Baseline covariate,Baseline covariate or pre-treatment measurement: born canada
81,X_marital_4c,Baseline covariate,Baseline covariate or pre-treatment measurement: marital 4c
81,X_education_4c,Baseline covariate,Baseline covariate or pre-treatment measurement: education 4c
81,X_days_since_start,Baseline covariate,Baseline covariate or pre-treatment measurement: days since start
81,YP_mqol_total_final,Primary outcome,Primary outcome: mqol total final
81,YP_delta_mqol_total,Primary outcome,Primary outcome: delta mqol total
81,YS_qolfa_final,Secondary outcome,Secondary outcome: qolfa final
81,YS_delta_qolfa,Secondary outcome,Secondary outcome: delta qolfa
81,X_observed_followup_periods,Baseline covariate,Baseline covariate or pre-treatment measurement: observed followup periods
82,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
82,YP_days_achieved_goal,Primary outcome,Primary outcome: days achieved goal
82,YS_adherent_days,Secondary outcome,Secondary outcome: adherent days
82,YS_average_steps,Secondary outcome,Secondary outcome: average steps
82,YS_sum_steps,Secondary outcome,Secondary outcome: sum steps
82,X_language,Baseline covariate,Baseline covariate or pre-treatment measurement: language
82,X_historic_average_steps,Baseline covariate,Baseline covariate or pre-treatment measurement: historic average steps
82,X_participation_days,Baseline covariate,Baseline covariate or pre-treatment measurement: participation days
82,X_step_goal,Baseline covariate,Baseline covariate or pre-treatment measurement: step goal
82,X_goal_difficulty,Baseline covariate,Baseline covariate or pre-treatment measurement: goal difficulty
82,X_no_of_days,Baseline covariate,Baseline covariate or pre-treatment measurement: no of days
83,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
83,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
83,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
83,X_employed,Baseline covariate,Baseline covariate or pre-treatment measurement: employed
83,X_gravid,Baseline covariate,Baseline covariate or pre-treatment measurement: gravid
83,X_ever_pregnant,Baseline covariate,Baseline covariate or pre-treatment measurement: ever pregnant
83,X_sex_partners,Baseline covariate,Baseline covariate or pre-treatment measurement: sex partners
83,X_sex_frequency,Baseline covariate,Baseline covariate or pre-treatment measurement: sex frequency
83,X_art,Baseline covariate,Baseline covariate or pre-treatment measurement: art
83,X_hbg,Baseline covariate,Baseline covariate or pre-treatment measurement: hbg
83,X_cd4_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: cd4 0m
83,X_gvl_detectable_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: gvl detectable 0m
83,X_pvl_detectable_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: pvl detectable 0m
83,YP_gvl_detectable_6m,Primary outcome,Primary outcome: gvl detectable 6m
83,YP_gvl_detectable_24m,Primary outcome,Primary outcome: gvl detectable 24m
83,YP_gvl_detectable_any_6_24m,Primary outcome,Primary outcome: gvl detectable any 6 24m
83,YS_iud_removal_any_24m,Secondary outcome,Secondary outcome: iud removal any 24m
83,YS_iud_expulsion_any_24m,Secondary outcome,Secondary outcome: iud expulsion any 24m
83,YS_any_rti_any_24m,Secondary outcome,Secondary outcome: any rti any 24m
83,YS_pvl_detectable_6m,Secondary outcome,Secondary outcome: pvl detectable 6m
83,YS_pvl_detectable_24m,Secondary outcome,Secondary outcome: pvl detectable 24m
83,YS_cd4_final,Secondary outcome,Secondary outcome: cd4 final
83,YS_delta_cd4_final,Secondary outcome,Secondary outcome: delta cd4 final
84,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
84,X_site,Baseline covariate,Baseline covariate or pre-treatment measurement: site
84,X_screen_age_category,Baseline covariate,Baseline covariate or pre-treatment measurement: screen age category
84,X_screen_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: screen sex
84,X_screen_score,Baseline covariate,Baseline covariate or pre-treatment measurement: screen score
84,X_education_years,Baseline covariate,Baseline covariate or pre-treatment measurement: education years
84,X_job,Baseline covariate,Baseline covariate or pre-treatment measurement: job
84,X_marital,Baseline covariate,Baseline covariate or pre-treatment measurement: marital
84,X_depression_score,Baseline covariate,Baseline covariate or pre-treatment measurement: depression score
84,X_depression_binary,Baseline covariate,Baseline covariate or pre-treatment measurement: depression binary
84,X_prep_stress,Baseline covariate,Baseline covariate or pre-treatment measurement: prep stress
84,X_necessity,Baseline covariate,Baseline covariate or pre-treatment measurement: necessity
84,X_concerns,Baseline covariate,Baseline covariate or pre-treatment measurement: concerns
84,X_self_esteem,Baseline covariate,Baseline covariate or pre-treatment measurement: self esteem
84,X_ipv,Baseline covariate,Baseline covariate or pre-treatment measurement: ipv
84,X_hiv_stigma,Baseline covariate,Baseline covariate or pre-treatment measurement: hiv stigma
84,X_prep_stigma,Baseline covariate,Baseline covariate or pre-treatment measurement: prep stigma
84,YP_prep_adherence_percent_final,Primary outcome,Primary outcome: prep adherence percent final
84,YS_pharmacy_adherence_percent_final,Secondary outcome,Secondary outcome: pharmacy adherence percent final
84,YS_prep_adherence_percent_month_final,Secondary outcome,Secondary outcome: prep adherence percent month final
84,YS_pharmacy_adherence_percent_month_final,Secondary outcome,Secondary outcome: pharmacy adherence percent month final
84,YS_dbs_tfvdp_adjusted_final,Secondary outcome,Secondary outcome: dbs tfvdp adjusted final
85,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
85,YP_nausea_present_24h,Primary outcome,Primary outcome: nausea present 24h
85,YS_rhodes_nausea_vomiting_score_24h,Secondary outcome,Secondary outcome: rhodes nausea vomiting score 24h
85,YS_nausea_intensity_24h,Secondary outcome,Secondary outcome: nausea intensity 24h
85,YS_vomiting_episodes_24h,Secondary outcome,Secondary outcome: vomiting episodes 24h
85,YS_rescue_medication_24h,Secondary outcome,Secondary outcome: rescue medication 24h
85,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
85,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
85,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
85,X_height_m,Baseline covariate,Baseline covariate or pre-treatment measurement: height m
85,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
85,X_operating_room,Baseline covariate,Baseline covariate or pre-treatment measurement: operating room
85,X_asa,Baseline covariate,Baseline covariate or pre-treatment measurement: asa
85,X_surgery_duration_min,Baseline covariate,Baseline covariate or pre-treatment measurement: surgery duration min
86,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
86,YP_postoperative_atrial_fibrillation,Primary outcome,Primary outcome: postoperative atrial fibrillation
86,YS_af_episode_count,Secondary outcome,Secondary outcome: af episode count
86,YS_ventilation_hours,Secondary outcome,Secondary outcome: ventilation hours
86,YS_cicu_stay_days,Secondary outcome,Secondary outcome: cicu stay days
86,YS_hdu_stay_days,Secondary outcome,Secondary outcome: hdu stay days
86,YS_hospital_stay_days,Secondary outcome,Secondary outcome: hospital stay days
86,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
86,X_gender,Baseline covariate,Baseline covariate or pre-treatment measurement: gender
86,X_ethnicity,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnicity
86,X_euroscore,Baseline covariate,Baseline covariate or pre-treatment measurement: euroscore
86,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
86,X_nyha,Baseline covariate,Baseline covariate or pre-treatment measurement: nyha
86,X_left_atrial_size,Baseline covariate,Baseline covariate or pre-treatment measurement: left atrial size
86,X_right_atrial_size,Baseline covariate,Baseline covariate or pre-treatment measurement: right atrial size
86,X_ejection_fraction,Baseline covariate,Baseline covariate or pre-treatment measurement: ejection fraction
86,X_diabetes,Baseline covariate,Baseline covariate or pre-treatment measurement: diabetes
86,X_hypertension,Baseline covariate,Baseline covariate or pre-treatment measurement: hypertension
86,X_asthma,Baseline covariate,Baseline covariate or pre-treatment measurement: asthma
86,X_copd,Baseline covariate,Baseline covariate or pre-treatment measurement: copd
86,X_ckd,Baseline covariate,Baseline covariate or pre-treatment measurement: ckd
86,X_hypercholesterolemia,Baseline covariate,Baseline covariate or pre-treatment measurement: hypercholesterolemia
86,X_smoker,Baseline covariate,Baseline covariate or pre-treatment measurement: smoker
86,X_alcohol,Baseline covariate,Baseline covariate or pre-treatment measurement: alcohol
86,X_cross_clamp_time,Baseline covariate,Baseline covariate or pre-treatment measurement: cross clamp time
86,X_bypass_time,Baseline covariate,Baseline covariate or pre-treatment measurement: bypass time
87,Treatment,Treatment assignment,Randomized treatment assignment; control or reference arm is first when identifiable.
87,YP_delta_hunger_day_x3_x1,Primary outcome,Primary outcome: delta hunger day x3 x1
87,YP_hunger_day_x3,Primary outcome,Primary outcome: hunger day x3
87,YP_delta_satisfaction_last_meal_x3_x1,Primary outcome,Primary outcome: delta satisfaction last meal x3 x1
87,YP_satisfaction_last_meal_x3,Primary outcome,Primary outcome: satisfaction last meal x3
87,YP_delta_full_after_3_meals_x3_x1,Primary outcome,Primary outcome: delta full after 3 meals x3 x1
87,YP_full_after_3_meals_x3,Primary outcome,Primary outcome: full after 3 meals x3
87,YP_delta_weight_kg_x3_x1,Primary outcome,Primary outcome: delta weight kg x3 x1
87,YP_weight_kg_x3,Primary outcome,Primary outcome: weight kg x3
87,YP_delta_waist_circumference_x3_x1,Primary outcome,Primary outcome: delta waist circumference x3 x1
87,YP_waist_circumference_x3,Primary outcome,Primary outcome: waist circumference x3
87,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
87,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
87,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
87,X_ethnicity,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnicity
87,X_hunger_day_x1,Baseline covariate,Baseline covariate or pre-treatment measurement: hunger day x1
