Trial_ID,variable_name,variable_type,brief_explanation
51,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
51,X_age_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0w
51,X_calmness_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: calmness 0w
51,X_fatigue_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: fatigue 0w
51,X_height_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: height 0w
51,X_morningness_eveningness_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: morningness eveningness 0w
51,X_sleep_quality_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: sleep quality 0w
51,X_training_hours_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: training hours 0w
51,X_training_sessions_per_week_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: training sessions per week 0w
51,X_weight_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: weight 0w
51,YP_sleep_latency_7d,Primary outcome,Primary outcome: sleep latency 7d
51,YS_delta_calmness_post,Secondary outcome,Secondary outcome: delta calmness post
51,YS_delta_fatigue_post,Secondary outcome,Secondary outcome: delta fatigue post
51,YS_delta_subjective_sleep_quality_post,Secondary outcome,Secondary outcome: delta subjective sleep quality post
51,YS_sleep_efficiency_7d,Secondary outcome,Secondary outcome: sleep efficiency 7d
52,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
52,X_age_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0w
52,X_albumin_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: albumin 0w
52,X_bsfs_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: bsfs 0w
52,X_bun_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: bun 0w
52,X_calcium_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: calcium 0w
52,X_creatinine_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: creatinine 0w
52,X_crp_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: crp 0w
52,X_diabetes_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: diabetes 0w
52,X_dialysis_vintage_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: dialysis vintage 0w
52,X_dry_weight_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: dry weight 0w
52,X_hb_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: hb 0w
52,X_ipth_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: ipth 0w
52,X_ktv_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: ktv 0w
52,X_male_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: male 0w
52,X_serum_phosphorus_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: serum phosphorus 0w
52,YP_delta_bsfs_7w,Primary outcome,Primary outcome: delta bsfs 7w
52,YP_delta_serum_phosphorus_23w,Primary outcome,Primary outcome: delta serum phosphorus 23w
53,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
53,X_age_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0d
53,X_anesthesia_duration_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: anesthesia duration 0d
53,X_asa_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: asa 0d
53,X_bmi_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0d
53,X_male_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: male 0d
53,X_surgery_duration_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: surgery duration 0d
53,X_surgical_approach_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: surgical approach 0d
53,YP_total_sufentanil_perioperative,Primary outcome,Primary outcome: total sufentanil perioperative
53,YS_nrs_dynamic_24h,Secondary outcome,Secondary outcome: nrs dynamic 24h
53,YS_nrs_static_24h,Secondary outcome,Secondary outcome: nrs static 24h
53,YS_qor40,Secondary outcome,Secondary outcome: qor40
53,YS_rescue_analgesia,Secondary outcome,Secondary outcome: rescue analgesia
53,YS_sufentanil_0_24h,Secondary outcome,Secondary outcome: sufentanil 0 24h
54,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
54,X_age_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: age 0m
