"Trial_ID","n_outcomes_checked","usable_outcomes","high_missing_outcomes","zero_complete_outcomes","analysis_preflight_pass"
51,5,5,"","",TRUE
52,2,1,"YP_delta_bsfs_7w","",TRUE
53,6,6,"","",TRUE
54,3,3,"","",TRUE
55,3,3,"","",TRUE
56,6,6,"","",TRUE
57,5,5,"","",TRUE
58,6,6,"","",TRUE
59,7,7,"","",TRUE
60,4,4,"","",TRUE
61,4,4,"","",TRUE
62,4,4,"","",TRUE
63,7,7,"","",TRUE
64,6,6,"","",TRUE
65,8,8,"","",TRUE
66,8,8,"","",TRUE
67,6,6,"","",TRUE
68,4,4,"","",TRUE
69,95,95,"","",TRUE
70,9,9,"","",TRUE
71,4,4,"","",TRUE
72,4,4,"","",TRUE
73,10,9,"YS_ai_call_satisfaction_likert","",TRUE
74,6,6,"","",TRUE
75,6,6,"","",TRUE
76,9,9,"","",TRUE
77,5,5,"","",TRUE
78,6,6,"","",TRUE
79,6,5,"YS_total_usability","",TRUE
80,7,7,"","",TRUE
81,5,5,"","",TRUE
82,6,6,"","",TRUE
83,9,9,"","",TRUE
84,6,6,"","",TRUE
85,12,12,"","",TRUE
86,5,5,"","",TRUE
87,16,16,"","",TRUE
88,5,5,"","",TRUE
89,4,4,"","",TRUE
90,2,2,"","",TRUE
91,21,21,"","",TRUE
92,8,8,"","",TRUE
93,4,3,"YS_pills_remaining_observed","",TRUE
94,9,9,"","",TRUE
95,8,7,"YS_attempt_count","",TRUE
96,3,3,"","",TRUE
97,4,4,"","",TRUE
98,2,2,"","",TRUE
99,4,4,"","",TRUE
100,2,2,"","",TRUE
101,2,2,"","",TRUE
102,3,3,"","",TRUE
103,2,2,"","",TRUE
104,3,3,"","",TRUE
105,3,3,"","",TRUE
106,3,3,"","",TRUE
107,1,1,"","",TRUE
108,4,4,"","",TRUE
109,2,2,"","",TRUE
110,3,2,"YS_hgb_8w","",TRUE
111,2,2,"","",TRUE
112,3,3,"","",TRUE
113,3,3,"","",TRUE
114,1,1,"","",TRUE
115,3,2,"YS_sought_treatment_postpartum","",TRUE
116,9,9,"","",TRUE
117,6,6,"","",TRUE
118,9,9,"","",TRUE
119,9,9,"","",TRUE
120,4,4,"","",TRUE
121,6,6,"","",TRUE
