"Trial_ID","n_outcomes","usable_outcomes","high_missing"
1,15,15,""
2,5,5,""
3,8,8,""
4,4,4,""
5,23,16,"YS_acearb_stopped_24h;YS_nsaid_stopped_24h;YS_no_nsaid_during_aki;YS_no_acearb_during_aki;YS_opioid_14d;YS_ventorder_14d;YS_max_pain_score_14d"
6,27,21,"YS_delta_insulin_12m;YS_delta_insulin_24m;YS_delta_albumin_12m;YS_delta_albumin_24m;YS_delta_cystatin_c_12m;YS_delta_cystatin_c_24m"
7,8,8,""
8,6,6,""
9,21,21,""
10,23,22,"YS_BIS_before_induc"
11,11,11,""
12,59,51,"YS_op_payment_6m;YS_nf_payment_6m;YS_oth_payment_6m;YS_total_payment_6m;YS_op_payment_12m;YS_nf_payment_12m;YS_oth_payment_12m;YS_total_payment_12m"
13,17,17,""
14,23,23,""
15,14,14,""
16,5,5,""
17,4,4,""
18,13,13,""
19,11,11,""
20,10,10,""
21,7,7,""
22,14,5,"YS_postnatal_8wks;YS_remembered_tool;YS_read_tool;YS_found_answers;YS_learned_new;YS_helped_plan;YS_changed_plans;YS_took_to_meeting;YS_called_numbers"
23,16,16,""
24,5,3,"YS_anxiety_1d;YS_comfort_1d"
25,17,17,""
26,7,7,""
27,10,8,"YS_pain_PACU;YS_endocrine_status_3m"
28,13,13,""
29,7,5,"YS_depression_4w;YS_depression_12w"
30,9,9,""
31,6,6,""
32,9,9,""
33,2,2,""
34,8,8,""
35,16,10,"YS_delta_Anxiety_PostPP;YS_delta_Depressed_PostPP;YS_delta_Poswellbeing_PostPP;YS_delta_Selfcontrol_postPP;YS_delta_Generalhealth_postPP;YS_delta_Vitality_postPP"
36,11,11,""
37,1,1,""
38,4,4,""
39,4,2,"YS_anysub;YS_daysanysub"
40,16,10,"YS_attempt2_time;YS_attempt2_assigned;YS_attempt2_success;YS_attempt3_time;YS_attempt3_assigned;YS_attempt3_success"
41,5,5,""
42,9,9,""
43,6,6,""
44,4,4,""
45,34,34,""
46,6,6,""
47,13,5,"YS_heart_rate_96h;YS_resp_rate_96h;YS_SpO2_96h;YS_WD_score_96h;YS_FiO2_96h;YS_IPAP_96h;YS_EPAP_96h;YS_mech_vent_days"
48,2,1,"YS_COMPLIANCE_16w"
49,19,19,""
50,3,3,""
