Backup_ID,Original_Trial_ID,source,outcome_variable,outcome_role,group,n_nonmissing,n_missing,mean,variance,sd,median,min,max,note
B06,81,backup_cleaned_csv,YP_mqol_summary_final,primary,overall,332,110.0,6.634308,2.608427,1.615063,6.671875,2.322917,10.0,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YP_mqol_summary_final,primary,Arm_2,167,60.0,6.628751,2.649169,1.627627,6.760417,2.322917,10.0,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_mqol_summary_final,primary,Arm_3,165,50.0,6.639931,2.583031,1.607181,6.583333,2.739583,9.75,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_delta_mqol_summary,primary,overall,332,110.0,-0.302269,1.394614,1.180938,-0.003472,-4.46875,3.854167,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YP_delta_mqol_summary,primary,Arm_2,167,60.0,-0.312462,1.515652,1.231118,0.0,-4.46875,3.020833,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_delta_mqol_summary,primary,Arm_3,165,50.0,-0.291953,1.280391,1.131544,-0.052083,-3.25,3.854167,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_qolltif_summary_final,primary,overall,111,331.0,6.811201,2.666328,1.632889,6.733333,2.390476,9.971429,Current backup cleaned file summary.
B06,81,backup_cleaned_csv,YP_qolltif_summary_final,primary,Arm_2,61,166.0,7.01573,2.606025,1.614319,7.128571,3.4,9.738095,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_qolltif_summary_final,primary,Arm_3,50,165.0,6.561676,2.678973,1.636757,6.488095,2.390476,9.971429,Current backup cleaned file summary by Treatment.
B06,81,backup_cleaned_csv,YP_delta_qolltif_summary,primary,overall,111,331.0,-0.249338,1.705021,1.305764,-0.12381,-4.366667,3.352381,Current backup cleaned file summary.
