candidate_id,repository,source_record,file_name,download_url,content_type,declared_size,restricted,role,guestbook_id,local_path,download_status,download_error,bytes_downloaded
RCTC-01532,Harvard Dataverse,10.7910/dvn/cqsqsq,Haruan raw data.tab,https://dataverse.harvard.edu/api/access/datafile/4953273,text/tab-separated-values,68515,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-01532/Haruan raw data.tab,downloaded,,68515
RCTC-04923,Harvard Dataverse,10.7910/dvn/tffsgr,eFig 6-7.tab,https://dataverse.harvard.edu/api/access/datafile/5017837,text/tab-separated-values,2554,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/eFig 6-7.tab,downloaded,,2554
RCTC-04923,Harvard Dataverse,10.7910/dvn/tffsgr,eFig 8-9.tab,https://dataverse.harvard.edu/api/access/datafile/5017838,text/tab-separated-values,160863,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/eFig 8-9.tab,downloaded,,160863
RCTC-04923,Harvard Dataverse,10.7910/dvn/tffsgr,Fig1a_ eFig 3.tab,https://dataverse.harvard.edu/api/access/datafile/5017839,text/tab-separated-values,5037,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/Fig1a_ eFig 3.tab,downloaded,,5037
RCTC-04923,Harvard Dataverse,10.7910/dvn/tffsgr,Fig 1b_eFig 4a_ 4b_ 5.tab,https://dataverse.harvard.edu/api/access/datafile/5017840,text/tab-separated-values,2737,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/Fig 1b_eFig 4a_ 4b_ 5.tab,downloaded,,2737
RCTC-04923,Harvard Dataverse,10.7910/dvn/tffsgr,mapa tablas.docx,https://dataverse.harvard.edu/api/access/datafile/5017841,application/vnd.openxmlformats-officedocument.wordprocessingml.document,12853,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/mapa tablas.docx,downloaded,,12853
RCTC-00064,Harvard Dataverse,10.7910/dvn/bzbhgx,CONSORT Checklist.doc,https://dataverse.harvard.edu/api/access/datafile/5366256,application/msword,223744,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00064/CONSORT Checklist.doc,downloaded,,223744
RCTC-00064,Harvard Dataverse,10.7910/dvn/bzbhgx,Raw Data.tab,https://dataverse.harvard.edu/api/access/datafile/5655304,text/tab-separated-values,105388,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00064/Raw Data.tab,downloaded,,105388
RCTC-05010,Harvard Dataverse,10.7910/dvn/dofciv,rTMS_ITT.xlsx,https://dataverse.harvard.edu/api/access/datafile/7123757,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,160784,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-05010/rTMS_ITT.xlsx,downloaded,,160784
RCTC-02775,Karger Publishers,10.6084/m9.figshare.14730579.v1,Supplementary material-Querfeld_post_hoc_201_Suppl_rev_8Feb.docx,https://ndownloader.figshare.com/files/28298670,,32963,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-02775/Supplementary material-Querfeld_post_hoc_201_Suppl_rev_8Feb.docx,downloaded,,32963
RCTC-00950,Karger Publishers,10.6084/m9.figshare.28759478.v1,Supplementary material-Figure_S1.docx,https://ndownloader.figshare.com/files/53524643,,332097,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00950/Supplementary material-Figure_S1.docx,downloaded,,332097
RCTC-00950,Karger Publishers,10.6084/m9.figshare.28759478.v1,Supplementary material-Figure_S2.doc,https://ndownloader.figshare.com/files/53524646,,70656,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00950/Supplementary material-Figure_S2.doc,downloaded,,70656
RCTC-04272,Mendeley Data,10.17632/bx2gvkty4c.2,LindsayData_PNE.sav,https://data.mendeley.com/public-files/datasets/bx2gvkty4c/files/109c7176-a075-44e5-a45b-4d7ff90a7954/file_downloaded,application/octet-stream,177141,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04272/LindsayData_PNE.sav,downloaded,,177141
RCTC-02282,DataverseNL,10.34894/bazoqf,Data.csv,https://dataverse.nl/api/access/datafile/485947,text/csv,5816,no,data,,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-02282/Data.csv,downloaded,,5816
