candidate_id,source_kind,local_path,file_name,sheet_or_object,read_status,read_error,n_rows_sampled,n_cols,columns_sample,id_candidates,treatment_candidates,treatment_levels_sample,outcome_candidates,numeric_col_count
RCTC-01532,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-01532/Haruan raw data.tab,Haruan raw data.tab,delimited,readable,,275,90,Number; Diabetes; Age; Ethnicity; Ethnicity_1; Gender; Gender_1; Weight; Height; BMI; Capsule; Capsule_1; NYHA; NYHA_1; EF; EF_1; Hypertension; Hypertension_1; Hyperlipidemia; Hyperlipidemia_1; Obesity; Obesity_1; Renalfailure; Renalfailure_1; Status; Status_1; Types; Types_1; Procedure; Procedure_1; Valve; Valve_1; Operationtime; Crossclamptime; Bypasstime; Hospitalstay; ICUstay; Woundpain_Day3; Woundpain_Day4; Woundpain_Day5; Woundpain_Day6; Woundpain_Day7; Woundpain_Day8; Woundpain_6weeks; Woundpain_3months; Woundpain_total; Woundpain_Diabetescapsule; ASEPSIS_Day3; ASEPSIS_Day4; ASEPSIS_Day5; ASEPSIS_Day6; ASEPSIS_Day7; ASEPSIS_Day8; ASEPSIS_6weeks; ASEPSIS_3months; ASEPSIS_diabetescapsule; Mobilization_Day3; Mobilization_Day4; Mobilization_Day5; Mobilization_Day6; Mobilization_Day7; Mobilization_Day8; Mobilization_6weeks; Mobilization_3months; Mobilization_total; Mobilization_diabetescapsules; EnergyLevel_Preop; Pain_Preop; EmotionalReaction_Preop; Sleep_Preop; SocalInteraction_Preop; PhysicalActivity_Preop; EnergyLevel_Postop; Pain_Postop; EmotionalReaction_Postop; Sleep_Postop; SocialInteraction_Postop; PhysicalActivity_Postop; EnergyLevel_6weeks; Pain_6weeks,,,,Weight; BMI; Hospitalstay; Woundpain_Day3; Woundpain_Day4; Woundpain_Day5; Woundpain_Day6; Woundpain_Day7; Woundpain_Day8; Woundpain_6weeks; Woundpain_3months; Woundpain_total; Woundpain_Diabetescapsule; Pain_Preop; PhysicalActivity_Preop; EnergyLevel_Postop; Pain_Postop; EmotionalReaction_Postop; Sleep_Postop; SocialInteraction_Postop; PhysicalActivity_Postop; Pain_6weeks; PhysicalActivity_6weeks; Pain_3months; PhysicalActivity_3months,77
RCTC-04923,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/eFig 6-7.tab,eFig 6-7.tab,delimited,readable,,33,7,ARM; GLDHBRAF1; cspfs; pfsm; osm; csos; SUBJID,,ARM,ARM: A-Continuous | B-Intermittent,,5
RCTC-04923,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/eFig 8-9.tab,eFig 8-9.tab,delimited,readable,,1000,15,trt; lresp; PT; ciclo; timetoassw; BRAFDAT; LBSPEC; LBTEST; LBGRC; TIMETOW; tiempomax; ypos; DSPERF; NUMERO; SUBJID,,trt,trt: Continuous Trt | Intermitent Trt,,10
RCTC-04923,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/Fig1a_ eFig 3.tab,Fig1a_ eFig 3.tab,delimited,readable,,70,7,arm; gstage; cspfs; pfsm; osm; csos; subjid,,arm,arm: A-Continuous | B-Intermittent,,5
RCTC-04923,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/Fig 1b_eFig 4a_ 4b_ 5.tab,Fig 1b_eFig 4a_ 4b_ 5.tab,delimited,readable,,34,8,arm; cspfs; pfsm; osm; csos; LBGYN; g; subjid,,arm,arm: A-Continuous | B-Intermittent,,6
RCTC-04923,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-04923/mapa tablas.docx,mapa tablas.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-00064,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00064/CONSORT Checklist.doc,CONSORT Checklist.doc,,skipped_unsupported_extension,,,,,,,,,
RCTC-00064,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-00064/Raw Data.tab,Raw Data.tab,delimited,readable,,250,122,Randomization; ID; AF; Withdraw; AGE; GENDER; ETHNIC; Euroscore; BMI; BMIGroup; BMIGroup2; NYHA; LEFTAT_SIZE; RIGHTATsize; EF; DM; HPT; ASTHMA; COPD; CKD; HYPERCHOL; SMOKER; ALCOHOL; Smokergrp; alcoholgrp; XCLAMPTIME; BYPASSTIME; ISOLATED; Distal; DistalGroup; Ventilation; CICUstay; HDUstay; HospStay; AFnumber; AFepisode; OnsetAF; OnsetAFGrp; filter_$; Reintubation; Stroke; Sternalinfect; Respiratory; Renalfailure; Endocrine; PleuralEffusion; Tamponade; Fever; Hyperkal; others; Death; MI; LegWound; GI; PRE_1; PRE_2; PRE_3; PRE_4; PRE_5; PRE_6; PRE_7; PRE_8; PRE_9; PRE_10; PRE_11; PRE_12; PRE_13; PRE_14; PRE_15; PRE_16; PRE_17; PRE_18; PREACEinhibitor; PREAngiotensinReceptorBlocker; PRECalciumChannelBlocker; PREBetaBlocker; PREOtherAntihypertensives; PREAspirin; PREClopidogrel; PREOtherantiplatelets,ID,Randomization; BMIGroup; BMIGroup2; DistalGroup,Randomization: 1 | 2 || BMIGroup: 2 | 1 | 3 | 0 || BMIGroup2: 1 | 2 || DistalGroup: 2 | 9 | 1,Euroscore; BMI; BMIGroup; BMIGroup2; PREFibrates; PREInsulin; POSTACEinhibitor; POSTAngiotensinReceptorBlocker; POSTCalciumChannelBlocker; POSTBetaBlocker; POSTOtherAntihypertensives; POSTAspirin; POSTClopidogrel; POSTOtherantiplatelets; POSTHMGCoAInhibitor; POSTFibrates; POSTEzetimibe; POSTBiguanide; POSTSulphonylurea; POSTAlphaGlucosidaseInhibitor; POSTDPP4Inhibitor; POSTSGLT; POSTInsulin; POSTInhaledBetaAgonist; POSTInhaledAntiMuscarinic; POSTInhaledSteroids; POSTAntiangina; POSTDiuretics; POSTamiodarone; POSTprotonpumpinhibitor; POSTAnticoagulantWarfarin,122
RCTC-05010,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-05010/rTMS_ITT.xlsx,rTMS_ITT.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02775,download,rct_expansion/provenance/deferred_likely_qualified_evaluation_2026_06_11/source_verification_qualified_queue/downloads/RCTC-02775/Supplementary material-Querfeld_post_hoc_201_Suppl_rev_8Feb.docx,Supplementary material-Querfeld_post_hoc_201_Suppl_rev_8Feb.docx,,skipped_unsupported_extension,,,,,,,,,
