Trial_ID,Repository,Dataset_DOI,License,Download_Date,Source_Files,Cleaning_Notes
51,Zenodo,10.5281/zenodo.11066092,CC-BY-4.0,2026-06-08,Sleep_hygiene_lavender_RCT_Data.xlsx,Primary endpoint changed from subjective Hooper sleep-quality change to objective 7-day sleep latency after publication review.
52,Harvard Dataverse,10.7910/DVN/WI6SAS,Harvard Dataverse terms / open file,2026-06-08,Baseline_Excluding_dropouts.xlsx; iP.xlsx; BSFS.xlsx; dose.xlsx,Merged baseline serum phosphorus and stool-form outcome files by participant ID; serum phosphorus and BSFS are both primary outcomes.
53,Zenodo,10.5281/zenodo.6597822,CC-BY-4.0,2026-06-08,QLB_partial_nephrectomy_RCT_DATA.xlsx,Primary endpoint corrected to the raw total perioperative cumulative sufentanil column.
54,Harvard Dataverse,10.7910/DVN/DVOHPZ,Harvard Dataverse terms / open file,2026-06-08,Dades_boles_Rap_excel_girado_para_SPSS_enviado_20_enero_2024_2.xlsx,Used Hoja3 participant-level sheet; primary endpoint changed from ICIQ-SF to FSFI total and secondary pelvic-floor strength changed to Oxford power for the downloaded secondary-analysis paper. Stored endpoint variables directly rather than computed changes so participants with endpoint data and missing baseline are retained in endpoint summaries.
55,Harvard Dataverse,10.7910/DVN/GKH6X6,Harvard Dataverse terms / open file,2026-06-08,Taking_Charge_COPD_RAW_DATA.xlsx,Removed raw dictionary/header rows and retained the 56 randomized participants; used 12-month COPD event count as primary outcome and combined prior admission/ED events as the baseline analogue.
56,Harvard Dataverse,10.7910/DVN/4VG2XS,CC0-1.0,2026-06-08,Data_burnout.txt; Raw Data Burnout.tab; CONSORT 2010 Flow Diagram.pdf; CONSORT 2010 Checklist.pdf,Used the analysis-ready long Dataverse text file; converted comma decimal strings to numeric values.
57,Zenodo,10.5281/zenodo.1120364,CC-BY-4.0,2026-06-08,blind_data.csv; data_supplement.Rmd; data_supplement.html; costing e-tool.xlsx,Kept observed participant-level losses and baseline covariates; model-based audit reconstructs the paper's mixed-model weight-loss contrast.
58,Zenodo,10.5281/zenodo.18455008,CC-BY-4.0,2026-06-08,tDCS+cognitive training study data share.csv; README.md,Excluded blank/non-randomized rows in the CSV and retained the mandatory one-week RBANS endpoint.
59,Zenodo,10.5281/zenodo.17051703,CC-BY-4.0,2026-06-08,Data.xlsx,Used dominant dorsiflexion ROM as the cleaned primary endpoint and retained baseline ROM measures for all available cleaned outcomes.
60,Zenodo,10.5281/zenodo.18176543,CC-BY-4.0,2026-06-08,DFT-IW-masticatory-v1.0.1.zip; data/processed/DFT_glucose.csv; data/processed/DFT_VAS.csv; DATA_DICTIONARY.md,"Unzipped the Zenodo/GitHub archive and joined glucose and VAS period-level files by participant ID, sequence, and period."
61,PLOS One supplementary data,10.1371/journal.pone.0138646.s005,CC-BY-4.0,2026-06-08,plos_s1_dataset_cinnamon.xlsx; trial61_plos_cinnamon.pdf,"Filled arm/sex/randomization values across repeated visits by participant, excluded one non-publication VP treatment-code row, and pivoted M0/M4/M6 repeated measures to participant-level change scores."
62,PLOS One supplementary data,10.1371/journal.pone.0135674.s002,CC-BY-4.0,2026-06-08,plos_s1_dataset_kidney.xlsx; trial62_plos_kidney.pdf,"Parsed numeric eGFR columns and retained CKD-EPI endpoints at 3, 12, and 24 months with baseline renal covariates."
63,PLOS One supplementary data,10.1371/journal.pone.0257607.s001,CC-BY-4.0,2026-06-08,plos_s1_dataset_hiit.xlsx; trial63_plos_hiit.pdf,"Joined baseline, FMD, and cardiopulmonary exercise sheets by patient and retained all randomized participants with available source rows."
64,PLOS One supplementary data,10.1371/journal.pone.0178585.s002,CC-BY-4.0,2026-06-08,plos_s2_dataset_low_back.xlsx; trial64_plos_low_back.pdf,"Stored 5-month participant-level changes for pain, strength, Oswestry, and work ability with publication-supported baseline covariates."
65,PLOS One supplementary data,10.1371/journal.pone.0312084.s006,CC-BY-4.0,2026-06-08,plos_s1_dataset_tdcs_running.xlsx; trial65_plos_tdcs_running.pdf,Filtered to included participants and represented the randomized crossover as one row per participant-treatment condition.
66,PLOS One supplementary data,10.1371/journal.pone.0129646.s004; 10.1371/journal.pone.0129646.s005,CC-BY-4.0,2026-06-08,plos_s1_dataset_yoga.xlsx; plos_s2_dataset_yoga.xlsx; trial66_plos_yoga.pdf,Parsed S1 balance workbook arm sections manually; retained primary foam mean-total-velocity post and change endpoints.
67,PLOS One supplementary data,10.1371/journal.pone.0215823.s006,CC-BY-4.0,2026-06-08,plos_s2_dataset_middle_molecule.xlsx; trial67_plos_middle_molecule.pdf,Mapped study group 1 to standard filter and group 2 to high cut-off filter based on published beta2-microglobulin clearance summaries.
68,PLOS One supplementary data,10.1371/journal.pone.0216225.s006,CC-BY-4.0,2026-06-08,plos_s1_dataset_bci_adhd.xlsx; trial68_plos_bci_adhd.pdf,Mapped GRP 1 to BCI attention training and GRP 2 to control based on the published clinician-inattention improvement summary.
69,PLOS One supplementary data,10.1371/journal.pone.0128997.s003,CC-BY-4.0,2026-06-08,plos_s1_file_tapentadol.xlsx; trial69_plos_tapentadol.pdf,Reshaped six drug-period sheets to participant-drug-period rows and widened eVAS timepoints so group-mean curve peaks can be audited.
70,PLOS One supplementary data,10.1371/journal.pone.0134467.s004; 10.1371/journal.pone.0134467.s005,CC-BY-4.0,2026-06-08,plos_s1_dataset_cognitive_training.csv; plos_s2_dataset_dictionary.csv; trial70_plos_cognitive_training.pdf,Filtered out rows flagged for exclusion and retained baseline and change scores for Grand Index and component cognitive tasks.
71,Harvard Dataverse,10.7910/DVN/TQ2MAR,CC0-1.0,2026-06-08,RCT_Data_Upload_Safe_Harbour.tab,Read SPSS-backed Dataverse file with haven and converted labelled composite birth outcome to 1/0.
72,Harvard Dataverse,10.7910/DVN/ETHH4N,CC0-1.0,2026-06-08,final_pphdatabase_merge_topost2.tab; Misotreatment_codebook_variable_list.xls,Filtered to Study A because the Dataverse package contains two RCTs; recoded labelled treatment and primary control variables.
73,Harvard Dataverse,10.7910/DVN/ALVSGP,CC0-1.0,2026-06-08,prostate_biopsy_ai_reassurance.xlsx,"Replaced duplicate oxytocin-route candidate with the publication-backed prostate-biopsy RCT; selected the prostate-biopsy sheet, omitted direct identifiers, and recoded AI/Human/None arms."
74,Harvard Dataverse,10.7910/DVN/MPSTOK,CC0-1.0,2026-06-08,Repositori_Core_Ataxia_16_5_2023.xlsx; Repositori_Core_Ataxia.xlsx,Used the updated 2023 Dataverse workbook and computed participant-level pre-post change scores.
75,Harvard Dataverse,10.7910/DVN/GQ6NJF,CC0-1.0,2026-06-08,Dataset_KJP.xlsx,Removed blank rows; preserved source row-level observations where patient labels repeat for knee-level data.
76,Harvard Dataverse,10.7910/DVN/HXE3JR,CC0-1.0,2026-06-08,data1.tab,Excluded unassigned rows and retained post-training performance score and secondary assessment fields.
