Trial_ID,Repository,Dataset_DOI,Download_Date,Status,Source_Files
81,Borealis,10.5683/sp3/a4jg2r,2026-06-09,preliminary_cleaned_needs_publication_audit,mqol_mi_scores.out; mqol_mi.out; mqol_tot_bysite.out; mqol_wideformat.out; qolltif_mi_scores.out; qolltif_mi.out; qolltif_tot_bysite.out; qolltif_wideformat.out; QPSS_RCTData.inp; QPSS_RCTData.tab
82,DataverseNL,10.34894/g3koyt,2026-06-09,preliminary_cleaned_needs_publication_audit,1. Manuscript.zip; 2. Used Materials.zip; 3. Anonymized Raw Data.zip; 4. Computer Code (Raw into Processed Data).zip; 5. Processed Used Data.zip; 6. Computer Code (Processed Data into Results).zip; 7. README.txt; 8. Ethical Approval documents.zip; 9. Preregistration.zip
83,Harvard Dataverse,10.7910/dvn/ntn7ky,2026-06-09,preliminary_cleaned_needs_publication_audit,2IUD paper data.tab; 2IUD variable specs.tab
84,Harvard Dataverse,10.7910/dvn/ppqksw,2026-06-09,preliminary_cleaned_needs_publication_audit,acceptablity.xlsx; adherence.tab; adherence.xlsx; baby_outcomes.xlsx; codebook_Acceptability.docx; compilationcode_7Sep2022.do; dbs.tab; dbs.xlsx; MPYA Codebook_FINAL.xlsx; Protocol_v2.9_Clean.doc; questionnaire.tab; questionnaire.xlsx
85,Harvard Dataverse,10.7910/dvn/cf2lgp,2026-06-09,preliminary_cleaned_needs_publication_audit,Base Aprepitant.xlsx
86,Harvard Dataverse,10.7910/dvn/xgdwg5,2026-06-09,preliminary_cleaned_needs_publication_audit,NHP Raw Data - 6 Wks FU.tab; NHP Raw Data - Discharge.tab; NHP Raw Data - Pre Op.tab; Raw Data Tocovid.tab; SF36 Raw Data - 6 Wks FU.tab; SF36 Raw Data - Discharge.tab; SF36 Raw Data - Pre-Op.tab; Tocotrienol Level.tab
87,Harvard Dataverse,10.7910/dvn/jo6og9,2026-06-09,preliminary_cleaned_needs_publication_audit,Codebook for final PCORI survey data (public use).2023 09 20.txt; Codebook for MyPlate anthro public use data.2023 04 20.docx.txt; MyPlate anthro public use.2023 03 21.tab; MyPlate svy data PCORI pub use data.2023 04 20.tab
88,Mendeley Data,10.17632/psxdxfw37t.1,2026-06-09,preliminary_cleaned_needs_publication_audit,control_assessment.csv; control_demographics.csv; VR_assessment.csv; VR_demographics.csv
89,University of Bath,10.15125/bath-01245,2026-06-09,preliminary_cleaned_needs_publication_audit,Evolife trial dataset.xlsx
90,Zenodo,10.5281/zenodo.7428377,2026-06-09,preliminary_cleaned_needs_publication_audit,1_Data_Primary-Outcomes_Brain-IT-Pilot-Feasibility-RCT_for-publication.xlsx; 2_Data_Secondary-Outcomes_Brain-IT-Pilot-Feasibility-RCT_for-publication.xlsx; 3_Data_Other-Outcomes_Brain-IT-Pilot-Feasibility-RCT_for-publication.xlsx; 5_README-file_Data_Brain-IT-Pilot-Feasibility-RCT.txt
91,Zenodo,10.5281/zenodo.5645183,2026-06-09,preliminary_cleaned_needs_publication_audit,Repository_BPT CBT_Rohdaten.sav
92,Zenodo,10.5281/zenodo.17715051,2026-06-09,preliminary_cleaned_needs_publication_audit,HEAL_data.xlsx
93,Zenodo,10.5281/zenodo.18201511,2026-06-09,preliminary_cleaned_needs_publication_audit,mae_1_20260109.rds; mae_1_csv_export_20260109.zip
94,Mendeley,10.17632/bx2gvkty4c.1,2026-06-09,preliminary_cleaned_needs_publication_audit,LindsayData_PNE.sav
