action,trial_id,from,to
restored_raw_source,97,manually-download-raw-data/RCTC-00152.xlsx,rct_expansion/raw_data/trial97
restored_raw_source,98,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00166/RCTC-00166,rct_expansion/raw_data/trial98
restored_raw_source,99,manually-download-raw-data/ALL_demographics+and+baseline_RCTC00167.xlsx,rct_expansion/raw_data/trial99
restored_raw_source,99,manually-download-raw-data/ANALYSED_RCT_Whole+group_RCTC00167.xlsx,rct_expansion/raw_data/trial99
restored_raw_source,100,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00170/RCTC-00170,rct_expansion/raw_data/trial100
restored_raw_source,101,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00173/RCTC-00173,rct_expansion/raw_data/trial101
restored_raw_source,102,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00175/RCTC-00175,rct_expansion/raw_data/trial102
restored_raw_source,103,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00180/RCTC-00180,rct_expansion/raw_data/trial103
restored_raw_source,104,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00181/RCTC-00181,rct_expansion/raw_data/trial104
restored_raw_source,105,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00888/RCTC-00888,rct_expansion/raw_data/trial105
restored_raw_source,106,manually-download-raw-data/RCRC-00890,rct_expansion/raw_data/trial106
restored_raw_source,107,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-00893/RCTC-00893,rct_expansion/raw_data/trial107
restored_raw_source,108,manually-download-raw-data/RCTC-01313,rct_expansion/raw_data/trial108
restored_raw_source,109,manually-download-raw-data/Raw_data.xlsx,rct_expansion/raw_data/trial109
restored_raw_source,110,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-01383/RCTC-01383,rct_expansion/raw_data/trial110
restored_raw_source,111,manually-download-raw-data/RCTC-01888,rct_expansion/raw_data/trial111
restored_raw_source,112,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-01926/RCTC-1926,rct_expansion/raw_data/trial112
restored_raw_source,113,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-01937/RCTC-01937,rct_expansion/raw_data/trial113
restored_raw_source,114,rct_expansion/provenance/manual_download_screen_2026_06_11/extracted/RCTC-01948/RCTC-01948,rct_expansion/raw_data/trial114
restored_raw_source,115,manually-download-raw-data/RCTC-05226.xls,rct_expansion/raw_data/trial115
