"Trial_ID","has_csv","has_rds","n_rows","n_cols","csv_rows","csv_cols","names_match","data_frame","treatment_factor","treatment_missing","treatment_levels","n_yp","n_ys","n_x","n_bad_prefix","duplicate_names","bad_names","bad_prefix","y_all_missing","x_all_missing","y_model_hostile","exact_duplicate_columns","hard_format_pass","analysis_compatible"
51,TRUE,TRUE,37,15,37,15,TRUE,TRUE,TRUE,0,4,1,4,9,0,FALSE,"","","","","","",TRUE,TRUE
52,TRUE,TRUE,69,18,69,18,TRUE,TRUE,TRUE,0,2,2,0,15,0,FALSE,"","","","","","",TRUE,TRUE
53,TRUE,TRUE,59,14,59,14,TRUE,TRUE,TRUE,0,2,1,5,7,0,FALSE,"","","","","","",TRUE,TRUE
54,TRUE,TRUE,69,11,69,11,TRUE,TRUE,TRUE,0,2,1,2,7,0,FALSE,"","","","","","",TRUE,TRUE
55,TRUE,TRUE,56,15,56,15,TRUE,TRUE,TRUE,0,2,1,3,10,0,FALSE,"","","","","YS_pulmonary_rehab_attendance_12m","",TRUE,TRUE
56,TRUE,TRUE,15,17,15,17,TRUE,TRUE,TRUE,0,2,2,4,10,0,FALSE,"","","","","","",TRUE,TRUE
57,TRUE,TRUE,121,13,121,13,TRUE,TRUE,TRUE,0,2,2,3,7,0,FALSE,"","","","","","",TRUE,TRUE
58,TRUE,TRUE,30,18,30,18,TRUE,TRUE,TRUE,0,2,2,4,11,0,FALSE,"","","","","","",TRUE,TRUE
59,TRUE,TRUE,44,16,44,16,TRUE,TRUE,TRUE,0,2,2,5,8,0,FALSE,"","","","","","",TRUE,TRUE
60,TRUE,TRUE,92,9,92,9,TRUE,TRUE,TRUE,0,2,2,2,4,0,FALSE,"","","","","","",TRUE,TRUE
61,TRUE,TRUE,61,26,61,26,TRUE,TRUE,TRUE,0,2,1,3,21,0,FALSE,"","","","","","",TRUE,TRUE
62,TRUE,TRUE,141,9,141,9,TRUE,TRUE,TRUE,0,2,1,3,4,0,FALSE,"","","","","","",TRUE,TRUE
63,TRUE,TRUE,22,25,22,25,TRUE,TRUE,TRUE,0,3,4,3,17,0,FALSE,"","","","","","",TRUE,TRUE
64,TRUE,TRUE,226,24,226,24,TRUE,TRUE,TRUE,0,2,1,5,17,0,FALSE,"","","","","","",TRUE,TRUE
65,TRUE,TRUE,135,22,135,22,TRUE,TRUE,TRUE,0,3,1,7,13,0,FALSE,"","","","","","",TRUE,TRUE
66,TRUE,TRUE,17,13,17,13,TRUE,TRUE,TRUE,0,2,3,5,4,0,FALSE,"","","","","","",TRUE,TRUE
67,TRUE,TRUE,60,19,60,19,TRUE,TRUE,TRUE,0,2,1,5,12,0,FALSE,"","","","","","",TRUE,TRUE
68,TRUE,TRUE,172,16,172,16,TRUE,TRUE,TRUE,0,2,1,3,11,0,FALSE,"","","","","","",TRUE,TRUE
69,TRUE,TRUE,72,98,72,98,TRUE,TRUE,TRUE,0,3,2,93,2,0,FALSE,"","","","","","",TRUE,TRUE
70,TRUE,TRUE,4715,23,4715,23,TRUE,TRUE,TRUE,0,2,1,8,13,0,FALSE,"","","","","","",TRUE,TRUE
71,TRUE,TRUE,240,17,240,17,TRUE,TRUE,TRUE,0,2,1,3,12,0,FALSE,"","","","","","",TRUE,TRUE
72,TRUE,TRUE,978,15,978,15,TRUE,TRUE,TRUE,0,2,1,3,10,0,FALSE,"","","","","","",TRUE,TRUE
73,TRUE,TRUE,44,22,44,22,TRUE,TRUE,TRUE,0,3,1,9,11,0,FALSE,"","","","","","",TRUE,TRUE
74,TRUE,TRUE,23,21,23,21,TRUE,TRUE,TRUE,0,2,2,4,14,0,FALSE,"","","","","","",TRUE,TRUE
75,TRUE,TRUE,47,21,47,21,TRUE,TRUE,TRUE,0,2,1,5,14,0,FALSE,"","","","","","",TRUE,TRUE
76,TRUE,TRUE,134,14,134,14,TRUE,TRUE,TRUE,0,2,1,8,4,0,FALSE,"","","","","","",TRUE,TRUE
77,TRUE,TRUE,87,19,87,19,TRUE,TRUE,TRUE,0,2,1,4,13,0,FALSE,"","","","","","",TRUE,TRUE
78,TRUE,TRUE,105,26,105,26,TRUE,TRUE,TRUE,0,2,1,5,19,0,FALSE,"","","","","","",TRUE,TRUE
79,TRUE,TRUE,98,20,98,20,TRUE,TRUE,TRUE,0,2,1,5,13,0,FALSE,"","","","","","",TRUE,TRUE
80,TRUE,TRUE,216,25,216,25,TRUE,TRUE,TRUE,0,3,1,6,17,0,FALSE,"","","","","","",TRUE,TRUE
81,TRUE,TRUE,401,14,401,14,TRUE,TRUE,TRUE,0,3,1,4,8,0,FALSE,"","","","","","",TRUE,TRUE
82,TRUE,TRUE,250,26,250,26,TRUE,TRUE,TRUE,0,2,1,5,19,0,FALSE,"","","","","","",TRUE,TRUE
83,TRUE,TRUE,59,25,59,25,TRUE,TRUE,TRUE,0,2,4,5,15,0,FALSE,"","","","","","",TRUE,TRUE
84,TRUE,TRUE,156,12,156,12,TRUE,TRUE,TRUE,0,2,4,2,5,0,FALSE,"","","","","","",TRUE,TRUE
85,TRUE,TRUE,61,29,61,29,TRUE,TRUE,TRUE,0,2,2,10,16,0,FALSE,"","","","","","",TRUE,TRUE
86,TRUE,TRUE,96,21,96,21,TRUE,TRUE,TRUE,0,5,1,4,15,0,FALSE,"","","","","","",TRUE,TRUE
87,TRUE,TRUE,64,30,64,30,TRUE,TRUE,TRUE,0,2,3,13,13,0,FALSE,"","","","","","",TRUE,TRUE
88,TRUE,TRUE,200,24,200,24,TRUE,TRUE,TRUE,0,2,1,4,18,0,FALSE,"","","","","","",TRUE,TRUE
89,TRUE,TRUE,119,7,119,7,TRUE,TRUE,TRUE,0,3,2,2,2,0,FALSE,"","","","","","",TRUE,TRUE
90,TRUE,TRUE,293,9,293,9,TRUE,TRUE,TRUE,0,2,1,1,6,0,FALSE,"","","","","","",TRUE,TRUE
91,TRUE,TRUE,126,26,126,26,TRUE,TRUE,TRUE,0,2,1,20,4,0,FALSE,"","","","","","",TRUE,TRUE
92,TRUE,TRUE,371,30,371,30,TRUE,TRUE,TRUE,0,2,2,8,19,0,FALSE,"","","","","YS_malaria_diagnosis_2m;YS_malaria_diagnosis_4m","",TRUE,TRUE
93,TRUE,TRUE,1140,20,1140,20,TRUE,TRUE,TRUE,0,3,1,3,15,0,FALSE,"","","","","","",TRUE,TRUE
94,TRUE,TRUE,2207,26,2207,26,TRUE,TRUE,TRUE,0,2,1,8,16,0,FALSE,"","","","","","",TRUE,TRUE
95,TRUE,TRUE,148,24,148,24,TRUE,TRUE,TRUE,0,2,1,8,14,0,FALSE,"","","","","YS_postop_throat_pain","",TRUE,TRUE
96,TRUE,TRUE,35,13,35,13,TRUE,TRUE,TRUE,0,2,1,2,9,0,FALSE,"","","","","","",TRUE,TRUE
