"Trial_ID","has_csv","has_rds","n_rows","n_cols","csv_rows","csv_cols","names_match","data_frame","treatment_factor","treatment_missing","treatment_levels","n_yp","n_ys","n_x","n_bad_prefix","duplicate_names","bad_names","bad_prefix","y_all_missing","x_all_missing","y_model_hostile","exact_duplicate_columns","hard_format_pass","analysis_compatible"
1,TRUE,TRUE,342,52,342,52,TRUE,TRUE,TRUE,0,3,1,14,24,12,FALSE,"","post_YP_delta_HOMA_IR_7m;post_YS_delta_BMI_7m;post_YS_delta_WHR_7m;post_YS_delta_Acne_7m;post_YS_delta_Hirsutism_7m;post_YS_delta_FPG_7m;post_YS_delta_FINS_7m;post_YS_delta_GlucoseAUC_7m;post_YS_delta_InsulinAUC_7m;post_YS_delta_HOMA_beta_7m;post_YS_delta_Cpeptide_7m;post_YS_delta_HbA1c_7m","","","","",FALSE,FALSE
2,TRUE,TRUE,400,14,400,14,TRUE,TRUE,TRUE,0,2,3,2,8,0,FALSE,"","","","","","",TRUE,TRUE
3,TRUE,TRUE,6030,34,6030,34,TRUE,TRUE,TRUE,0,2,2,6,25,0,FALSE,"","","","","","",TRUE,TRUE
4,TRUE,TRUE,75,18,75,18,TRUE,TRUE,TRUE,0,2,4,0,13,0,FALSE,"","","","","","",TRUE,TRUE
5,TRUE,TRUE,5060,66,5060,66,TRUE,TRUE,TRUE,0,2,1,22,42,0,FALSE,"","","","","","",TRUE,TRUE
6,TRUE,TRUE,463,50,463,50,TRUE,TRUE,TRUE,0,2,1,26,21,1,FALSE,"","pre_YP_delta_CCA_IMT_12m","","","","",FALSE,FALSE
7,TRUE,TRUE,38,30,38,30,TRUE,TRUE,TRUE,0,2,8,0,21,0,FALSE,"","","","","","",TRUE,TRUE
8,TRUE,TRUE,115,11,115,11,TRUE,TRUE,TRUE,0,2,1,5,4,0,FALSE,"","","","","","",TRUE,TRUE
9,TRUE,TRUE,577,33,577,33,TRUE,TRUE,TRUE,0,2,1,23,8,0,FALSE,"","","","","YS_placental_delivery;YS_time_to_delivery;YS_side_effect_description","",TRUE,TRUE
10,TRUE,TRUE,256,44,256,44,TRUE,TRUE,TRUE,0,2,1,28,14,0,FALSE,"","","","","YS_IDS_intub;YS_nb_attempts_intub;YS_hemodynamic_comp_intub;YS_hoarseness_postop;YS_sore_throat_postop","",TRUE,TRUE
11,TRUE,TRUE,44,28,44,28,TRUE,TRUE,TRUE,0,2,2,9,16,0,FALSE,"","","","","","",TRUE,TRUE
12,TRUE,TRUE,349,91,349,91,TRUE,TRUE,TRUE,0,2,1,58,31,0,FALSE,"","","","","","",TRUE,TRUE
13,TRUE,TRUE,480,23,480,23,TRUE,TRUE,TRUE,0,2,2,15,5,0,FALSE,"","","","","","",TRUE,TRUE
14,TRUE,TRUE,119,48,119,48,TRUE,TRUE,TRUE,0,2,2,21,24,0,FALSE,"","","","","","",TRUE,TRUE
15,TRUE,TRUE,28,32,28,32,TRUE,TRUE,TRUE,0,2,1,13,17,0,FALSE,"","","","","","",TRUE,TRUE
16,TRUE,TRUE,48,22,48,22,TRUE,TRUE,TRUE,0,2,1,4,11,5,FALSE,"","pre_YP_delta_BDI_6w;pre_YS_delta_MADRS_6w;pre_YS_delta_BAI_6w;pre_YS_delta_QOLI_6w;pre_YS_delta_IPAQ_6w","","","","",FALSE,FALSE
17,TRUE,TRUE,294,15,294,15,TRUE,TRUE,TRUE,0,4,1,3,10,0,FALSE,"","","","","","",TRUE,TRUE
18,TRUE,TRUE,295,36,295,36,TRUE,TRUE,TRUE,0,2,3,10,17,5,FALSE,"","post_YP_time_to_disengaged_24m;post_YP_event_disengaged_24m;post_YP_prop_time_in_care_24m;post_YP_disengaged_24m_final;post_YP_event_disengaged_24m_final","","","","",FALSE,FALSE
19,TRUE,TRUE,32,24,32,24,TRUE,TRUE,TRUE,0,2,1,10,12,0,FALSE,"","","","","","",TRUE,TRUE
20,TRUE,TRUE,37,24,37,24,TRUE,TRUE,TRUE,0,2,1,9,13,0,FALSE,"","","","","","",TRUE,TRUE
21,TRUE,TRUE,1462,18,1462,18,TRUE,TRUE,TRUE,0,3,2,5,10,0,FALSE,"","","","","","",TRUE,TRUE
22,TRUE,TRUE,146,40,146,40,TRUE,TRUE,TRUE,0,2,1,17,21,0,FALSE,"","","","","YS_times_looked;YS_tool_easy;YS_tool_useful;YS_prior_knowledge","",TRUE,TRUE
23,TRUE,TRUE,92,22,92,22,TRUE,TRUE,TRUE,0,2,4,12,5,0,FALSE,"","","","","","",TRUE,TRUE
24,TRUE,TRUE,50,18,50,18,TRUE,TRUE,TRUE,0,2,1,4,12,0,FALSE,"","","","","","",TRUE,TRUE
25,TRUE,TRUE,55,44,55,44,TRUE,TRUE,TRUE,0,2,11,6,26,0,FALSE,"","","","","","",TRUE,TRUE
26,TRUE,TRUE,242,18,242,18,TRUE,TRUE,TRUE,0,2,3,4,9,1,FALSE,"","pre_YP_delta_Adherence_3m","","","YP_attendance_6m","",FALSE,FALSE
27,TRUE,TRUE,101,17,101,17,TRUE,TRUE,TRUE,0,2,4,8,4,0,FALSE,"","","YS_endocrine_status_3m","","YP_bleeding_text;YP_bleeding_category3;YS_hypoxemia_episodes;YS_recruitment_maneuvers","",TRUE,FALSE
28,TRUE,TRUE,120,25,120,25,TRUE,TRUE,TRUE,0,2,1,12,11,0,FALSE,"","","","","","",TRUE,TRUE
29,TRUE,TRUE,460,31,460,31,TRUE,TRUE,TRUE,0,2,2,7,21,0,FALSE,"","","","","YS_visit_4w_timing","",TRUE,TRUE
30,TRUE,TRUE,75,23,75,23,TRUE,TRUE,TRUE,0,3,1,8,13,0,FALSE,"","","","","","",TRUE,TRUE
31,TRUE,TRUE,796,12,796,12,TRUE,TRUE,TRUE,0,2,2,4,5,0,FALSE,"","","","","","",TRUE,TRUE
32,TRUE,TRUE,57,23,57,23,TRUE,TRUE,TRUE,0,3,2,7,13,0,FALSE,"","","","","","",TRUE,TRUE
33,TRUE,TRUE,154,11,154,11,TRUE,TRUE,TRUE,0,2,1,1,8,0,FALSE,"","","","","","",TRUE,TRUE
34,TRUE,TRUE,4556,27,4556,27,TRUE,TRUE,TRUE,0,2,1,7,18,0,FALSE,"","","","","","",TRUE,TRUE
35,TRUE,TRUE,91,26,91,26,TRUE,TRUE,TRUE,0,2,1,15,9,0,FALSE,"","","","","","",TRUE,TRUE
36,TRUE,TRUE,114,22,114,22,TRUE,TRUE,TRUE,0,3,4,7,10,0,FALSE,"","","","","","",TRUE,TRUE
37,TRUE,TRUE,602,30,602,30,TRUE,TRUE,TRUE,0,2,1,0,28,0,FALSE,"","","","","","",TRUE,TRUE
38,TRUE,TRUE,2139,21,2139,21,TRUE,TRUE,TRUE,0,4,2,2,16,0,FALSE,"","","","","","",TRUE,TRUE
39,TRUE,TRUE,470,24,470,24,TRUE,TRUE,TRUE,0,2,2,2,19,0,FALSE,"","","","","","",TRUE,TRUE
40,TRUE,TRUE,99,22,99,22,TRUE,TRUE,TRUE,0,2,2,14,5,0,FALSE,"","","","","","",TRUE,TRUE
