candidate_id,title,doi,repository,qualification_decision,final_queue,access_bucket,downloaded_file_count,download_failed_count,registered_file_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,reasons,best_readable_tables,treatment_evidence,outcome_evidence,metadata_error_summary,failed_download_errors,next_action
RCTC-01363,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,10.5061/dryad.vx0k6djsv,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,2,2,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 2 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-01889,A feasibility randomized controlled superiority trial of fluticasone-vilanterol once daily use for the treatment of mild asthma in adults,10.5061/dryad.bnzs7h4gq,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,2,2,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 2 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-00135,"Data and statistical codes for: Reliability of urological telesurgery compared to local surgery: A multicenter, randomised controlled trial",10.5061/dryad.t4b8gtjg8,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,12,12,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 12 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-00888,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,10.5061/dryad.87f03,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,1,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-01937,Data from: A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,10.5061/dryad.p67jf576,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,1,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-00893,Data from: A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,10.5061/dryad.8jf11,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,4,4,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 4 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-01912,"Data from: A randomized, placebo-controlled phase 2 trial of laquinimod in primary progressive multiple sclerosis",10.5061/dryad.dz08kprtc,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,1,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-00175,Data from: Adjunctive clindamycin for cellulitis: clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,10.5061/dryad.5q1j0,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,1,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-05250,Data from: Ambulatory versus inpatient management of severe nausea and vomiting of pregnancy: a randomized control trial with patient preference arm,10.5061/dryad.c3g48,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,1,1,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
RCTC-00158,Data from: Are statin trials in diabetes representative of real-world diabetes care: a population-based study on statin initiators in Finland,10.5061/dryad.4m94c,Dryad,not_qualified_before_cleaning,access_failed_official_route,access_failed_official_route,0,2,2,0,0,pass,pass,unclear_or_fail,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; 2 download failure(s); individual randomization not confirmed by metadata; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,curl: (56) The requested URL returned error: 401,Do not clean unless metadata/access issue is resolved.
