candidate_id,archive_path,archive_member,file_name,declared_size,local_path,extract_status,extract_error
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Family caregivers/baseline.sav,baseline.sav,16153,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Family caregivers__baseline.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Family caregivers/eight week.sav,eight week.sav,14284,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Family caregivers__eight week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Family caregivers/first week.sav,first week.sav,14380,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Family caregivers__first week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Family caregivers/fourth week.sav,fourth week.sav,14268,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Family caregivers__fourth week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Patients/baseline.sav,baseline.sav,22467,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Patients__baseline.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Patients/eight week.sav,eight week.sav,17681,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Patients__eight week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Patients/first week.sav,first week.sav,18017,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Patients__first week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/A/Patients/fourth week.sav,fourth week.sav,17793,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__A__Patients__fourth week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Family caregivers/baseline.sav,baseline.sav,16461,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Family caregivers__baseline.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Family caregivers/eight week.sav,eight week.sav,14704,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Family caregivers__eight week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Family caregivers/first week.sav,first week.sav,14754,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Family caregivers__first week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Family caregivers/fourth eek.sav,fourth eek.sav,15062,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Family caregivers__fourth eek.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Patients/baseline.sav,baseline.sav,23103,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Patients__baseline.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Patients/eight week.sav,eight week.sav,18157,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Patients__eight week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Patients/first week.sav,first week.sav,18221,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Patients__first week.sav,extracted,
RCTC-00346,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-00346/Data.zip,Data/B/Patients/fourth week.sav,fourth week.sav,18229,rct_expansion/provenance/landing_page_recheck_2026_06_11/extracted/RCTC-00346/Data/Data__B__Patients__fourth week.sav,extracted,
