candidate_id,repository,source_record,file_name,download_url,content_type,declared_size,restricted,role,guestbook_id,local_path,download_status,download_error,bytes_downloaded
RCTC-01363,Dryad,10.5061/dryad.vx0k6djsv,Raw_data.xlsx,https://datadryad.org/api/v2/files/1216086/download,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,21717,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-01363,Dryad,10.5061/dryad.vx0k6djsv,read_me_file.docx,https://datadryad.org/api/v2/files/1216087/download,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14891,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-01889,Dryad,10.5061/dryad.bnzs7h4gq,asthma_data_for_repository(003).sav,https://datadryad.org/api/v2/files/2423827/download,,22158,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-01889,Dryad,10.5061/dryad.bnzs7h4gq,README.txt,https://datadryad.org/api/v2/files/2423830/download,text/plain,8236,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_prostate_cancer.csv,https://datadryad.org/api/v2/files/4497788/download,text/csv,6296,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.csv,https://datadryad.org/api/v2/files/4497789/download,text/csv,7480,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.xlsx,https://datadryad.org/api/v2/files/4497826/download,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14648,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_prostate__cancer.csv,https://datadryad.org/api/v2/files/4497790/download,text/csv,743,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.csv,https://datadryad.org/api/v2/files/4497791/download,text/csv,513,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.xlsx,https://datadryad.org/api/v2/files/4497825/download,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9965,no,data,,,failed,curl: (56) The requested URL returned error: 401,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Data_of_Scales_-_30_Second_Chair_to_Stand_test.csv,https://datadryad.org/api/v2/files/4497792/download,text/csv,4012,no,data,,,failed,curl: (56) The requested URL returned error: 401,
