candidate_id,source_kind,local_path,file_name,sheet_or_object,read_status,read_error,n_rows_sampled,n_cols,columns_sample,id_candidates,treatment_candidates,treatment_levels_sample,outcome_candidates,numeric_col_count
RCTC-03141,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-03141/SG_rkae062_supplementary_data (1).docx,SG_rkae062_supplementary_data (1).docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-06362,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-06362/nxab354_supplemental_file.docx,nxab354_supplemental_file.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-02529,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-02529/Short-term efficacy of preoperative Duloxetine for patients subjected to modified radical mastectomy A dose ranging randomized controlled trial.sav,Short-term efficacy of preoperative Duloxetine for patients subjected to modified radical mastectomy A dose ranging randomized controlled trial.sav,sav,readable,,419,34,group; Age; ASA; BMI; IV_Fluids; Operative_times; Blood_loss; Time_to_Aldrete_9; morphine_consumption_24hr1; event; VAS_basalR; VAS_basalM; VAS_2hrR; VAS_2hrM; VAS_4hrR; VAS_4hrM; VAS_8hrR; VAS_8hrM; VAS_12hrR; VAS_12hrM; VAS_16hrR; VAS_16hrM; VAS_24hrR; VAS_24hrM; Postoperative_vomiting; Sedation_0to8h; Sedation_9to16h; Sedation_17to24h; QOR_psychological_support; QOR_emotional_state; QOR_Physical_comfort; QOR_physical_independence; QOR_Pain; Total,,group,group: 0 | 30 | 60 | 90,BMI; Blood_loss; event; VAS_basalR; VAS_basalM; VAS_2hrR; VAS_2hrM; VAS_4hrR; VAS_4hrM; VAS_8hrR; VAS_8hrM; VAS_12hrR; VAS_12hrM; VAS_16hrR; VAS_16hrM; VAS_24hrR; VAS_24hrM; Postoperative_vomiting; QOR_Pain,34
RCTC-02917,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-02917/DeadCoolAnon_Upload.sav,DeadCoolAnon_Upload.sav,sav,readable,,480,12,Pupil_ID; Group; School_Type_M_C; School_Location; School_Type_G_S; School_Sex; Gender; Ethnicity; Carbonmonoxide_PreTest; Carbonmonoxide_PostTest1; Carbonmonoxide_PostTest2; filter_.,,Group,Group: 1 | 0,Carbonmonoxide_PostTest1; Carbonmonoxide_PostTest2,12
RCTC-05660,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-05660/Tab 2.docx,Tab 2.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-05660,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-05660/Table 1.docx,Table 1.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-02645,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-02645/Patients record.xlsx,Patients record.xlsx,% weigh change,readable,,53,22,# patient; Unnamed: 1; Unnamed: 2; Unnamed: 3; 42986.0; 42989.0; 42993.0; 42999.0; 43005.0; 43012.0; 43018.0; 43028.0; Unnamed: 12; Initial weight; % change; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 20; Unnamed: 21,# patient,,,Initial weight; % change,9
RCTC-02645,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-02645/Patients record.xlsx,Patients record.xlsx,Tests,readable,,47,45,Unnamed: 0; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 20; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28; Unnamed: 29; Unnamed: 30; Unnamed: 31; Unnamed: 32; Unnamed: 33; Unnamed: 34; Unnamed: 35; Unnamed: 36; Unnamed: 37; Unnamed: 38; Unnamed: 39; Unnamed: 40; Unnamed: 41; Unnamed: 42; Unnamed: 43; Unnamed: 44,,,,,0
RCTC-02645,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-02645/Patients record.xlsx,Patients record.xlsx,FCI,readable,,54,12,Unnamed: 0; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11,,,,,1
RCTC-03085,download,rct_expansion/provenance/landing_page_recheck_2026_06_11/downloads/RCTC-03085/Original data-ACB +PCI.xlsx,Original data-ACB +PCI.xlsx,Basic characteristics,readable,,45,15,NO.; Name; ID; Bed number; Age; Sex; Weight(kg); Hight(cm); BMI; Side; Pre-VAS; Pre-knee ROM; Pre-quadriceps strength; ASA status; Duration of operation(min),ID,,,Weight(kg); BMI; Pre-VAS,12
