candidate_id,title,doi,repository,qualification_decision,final_queue,access_bucket,downloaded_file_count,download_failed_count,registered_file_count,archive_extracted_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,participant_level_status,treatment_assignment_status,outcome_status,reasons,best_readable_tables,treatment_evidence,outcome_evidence,metadata_error_summary,failed_download_errors,next_action
RCTC-01930,"Data from: 8-way randomized controlled trial of doxylamine, pyridoxine and dicyclomine for nausea and vomiting during pregnancy: restoration of unpublished information",10.5061/dryad.7gt44,Dryad,not_qualified_before_cleaning,not_qualified_before_cleaning,no_downloadable_data_file_registered,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Do not clean unless metadata/access issue is resolved.
RCTC-00895,Data from: Efficacy and safety of four weeks’ treatment with combined fluticasone furoate/vilanterol in a single inhaler given once daily in COPD: a placebo-controlled randomised trial,10.5061/dryad.7p1r30q5,Dryad,not_qualified_before_cleaning,not_qualified_before_cleaning,no_downloadable_data_file_registered,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Do not clean unless metadata/access issue is resolved.
RCTC-00929,"Supplementary information files for ""Adherence to exercise rehabilitation programmes in stroke survivors: a scoping review""",10.17028/rd.lboro.30147469.v1,Loughborough University,not_qualified_before_cleaning,not_qualified_before_cleaning,no_downloadable_data_file_registered,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Do not clean unless metadata/access issue is resolved.
RCTC-02946,"Supplementary information files for ""Kidney Beam-A Cost-Effective Digital Intervention to Improve Mental Health""",10.17028/rd.lboro.28694822.v1,Loughborough University,not_qualified_before_cleaning,not_qualified_before_cleaning,no_downloadable_data_file_registered,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Do not clean unless metadata/access issue is resolved.
RCTC-02645,Data for: Effects of repetitive transcranial magnetic stimulation in combination with a low-carbohydrate diet in overweight or obese patients. A randomized controlled trial.,10.17632/kdr3b4srbv,Mendeley,not_qualified_before_cleaning,not_qualified_before_cleaning,downloaded_or_inspected,1,0,1,0,3,pass,pass,pass,no,pass,unclear_or_fail,pass,treatment/group assignment not confirmed,Patients record.xlsx:% weigh change rows>=53 cols=22 | Patients record.xlsx:Tests rows>=47 cols=45 | Patients record.xlsx:FCI rows>=54 cols=12,,Initial weight; % change,,,Do not clean unless participant-level treatment assignment is found.
RCTC-03085,"Data for: Efficacy of single-shot adductor canal block combined with posterior capsular infiltration on postoperative pain and functional outcome after total knee arthroplasty: a prospective, double-blind, randomized controlled study",10.17632/pxxtzgzgcz,Mendeley,not_qualified_before_cleaning,not_qualified_before_cleaning,downloaded_or_inspected,2,0,2,0,10,pass,pass,pass,no,pass,unclear_or_fail,pass,treatment/group assignment not confirmed,Original data-ACB +PCI.xlsx:Basic characteristics rows>=45 cols=15 | Original data-ACB +PCI.xlsx:Pain rows>=45 cols=12 | Original data-ACB +PCI.xlsx:Morphine consumption(mg) rows>=45 cols=6 | Original data-ACB +PCI.xlsx:Functional recovery rows>=45 cols=12 | Original data-ACB +PCI.xlsx:Adverse events rows>=45 cols=9 | Original data-PIA.xlsx:Basic characteristics rows>=45 cols=15,,Weight(kg); BMI; Pre-VAS | Po hospital stays (h) | Nausea; Vomiting; Neurovascular complications | Weight(kg); BMI; Pre-VAS,,,Do not clean unless participant-level treatment assignment is found.
RCTC-02622,Data for: Multicenter randomized controlled trial comparing the effectiveness and safety of hydrocellular and hydrocolloid dressings for treatment of stage II pressure ulcers in patients at primary and long-term care institutions.,10.17632/2k98mvnk85,Mendeley,not_qualified_before_cleaning,not_qualified_before_cleaning,downloaded_or_inspected,2,0,2,0,2,pass,pass,pass,no,pass,unclear_or_fail,pass,treatment/group assignment not confirmed,coste_paciente_ per revista.xlsx:coste_paciente rows>=169 cols=7 | datos_analisis2 - english.xlsx:datos_analisis2 rows>=169 cols=19,,Secondary costs | Postural changes; Braden Scale; Push Scale; porc_postural changes; Loss to follow up,,,Do not clean unless participant-level treatment assignment is found.
RCTC-03017,"Data for: Which is the best use for tranexamic acid on patients with thoracolumbar fracture, topical, intravenous or combined? A randomized controlled clinical trial.",10.17632/5fj2mts5db,Mendeley,not_qualified_before_cleaning,not_qualified_before_cleaning,downloaded_or_inspected,1,0,1,0,3,pass,pass,pass,no,pass,unclear_or_fail,pass,treatment/group assignment not confirmed,Electronic Supplementary Material.xlsx:intravenous group rows>=61 cols=27 | Electronic Supplementary Material.xlsx:topical group rows>=61 cols=27 | Electronic Supplementary Material.xlsx:combined group rows>=59 cols=27,,post d-dimer; weight; BMI; total blood loss; post Hct; total blood loss.1; intraoperative blood loss; hidden blood loss | post d-dimer; weight; BMI; total blood loss; post Hct; total blood loss.1; intraoperative blood loss; hidden blood loss | post d-dimer; weight; BMI; total blood loss; post Hct; total blood loss.1; intraoperative blood loss; hidden blood loss,,,Do not clean unless participant-level treatment assignment is found.
RCTC-00346,Effects of family participatory dignity therapy on the psychological well-being and family function of patients with haematological malignancies and their family caregivers: a randomised controlled trial,10.17632/96bk339vr4,Mendeley,not_qualified_before_cleaning,not_qualified_before_cleaning,downloaded_or_inspected,1,0,1,16,16,pass,pass,pass,no,pass,unclear_or_fail,pass,treatment/group assignment not confirmed,Data__A__Family caregivers__baseline.sav:sav rows>=33 cols=86 | Data__A__Family caregivers__eight week.sav:sav rows>=33 cols=76 | Data__A__Family caregivers__first week.sav:sav rows>=33 cols=76 | Data__A__Family caregivers__fourth week.sav:sav rows>=33 cols=76 | Data__A__Patients__baseline.sav:sav rows>=33 cols=123 | Data__A__Patients__eight week.sav:sav rows>=33 cols=96,,,,,Do not clean unless participant-level treatment assignment is found.
RCTC-01303,Aerobic Exercise for Urinary Incontinence in People with Multiple Sclerosis: A Randomized Feasibility Trial,10.5281/zenodo.17865268,Zenodo,not_qualified_before_cleaning,not_qualified_before_cleaning,no_downloadable_data_file_registered,0,0,0,0,0,pass,pass,pass,no,unclear_or_fail,unclear_or_fail,unclear_or_fail,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,,,Do not clean unless metadata/access issue is resolved.
