candidate_id,repository,source_record,file_name,download_url,content_type,declared_size,restricted,role,local_path,download_status,download_error,bytes_downloaded
RCTC-01363,Dryad,10.5061/dryad.vx0k6djsv,Raw_data.xlsx,https://datadryad.org/downloads/file_stream/1216086,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,21717,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-01363,Dryad,10.5061/dryad.vx0k6djsv,read_me_file.docx,https://datadryad.org/downloads/file_stream/1216087,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14891,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-01889,Dryad,10.5061/dryad.bnzs7h4gq,asthma_data_for_repository(003).sav,https://datadryad.org/downloads/file_stream/2423827,,22158,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-01889,Dryad,10.5061/dryad.bnzs7h4gq,README.txt,https://datadryad.org/downloads/file_stream/2423830,text/plain,8236,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_prostate_cancer.csv,https://datadryad.org/downloads/file_stream/4497788,text/csv,6296,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.csv,https://datadryad.org/downloads/file_stream/4497789,text/csv,7480,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.xlsx,https://datadryad.org/downloads/file_stream/4497826,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,14648,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_prostate__cancer.csv,https://datadryad.org/downloads/file_stream/4497790,text/csv,743,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.csv,https://datadryad.org/downloads/file_stream/4497791,text/csv,513,no,data,,failed,curl: (56) The requested URL returned error: 403,
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.xlsx,https://datadryad.org/downloads/file_stream/4497825,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9965,no,data,,failed,curl: (56) The requested URL returned error: 403,
