candidate_id,source_kind,local_path,file_name,sheet_or_object,read_status,read_error,n_rows_sampled,n_cols,columns_sample,id_candidates,treatment_candidates,treatment_levels_sample,outcome_candidates,numeric_col_count
RCTC-03141,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03141/SG_rkae062_supplementary_data (1).docx,SG_rkae062_supplementary_data (1).docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-06362,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-06362/nxab354_supplemental_file.docx,nxab354_supplemental_file.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-02529,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02529/Short-term efficacy of preoperative Duloxetine for patients subjected to modified radical mastectomy A dose ranging randomized controlled trial.sav,Short-term efficacy of preoperative Duloxetine for patients subjected to modified radical mastectomy A dose ranging randomized controlled trial.sav,sav,readable,,419,34,group; Age; ASA; BMI; IV_Fluids; Operative_times; Blood_loss; Time_to_Aldrete_9; morphine_consumption_24hr1; event; VAS_basalR; VAS_basalM; VAS_2hrR; VAS_2hrM; VAS_4hrR; VAS_4hrM; VAS_8hrR; VAS_8hrM; VAS_12hrR; VAS_12hrM; VAS_16hrR; VAS_16hrM; VAS_24hrR; VAS_24hrM; Postoperative_vomiting; Sedation_0to8h; Sedation_9to16h; Sedation_17to24h; QOR_psychological_support; QOR_emotional_state; QOR_Physical_comfort; QOR_physical_independence; QOR_Pain; Total,,group,group: 0 | 30 | 60 | 90,BMI; Blood_loss; event; VAS_basalR; VAS_basalM; VAS_2hrR; VAS_2hrM; VAS_4hrR; VAS_4hrM; VAS_8hrR; VAS_8hrM; VAS_12hrR; VAS_12hrM; VAS_16hrR; VAS_16hrM; VAS_24hrR; VAS_24hrM; Postoperative_vomiting; QOR_Pain,34
RCTC-02917,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02917/DeadCoolAnon_Upload.sav,DeadCoolAnon_Upload.sav,sav,readable,,480,12,Pupil_ID; Group; School_Type_M_C; School_Location; School_Type_G_S; School_Sex; Gender; Ethnicity; Carbonmonoxide_PreTest; Carbonmonoxide_PostTest1; Carbonmonoxide_PostTest2; filter_$,,Group,Group: 1 | 0,Carbonmonoxide_PostTest1; Carbonmonoxide_PostTest2,12
RCTC-05660,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-05660/Tab 2.docx,Tab 2.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-05660,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-05660/Table 1.docx,Table 1.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-02645,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02645/Patients record.xlsx,Patients record.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03085,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03085/Original data-ACB +PCI.xlsx,Original data-ACB +PCI.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03085,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03085/Original data-PIA.xlsx,Original data-PIA.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02622,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02622/coste_paciente_ per revista.xlsx,coste_paciente_ per revista.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02622,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02622/datos_analisis2 - english.xlsx,datos_analisis2 - english.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02610,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02610/PT vs. Home ex. data.xlsx,PT vs. Home ex. data.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03017,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03017/Electronic Supplementary Material.xlsx,Electronic Supplementary Material.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Demographic.xlsx,Demographic.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Group 0U.xlsx,Group 0U.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Group 2U .xlsx,Group 2U .xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Group 4U.xlsx,Group 4U.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Group 6U.xlsx,Group 6U.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03034,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03034/Surgical .xlsx,Surgical .xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02490,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02490/orignial data.xlsx,orignial data.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03078,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03078/UPSIDE DOWNS RAW DATA.xlsx,UPSIDE DOWNS RAW DATA.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-02585,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02585/Supplemental Tables 1 and 2.docx,Supplemental Tables 1 and 2.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-05335,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-05335/BE HEARD 2-Year S_E Supplementary Materials.docx,BE HEARD 2-Year S_E Supplementary Materials.docx,,skipped_unsupported_extension,,,,,,,,,
RCTC-03255,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03255/Immediate Test.xlsx,Immediate Test.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03255,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03255/Pre-Intervention Survey on Critical Approach to AI.xlsx,Pre-Intervention Survey on Critical Approach to AI.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03255,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03255/Delayed Test.xlsx,Delayed Test.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-03255,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-03255/Post-Intervention Survey on Critical Approach to AI.xlsx,Post-Intervention Survey on Critical Approach to AI.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_DataDictionary_SiteC.xlsx,BETTERBP_DataDictionary_SiteC.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_De-identification-DATA_LABELS_SiteA.xlsx,BETTERBP_De-identification-DATA_LABELS_SiteA.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_DataDictionary_SiteA.xlsx,BETTERBP_DataDictionary_SiteA.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_De-identification-DATA_LABELS_SiteB.xlsx,BETTERBP_De-identification-DATA_LABELS_SiteB.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_De-identification-DATA_LABELS_SiteC.xlsx,BETTERBP_De-identification-DATA_LABELS_SiteC.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01781,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01781/BETTERBP_DataDictionary_SiteB.xlsx,BETTERBP_DataDictionary_SiteB.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-05436,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-05436/RESILIENT De-identification Data Dictionary.xlsx,RESILIENT De-identification Data Dictionary.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-05436,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-05436/RESILIENT De-identification Data.xlsx,RESILIENT De-identification Data.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-04002,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-04002/Dataset with description.xlsx,Dataset with description.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-04002,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-04002/Dataset.csv,Dataset.csv,delimited,readable,,494,45,participant_id; group; medical_training; age; gender; education; propensity_1; propensity_2; propensity_3; propensity_4; propensity_5; propensity_6; propensity_to_trust; eheals_1; eheals_2; eheals_3; eheals_4; eheals_5; eheals_6; eheals_7; eheals_8; eHEALS; triage_test; first_decision; first_decision_certainty; second_decision; second_decision_certainty; decision_changed; trust_1; trust_2; trust_3; trust_4; trust_5; trust_6; trust_7; trust_8; trust_9; trust_10; trust_11; trust_12; trust; picture_choice; picture_check; time_on_SC_page; duration_sec,,group,group: Artificial Intelligence | Control Group | Anthropomorphic,decision_changed,39
RCTC-06339,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-06339/EXTRACTNOAC_FAS.xlsx,EXTRACTNOAC_FAS.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-06136,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-06136/Dataset_35862782.xlsx,Dataset_35862782.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-04008,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-04008/Dataset_32947474.xlsx,Dataset_32947474.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
RCTC-01119,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-01119/Proteomics_PMIC 202100160_SampleList.xls,Proteomics_PMIC 202100160_SampleList.xls,,failed,`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,,,,,,,,
RCTC-02467,download,rct_expansion/provenance/landing_page_verification_2026_06_09/downloads/RCTC-02467/SIMCODE Patient Level Data_final.xlsx,SIMCODE Patient Level Data_final.xlsx,,failed,`Import openpyxl` failed.  Use pip or conda to install the openpyxl package.,,,,,,,,
