hhid	villno	group	strno	district	village	hhnum	promotor	code_enum	callback	date_digit1	date_digit2
10120	101.0	3.0	1.0	1	1	20	0	18	0	15102009	20102009
10103	101.0	3.0	1.0	1	1	3	0	18	0	14102009	19102009
10116	101.0	3.0	1.0	1	1	16	0	8	0	15102009	19102009
10107	101.0	3.0	1.0	1	1	7	0	18	0	14102009	19102009
10115	101.0	3.0	1.0	1	1	15	0	2	0	15102009	19102009
10111	101.0	3.0	1.0	1	1	11	0	2	0	14102009	19102009
10109	101.0	3.0	1.0	1	1	9	0	19	0	14102009	19102009
10118	101.0	3.0	1.0	1	1	18	0	18	0	15102009	19102009
10106	101.0	3.0	1.0	1	1	6	0	2	0	14102009	19102009
10104	101.0	3.0	1.0	1	1	4	0	7	0	14102009	19102009
10114	101.0	3.0	1.0	1	1	14	0	6	0	14102009	19102009
10101	101.0	3.0	1.0	1	1	1	0	8	0	14102009	19102009
10119	101.0	3.0	1.0	1	1	19	0	6	0	15102009	20102009
10112	101.0	3.0	1.0	1	1	12	0	19	0	14102009	19102009
10117	101.0	3.0	1.0	1	1	17	0	8	0	15102009	19102009
10102	101.0	3.0	1.0	1	1	2	0	7	0	14102009	19102009
10113	101.0	3.0	1.0	1	1	13	0	19	0	14102009	19102009
10105	101.0	3.0	1.0	1	1	5	0	8	0	14102009	19102009
40105	101.0	3.0	1.0	1	4	5	0	14	0	8102009	25102009
10110	101.0	3.0	1.0	1	1	10	0	6	0	14102009	19102009
10217	102.0	2.0	1.0	1	2	17	0	2	0	19102009	19102009
10205	102.0	2.0	1.0	1	2	5	0	18	0	16102009	19102009
10209	102.0	2.0	1.0	1	2	9	0	8	0	16102009	19102009
10220	102.0	2.0	1.0	1	2	20	0	18	0	19102009	20102009
10208	102.0	2.0	1.0	1	2	8	0	4	0	16102009	20102009
10212	102.0	2.0	1.0	1	2	12	0	4	0	16102009	19102009
10203	102.0	2.0	1.0	1	2	3	0	4	0	16102009	19102009
10218	102.0	2.0	1.0	1	2	18	0	8	1	19102009	19102009
10214	102.0	2.0	1.0	1	2	14	0	6	1	19102009	19102009
10202	102.0	2.0	1.0	1	2	2	0	18	0	16102009	19102009
10211	102.0	2.0	1.0	1	2	11	0	8	0	16102009	19102009
10215	102.0	2.0	1.0	1	2	15	0	8	1	19102009	20102009
10207	102.0	2.0	1.0	1	2	7	0	6	1	16102009	19102009
