district	village	villno	strno	group	hhid	codigo	b01	b02	b03	b04	b05	b06	b07	b08	b09
1	1	101.0	1.0	3.0	10101	101	1			35	1	1		3	1
1	1	101.0	1.0	3.0	10101	102	1			30	2	2		0	1
1	1	101.0	1.0	3.0	10101	103	1			13	3	1	0	1	1
1	1	101.0	1.0	3.0	10101	104	1			8	3	2	0	0	1
1	1	101.0	1.0	3.0	10101	111	1			9	3	2	0	0	1
1	1	101.0	1.0	3.0	10102	101	1			30	1	1		2	1
1	1	101.0	1.0	3.0	10102	102	1			28	2	2	0	3	1
1	1	101.0	1.0	3.0	10102	103	0	5	7	12	3	1			1
1	1	101.0	1.0	3.0	10103	101	1			40	1	1	0	0	1
1	1	101.0	1.0	3.0	10103	102	1			29	2	2	0	0	1
1	1	101.0	1.0	3.0	10103	103	1			8	3	1	0	0	1
1	1	101.0	1.0	3.0	10104	101	1			38	1	1	0	1	1
1	1	101.0	1.0	3.0	10104	102	1			27	2	2	0	0	1
1	1	101.0	1.0	3.0	10104	103	1			13	3	2	1	0	1
1	1	101.0	1.0	3.0	10104	104	1			11	3	1	1	0	1
1	1	101.0	1.0	3.0	10105	101	1			40	1	1		0	1
1	1	101.0	1.0	3.0	10105	102	1			37	2	2		0	1
1	1	101.0	1.0	3.0	10105	103	1			15	3	1	1	1	1
1	1	101.0	1.0	3.0	10105	104	1			12	3	1	1	3	1
1	1	101.0	1.0	3.0	10105	105	1			10	3	1	1	0	1
1	1	101.0	1.0	3.0	10106	101	1			23	1	1	1	7	6
1	1	101.0	1.0	3.0	10106	102	1			21	2	2	0	2	6
1	1	101.0	1.0	3.0	10107	101	1			61	1	1		0	1
1	1	101.0	1.0	3.0	10107	102	1			59	4	2		0	1
1	1	101.0	1.0	3.0	10107	103	1			31	2	2		0	1
1	1	101.0	1.0	3.0	10107	104	1			8	3	2	0	0	1
1	1	101.0	1.0	3.0	10107	105	1			6	3	1	0	0	1
1	1	101.0	1.0	3.0	10109	101	0	6		31	1	1	0	0	2
1	1	101.0	1.0	3.0	10109	102	1			21	2	2	0	2	2
1	1	101.0	1.0	3.0	10109	103	1			7	3	1	1	0	2
1	1	101.0	1.0	3.0	10110	101	1			67	1	1	0	4	1
1	1	101.0	1.0	3.0	10110	102	1			48	2	2	0	0	1
