district	village	villno	strno	group	hhid	codigo	c02	c03	c04	c05	c06	c07	c08	c09
1	1	101.0	1.0	3.0	10102	201	2	3	5	3	1	0	0	0
1	1	101.0	1.0	3.0	10105	121	1	3	15	2	1	0	1	7
1	1	101.0	1.0	3.0	10109	121	1	1	30	3	3	0	1	2
1	2	102.0	1.0	2.0	10203	121	1	7	11	3	1	0	0	2
1	2	102.0	1.0	2.0	10218	121	1	6	999	3	5		0	0
1	3	103.0	1.0	2.0	10302	121	1	1	999	3	2		1	4
1	3	103.0	1.0	2.0	10304	121	1	1	999	3	2		1	4
1	3	103.0	1.0	2.0	10308	121	2	3	16	3	1	1	1	4
1	3	103.0	1.0	2.0	10314	121	1	1	999	3	2		0	0
1	3	103.0	1.0	2.0	10315	121	1	1	35	3	3		1	4
1	3	103.0	1.0	2.0	10318	121	1	5	999	1	1		1	7
1	3	103.0	1.0	2.0	10319	121	1	5	14	3	1	1	0	2
1	4	104.0	1.0	3.0	10405	121	2	3	6	3	1	1	0	0
1	4	104.0	1.0	3.0	10414	121	1	4	999	3	3		0	0
1	5	105.0	1.0	3.0	10507	121	1	14	28	2	2	0	1	1
1	5	105.0	1.0	3.0	10510	121	1	1	28	1	3	0	1	6
1	5	105.0	1.0	3.0	10510	122	1	10	9	3	1	1	0	0
1	5	105.0	1.0	3.0	10512	121	1	1	36	1	2		1	4
1	5	105.0	1.0	3.0	10512	122	2	14	19	3	1	0	0	0
1	5	105.0	1.0	3.0	10519	121	1	8	20	2	1	1	1	3
1	5	105.0	1.0	3.0	10519	122	1	3	6	3	1	0	0	0
1	6	106.0	1.0	3.0	10604	121	1	15	15	1	1	0	1	4
1	6	106.0	1.0	3.0	10607	121	1	3	12	3	1	1	0	1
1	6	106.0	1.0	3.0	10607	122	1	3	10	3	1	0	0	0
1	6	106.0	1.0	3.0	10612	121	2	5	999	3	1		1	0
1	7	107.0	1.0	3.0	10705	121	2	14	59	3	6		0	0
1	7	107.0	1.0	3.0	10706	121	2	12	12	3	1	1	0	1
1	7	107.0	1.0	3.0	10711	121	1	5	5	3	1	0	0	0
1	7	107.0	1.0	3.0	10716	121	2	8	12	3	1	1	0	2
1	7	107.0	1.0	3.0	10718	121	2	3	7	2	1	1	0	0
1	7	107.0	1.0	3.0	10719	121	2	1	999	1	2		1	4
1	7	107.0	1.0	3.0	10719	122	2	3	8	3	1	1	1	0
1	8	108.0	1.0	2.0	10806	121	2	4	36	2	3		0	0
1	8	108.0	1.0	2.0	10806	122	1	4	40	2	3		0	0
1	8	108.0	1.0	2.0	10810	104	2	3	17	1	3	1	1	5
1	8	108.0	1.0	2.0	10815	121	1	1	29	2	1	0	1	2
1	9	109.0	1.0	1.0	10902	121	2	2	30	3	2	0	0	0
1	9	109.0	1.0	1.0	10902	122	1	3	9	3	1	1	1	2
1	9	109.0	1.0	1.0	10902	123	2	3	7	3	1	1	0	0
1	9	109.0	1.0	1.0	10904	121	1	1	29	3	2	0	0	1
1	9	109.0	1.0	1.0	10912	121	1	3	6	3	1	1	0	0
1	9	109.0	1.0	1.0	10912	123	2	3	13	3	1	1	0	1
1	9	109.0	1.0	1.0	10912	201	1	3	8	3	1	1	0	0
1	9	109.0	1.0	1.0	10915	121	1	12	7	3	1	1	0	1
1	9	109.0	1.0	1.0	10919	121	2	3	26	3	2	0	0	0
1	11	111.0	1.0	1.0	11103	121	2	4	62	3	6		0	0
1	11	111.0	1.0	1.0	11108	121	1	8	13	3	1	0	1	3
1	11	111.0	1.0	1.0	11108	122	2	3	14	3	1	1	0	2
1	11	111.0	1.0	1.0	11108	123	2	3	4	3	1	0	0	0
1	11	111.0	1.0	1.0	11110	121	1	3	9	2	1	1	1	2
1	11	111.0	1.0	1.0	11113	121	1	3	10	3	1	0	0	0
1	11	111.0	1.0	1.0	11115	201	1	3	6	3	1	1	0	0
1	11	111.0	1.0	1.0	11118	121	1	3	14	3	1	1	0	2
1	11	111.0	1.0	1.0	11118	122	1	3	9	3	1	1	0	0
1	11	111.0	1.0	1.0	11120	121	1	1	999	3	3		1	0
1	12	112.0	1.0	2.0	11201	121	1	3	999	3	2		1	2
1	12	112.0	1.0	2.0	11201	122	2	4	999	3	2		0	2
1	12	112.0	1.0	2.0	11206	121	1	1	47	1	2		1	6
1	12	112.0	1.0	2.0	11207	121	1	1	999	2	2		1	1
1	12	112.0	1.0	2.0	11209	121	2	3	999	3	1		0	0
1	12	112.0	1.0	2.0	11217	121	1	3	13	3	1	1	0	1
1	13	113.0	1.0	3.0	11305	121	2	5	6	3	1	1	0	1
1	13	113.0	1.0	3.0	11312	121	2	3	8	3	1	1	0	0
1	13	113.0	1.0	3.0	11317	121	2	6	71	3	6		0	0
1	14	114.0	1.0	2.0	11401	121	1	1	32	3	2		1	4
1	14	114.0	1.0	2.0	11419	121	2	3	6	3	1	1	0	1
1	15	115.0	1.0	1.0	11514	121	1	3	8	3	1	0	0	0
1	15	115.0	1.0	1.0	11516	121	1	2	24	3	2	0	0	0
1	16	116.0	1.0	1.0	11614	121	2	3	999	3	1		0	0
1	16	116.0	1.0	1.0	11617	121	1	3	13	2	1	1	0	3
1	17	117.0	1.0	2.0	11716	121	1	3	8	2	1	1	0	1
1	18	118.0	1.0	1.0	11805	121	1	3	29	3	2	0	1	3
1	18	118.0	1.0	1.0	11805	122	2	4	26	3	2	0	0	3
1	18	118.0	1.0	1.0	11805	123	2	8	9	3	1	0	0	1
1	18	118.0	1.0	1.0	11812	121	2	3	7	3	1	1	0	0
1	18	118.0	1.0	1.0	11812	122	1	1	29	2	2	0	1	3
1	18	118.0	1.0	1.0	11814	121	2	2	999	3	2		0	0
1	18	118.0	1.0	1.0	11814	122	2	3	9	3	1	1	0	0
1	18	118.0	1.0	1.0	11816	121	1	5	5	3	1	1	0	0
1	18	118.0	1.0	1.0	11816	122	1	3	3	3	1	0	0	0
2	1	201.0	2.0	3.0	20107	121	1	3	18	1	5	1	1	4
2	1	201.0	2.0	3.0	20117	121	1	1	29	2	2	0	0	0
2	2	202.0	2.0	3.0	20205	121	2	2	37	1	2		1	5
2	2	202.0	2.0	3.0	20205	122	1	1	35	1	2		1	7
2	2	202.0	2.0	3.0	20205	123	1	8	10	1	1	1	1	3
