district	village	villno	strno	group	hhid	codigo	d01	d02	d03	d04	d05	d06
1	1	101.0	1.0	3.0	10101	201	1		1	4	0	
1	1	101.0	1.0	3.0	10102	202	1		1	3	0	
1	1	101.0	1.0	3.0	10103	201	1		1	7	0	
1	1	101.0	1.0	3.0	10103	202	1		1	5	0	
1	1	101.0	1.0	3.0	10103	211	1		2	1	0	
1	1	101.0	1.0	3.0	10104	201	1		1	6	0	
1	1	101.0	1.0	3.0	10105	201	1		2	5	0	
1	1	101.0	1.0	3.0	10105	211	1		2	1	0	
1	1	101.0	1.0	3.0	10106	202	1		1	4	0	
1	1	101.0	1.0	3.0	10106	211	1		1	1	0	
1	1	101.0	1.0	3.0	10107	201	1		1	4	0	
1	1	101.0	1.0	3.0	10107	211	1		2	1	0	
1	1	101.0	1.0	3.0	10109	201	1		1	6	1	0
1	1	101.0	1.0	3.0	10109	202	1		1	4	0	
1	1	101.0	1.0	3.0	10110	201	1		1	5	0	
1	1	101.0	1.0	3.0	10111	201	1		1	6	0	
1	1	101.0	1.0	3.0	10112	201	1		2	5	0	
1	1	101.0	1.0	3.0	10112	202	1		1	4	0	
1	1	101.0	1.0	3.0	10112	211	1		1	2	0	0
1	1	101.0	1.0	3.0	10113	202	1		2	6	0	
1	1	101.0	1.0	3.0	10114	201	1		1	7	0	
1	1	101.0	1.0	3.0	10114	202	1		1	4	0	
1	1	101.0	1.0	3.0	10114	211	1		1	2	0	
1	1	101.0	1.0	3.0	10115	201	1		2	7	0	
1	1	101.0	1.0	3.0	10115	202	1		1	5	0	
1	1	101.0	1.0	3.0	10115	211	1		1	1	0	
1	1	101.0	1.0	3.0	10116	201	1		1	6	0	
1	1	101.0	1.0	3.0	10117	201	1		1	5	0	
1	1	101.0	1.0	3.0	10118	201	1		1	8	0	
1	1	101.0	1.0	3.0	10118	202	1		1	6	0	
1	1	101.0	1.0	3.0	10118	203	1		2	4	0	
1	1	101.0	1.0	3.0	10119	201	1		1	6	0	
1	1	101.0	1.0	3.0	10119	202	1		1	4	0	
1	1	101.0	1.0	3.0	10119	211	1		2	1	0	
1	1	101.0	1.0	3.0	10120	201	1		1	2	0	
1	1	101.0	1.0	3.0	10120	211	1		1	1	0	
1	2	102.0	1.0	2.0	10202	201	1		1	6	1	0
1	2	102.0	1.0	2.0	10202	202	1		1	5	0	
1	2	102.0	1.0	2.0	10202	211	1		2	3	0	
1	2	102.0	1.0	2.0	10203	201	1		1	7	0	
1	2	102.0	1.0	2.0	10203	202	1		2	3	0	
1	2	102.0	1.0	2.0	10203	211	1		1	2	0	
1	2	102.0	1.0	2.0	10205	201	1		2	5	1	0
1	2	102.0	1.0	2.0	10205	211	1		1	3	0	
1	2	102.0	1.0	2.0	10207	201	1		2	9	0	
1	2	102.0	1.0	2.0	10207	202	1		2	4	0	
1	2	102.0	1.0	2.0	10207	211	1		2	1	0	
1	2	102.0	1.0	2.0	10208	201	0	2				
1	2	102.0	1.0	2.0	10208	202	1		1	5	1	0
1	2	102.0	1.0	2.0	10209	201	1		1	8	1	0
1	2	102.0	1.0	2.0	10209	202	1		2	5	0	
1	2	102.0	1.0	2.0	10209	203	1		2	1	0	
1	2	102.0	1.0	2.0	10209	211	1		2	1	0	
1	2	102.0	1.0	2.0	10211	201	1		2	3	0	
1	2	102.0	1.0	2.0	10211	211	1		1	2	0	
1	2	102.0	1.0	2.0	10212	202	1		2	4	0	
1	2	102.0	1.0	2.0	10212	211	1		1	2	0	
1	2	102.0	1.0	2.0	10214	201	1		2	5	0	
1	2	102.0	1.0	2.0	10214	202	1		2	3	0	
1	2	102.0	1.0	2.0	10214	211	1		1	1	0	
1	2	102.0	1.0	2.0	10215	201	1		2	5	1	0
1	2	102.0	1.0	2.0	10215	202	1		2	3	0	
1	2	102.0	1.0	2.0	10215	211	1		2	2	0	
1	2	102.0	1.0	2.0	10217	201	1		1	6	1	0
1	2	102.0	1.0	2.0	10217	211	1		2	1	0	
1	2	102.0	1.0	2.0	10218	201	1		1	3	0	
1	2	102.0	1.0	2.0	10218	211	1		1	1	0	
1	2	102.0	1.0	2.0	10219	201	1		2	6	0	0
1	2	102.0	1.0	2.0	10219	202	1		1	5	0	0
1	2	102.0	1.0	2.0	10219	211	1		2	3	0	0
1	2	102.0	1.0	2.0	10220	201	1		1	5	0	
1	3	103.0	1.0	2.0	10302	201	1		2	3	0	
1	3	103.0	1.0	2.0	10303	201	1		2	8	1	0
1	3	103.0	1.0	2.0	10303	202	1		2	3	0	
1	3	103.0	1.0	2.0	10303	211	1		1	2	0	
1	3	103.0	1.0	2.0	10304	201	1		1	8	1	0
1	3	103.0	1.0	2.0	10304	202	1		1	3	0	
1	3	103.0	1.0	2.0	10304	211	1		1	2	0	
1	3	103.0	1.0	2.0	10306	201	1		2	5	0	
1	3	103.0	1.0	2.0	10306	211	1		2	3	0	
1	3	103.0	1.0	2.0	10307	201	1		1	6	1	0
1	3	103.0	1.0	2.0	10307	202	1		1	4	0	
1	3	103.0	1.0	2.0	10307	211	1		2	1	0	
1	3	103.0	1.0	2.0	10308	201	1		2	8	1	2
1	3	103.0	1.0	2.0	10308	202	1		1	6	0	
1	3	103.0	1.0	2.0	10308	203	1		1	4	0	
1	3	103.0	1.0	2.0	10308	211	1		2	2	0	
1	3	103.0	1.0	2.0	10309	202	1		2	8	1	0
1	3	103.0	1.0	2.0	10309	203	1		2	3	0	
1	3	103.0	1.0	2.0	10311	201	1		2	3	0	
1	3	103.0	1.0	2.0	10311	211	1		1	2	0	
1	3	103.0	1.0	2.0	10312	201	1		1	6	0	
1	3	103.0	1.0	2.0	10312	202	1		2	4	0	
1	3	103.0	1.0	2.0	10312	203	1		2	3	0	
1	3	103.0	1.0	2.0	10313	201	1		2	4	0	
1	3	103.0	1.0	2.0	10313	211	1		1	1	0	
1	3	103.0	1.0	2.0	10314	201	1		2	4	1	0
1	3	103.0	1.0	2.0	10314	202	1		2	6	0	
1	3	103.0	1.0	2.0	10315	201	1		1	5	1	0
1	3	103.0	1.0	2.0	10315	202	1		2	3	0	
1	3	103.0	1.0	2.0	10315	203	1		2	3	0	
1	3	103.0	1.0	2.0	10316	201	1		2	5	0	
1	3	103.0	1.0	2.0	10317	103	1		2	9	0	2
1	3	103.0	1.0	2.0	10317	202	1		2	6	0	0
1	3	103.0	1.0	2.0	10317	211	1		1	3	0	0
1	3	103.0	1.0	2.0	10318	201	1		2	6	1	0
1	3	103.0	1.0	2.0	10318	202	1		1	4	0	
1	3	103.0	1.0	2.0	10318	203	1		2	7	1	0
1	3	103.0	1.0	2.0	10318	204	1		2	7	0	
1	3	103.0	1.0	2.0	10319	201	0	2	2	6	0	
1	3	103.0	1.0	2.0	10320	201	1		2	5	1	0
1	3	103.0	1.0	2.0	10320	202	1		1	3	0	
1	4	104.0	1.0	3.0	10401	201	1		1	6	0	
1	4	104.0	1.0	3.0	10401	202	1		1	5	0	
1	4	104.0	1.0	3.0	10401	211	1		2	2	0	
1	4	104.0	1.0	3.0	10402	201	1		2	5	0	
1	4	104.0	1.0	3.0	10402	211	1		2	1	0	
1	4	104.0	1.0	3.0	10403	201	1		2	6	0	
1	4	104.0	1.0	3.0	10403	202	1		2	5	0	
1	4	104.0	1.0	3.0	10403	203	1		2	4	0	
1	4	104.0	1.0	3.0	10403	211	1		2	2	0	
1	4	104.0	1.0	3.0	10404	201	1		1	4	0	
1	4	104.0	1.0	3.0	10405	202	1		2	4	0	
1	4	104.0	1.0	3.0	10405	203	1		2	3	0	
1	4	104.0	1.0	3.0	10407	201	1		2	5	0	
1	4	104.0	1.0	3.0	10408	202	1		2	4	0	
1	4	104.0	1.0	3.0	10408	211	1		1	3	0	
1	4	104.0	1.0	3.0	10410	201	1		2	3	0	0
1	4	104.0	1.0	3.0	10410	202	1		1	8	1	3
1	4	104.0	1.0	3.0	10411	201	1		1	3	0	
1	4	104.0	1.0	3.0	10411	211	1		2	2	0	
1	4	104.0	1.0	3.0	10412	201	0	2	2	10	1	1
1	4	104.0	1.0	3.0	10412	202	1		2	8	1	0
1	4	104.0	1.0	3.0	10412	203	1		1	5	0	
1	4	104.0	1.0	3.0	10413	201	1		2	5	0	
1	4	104.0	1.0	3.0	10414	201	1		1	4	0	
1	4	104.0	1.0	3.0	10414	202	1		2	3	0	
1	4	104.0	1.0	3.0	10416	201	1		1	4	0	
1	4	104.0	1.0	3.0	10416	211	1		2	2	0	
1	4	104.0	1.0	3.0	10416	212	1		1	1	0	
1	4	104.0	1.0	3.0	10417	201	1		2	6	0	
1	4	104.0	1.0	3.0	10417	202	1		2	3	0	
1	4	104.0	1.0	3.0	10418	201	1		2	6	1	0
1	4	104.0	1.0	3.0	10418	202	1		1	4	0	
1	4	104.0	1.0	3.0	10419	201	1		2	4	0	
1	4	104.0	1.0	3.0	10419	211	1		2	2	0	
1	4	104.0	1.0	3.0	10420	201	1		2	5	0	
1	5	105.0	1.0	3.0	10501	201	1		1	4	0	
1	5	105.0	1.0	3.0	10502	111	1		1	7	1	0
1	5	105.0	1.0	3.0	10502	201	1		1	6	1	0
1	5	105.0	1.0	3.0	10502	202	1		1	5	1	0
1	5	105.0	1.0	3.0	10503	201	1		1	4	0	
1	5	105.0	1.0	3.0	10503	211	1		2	2	0	
1	5	105.0	1.0	3.0	10504	201	1		2	7	0	
1	5	105.0	1.0	3.0	10504	202	1		2	5	0	
1	5	105.0	1.0	3.0	10504	211	1		2	0	0	
1	5	105.0	1.0	3.0	10505	201	1		2	7	1	0
1	5	105.0	1.0	3.0	10505	202	1		2	4	0	
1	5	105.0	1.0	3.0	10505	211	1		2	2	0	
1	5	105.0	1.0	3.0	10507	201	1		1	7	0	
1	5	105.0	1.0	3.0	10508	201	1		2	2	0	
1	5	105.0	1.0	3.0	10508	211	1		2	6	0	
1	5	105.0	1.0	3.0	10509	201	1		2	8	0	
1	5	105.0	1.0	3.0	10509	211	1		2	2	0	
1	5	105.0	1.0	3.0	10510	201	1		2	4	0	
1	5	105.0	1.0	3.0	10510	211	1		1	2	0	
1	5	105.0	1.0	3.0	10511	201	1		1	3	0	
1	5	105.0	1.0	3.0	10511	211	1		1	2	0	
1	5	105.0	1.0	3.0	10512	201	1		2	4	0	
1	5	105.0	1.0	3.0	10513	201	1		2	3	0	
1	5	105.0	1.0	3.0	10515	201	1		1	5	1	0
1	5	105.0	1.0	3.0	10515	202	1		1	3	0	
1	5	105.0	1.0	3.0	10516	201	1		2	4	0	
1	5	105.0	1.0	3.0	10516	211	1		2	3	0	
1	5	105.0	1.0	3.0	10518	201	1		1	6	0	
1	5	105.0	1.0	3.0	10519	201	1		1	8	1	0
1	5	105.0	1.0	3.0	10519	202	1		1	4	0	
1	5	105.0	1.0	3.0	10520	201	1		1	8	1	0
1	5	105.0	1.0	3.0	10520	202	1		1	4	1	0
1	5	105.0	1.0	3.0	10520	203	1		2	3	0	
1	6	106.0	1.0	3.0	10601	201	1		2	3	0	0
1	6	106.0	1.0	3.0	10601	211	1		1	1	0	0
1	6	106.0	1.0	3.0	10602	201	1		2	6	1	0
1	6	106.0	1.0	3.0	10602	202	1		2	4	0	
1	6	106.0	1.0	3.0	10602	211	1		1	2	0	
1	6	106.0	1.0	3.0	10603	201	1		1	7	1	1
1	6	106.0	1.0	3.0	10603	202	1		1	3	0	
1	6	106.0	1.0	3.0	10604	201	1		2	7	1	0
1	6	106.0	1.0	3.0	10604	202	1		2	4	0	
1	6	106.0	1.0	3.0	10604	211	1		1	2	0	
1	6	106.0	1.0	3.0	10605	201	1		1	6	1	0
1	6	106.0	1.0	3.0	10605	202	1		1	5	0	
1	6	106.0	1.0	3.0	10605	211	1		2	2	0	
1	6	106.0	1.0	3.0	10606	201	1		2	7	1	0
1	6	106.0	1.0	3.0	10606	202	1		1	4	0	
1	6	106.0	1.0	3.0	10607	201	1		2	4	0	
1	6	106.0	1.0	3.0	10607	211	1		1	1	0	
1	6	106.0	1.0	3.0	10608	201	1		2	6	1	0
1	6	106.0	1.0	3.0	10608	202	0	3	2	2	0	
1	6	106.0	1.0	3.0	10609	201	1		1	3	0	
1	6	106.0	1.0	3.0	10609	211	1		1	2	0	
1	6	106.0	1.0	3.0	10610	201	1		2	3	0	
1	6	106.0	1.0	3.0	10611	201	1		2	7	0	
1	6	106.0	1.0	3.0	10612	201	1		2	5	0	
1	6	106.0	1.0	3.0	10613	201	1		1	6	0	
1	6	106.0	1.0	3.0	10613	202	1		2	4	0	
1	6	106.0	1.0	3.0	10614	201	1		2	5	0	
1	6	106.0	1.0	3.0	10614	211	1		2	3	0	
1	6	106.0	1.0	3.0	10615	201	1		1	5	0	
1	6	106.0	1.0	3.0	10615	211	1		2	4	0	
1	6	106.0	1.0	3.0	10617	201	1		2	4	0	
1	6	106.0	1.0	3.0	10618	201	1		2	8	1	0
1	6	106.0	1.0	3.0	10618	202	0	2	1	5	0	
1	6	106.0	1.0	3.0	10618	203	1		2	4	0	
1	6	106.0	1.0	3.0	10618	211	1		2	1	0	
1	6	106.0	1.0	3.0	10620	201	1		2	8	0	
1	6	106.0	1.0	3.0	10620	202	1		2	6	0	
1	6	106.0	1.0	3.0	10620	211	1		1	1	0	
1	7	107.0	1.0	3.0	10701	201	1		1	4	0	
