district	village	villno	strno	group	hhid	codigo	e02	e03	e04	e05	e06	e07a	e07b	e08a	e08b	e09
1	1	101.0	1.0	3.0	10101	101	1	0	0	1						
1	1	101.0	1.0	3.0	10101	102	1	0	0	1						
1	1	101.0	1.0	3.0	10101	103	1	0	0	1						
1	1	101.0	1.0	3.0	10102	101	1	0	0	1						
1	1	101.0	1.0	3.0	10102	102	1	0	0	1						
1	1	101.0	1.0	3.0	10102	103	1	0	0	5						
1	1	101.0	1.0	3.0	10103	101	1	0	0	1						
1	1	101.0	1.0	3.0	10103	102	1	0	0	6						
1	1	101.0	1.0	3.0	10104	101	1	0	1	7	0	"FERREIRO"	19	12.0	2000	2
1	1	101.0	1.0	3.0	10104	102	1	0	0	1						
1	1	101.0	1.0	3.0	10104	103	1	0	0	5						
1	1	101.0	1.0	3.0	10104	104	1	0	0	5						
1	1	101.0	1.0	3.0	10105	101	1	0	0	1						
1	1	101.0	1.0	3.0	10105	102	1	0	0	1						
1	1	101.0	1.0	3.0	10105	103	1	0	0	5						
1	1	101.0	1.0	3.0	10105	104	1	0	0	5						
1	1	101.0	1.0	3.0	10105	105	1	0	0	5						
1	1	101.0	1.0	3.0	10105	121	1	0	0	1						
1	1	101.0	1.0	3.0	10106	101	1	0	0	5						
1	1	101.0	1.0	3.0	10106	102	1	0	0	1						
1	1	101.0	1.0	3.0	10107	101	1	0	0	1						
1	1	101.0	1.0	3.0	10107	102	1	0	0	1						
1	1	101.0	1.0	3.0	10107	103	1	0	0	6						
1	1	101.0	1.0	3.0	10109	101	1	0	0	1						
1	1	101.0	1.0	3.0	10109	102	1	0	0	1						
1	1	101.0	1.0	3.0	10110	101	1	0	0	1						
1	1	101.0	1.0	3.0	10110	102	1	0	0	1						
1	1	101.0	1.0	3.0	10110	103	1	0	0	5						
1	1	101.0	1.0	3.0	10110	104	1	0	0	5						
1	1	101.0	1.0	3.0	10110	105	1	0	0	6						
1	1	101.0	1.0	3.0	10111	101	1	0	0	1						
1	1	101.0	1.0	3.0	10111	102	1	0	0	1						
1	1	101.0	1.0	3.0	10111	103	1	0	0	1						
1	1	101.0	1.0	3.0	10111	104	1	0	0	1						
1	1	101.0	1.0	3.0	10111	105	1	0	0	1						
1	1	101.0	1.0	3.0	10111	106	0	0	0	9						
1	1	101.0	1.0	3.0	10111	112	1	0	0	1						
1	1	101.0	1.0	3.0	10112	101	1	0	0	1						
1	1	101.0	1.0	3.0	10112	102	1	0	0	1						
1	1	101.0	1.0	3.0	10113	101	1	0	0	1						
1	1	101.0	1.0	3.0	10113	104	1	0	0	1						
1	1	101.0	1.0	3.0	10114	101	1	0	0	1						
1	1	101.0	1.0	3.0	10114	102	1	1	0	1	0	"GANHO GANHO"	2	0.3	100	2
1	1	101.0	1.0	3.0	10114	103	1	0	0	6						
1	1	101.0	1.0	3.0	10115	101	1	0	0	1						
1	1	101.0	1.0	3.0	10115	102	1	0	0	1						
1	1	101.0	1.0	3.0	10116	101	1	0	0	1						
1	1	101.0	1.0	3.0	10116	102	1	0	0	1						
1	1	101.0	1.0	3.0	10116	103	1	0	0	1						
1	1	101.0	1.0	3.0	10116	106	1	0	0	1						
1	1	101.0	1.0	3.0	10117	101	1	0	1	4	0	"CARPINTARIA"	19	12.0	70000	2
1	1	101.0	1.0	3.0	10117	102	1	0	0	1						
1	1	101.0	1.0	3.0	10117	103	1	0	0	6						
1	1	101.0	1.0	3.0	10118	101	1	0	0	1						
1	1	101.0	1.0	3.0	10118	102	1	0	0	6						
1	1	101.0	1.0	3.0	10118	103	1	0	0	1						
1	1	101.0	1.0	3.0	10119	101	1	0	0	1						
1	1	101.0	1.0	3.0	10119	102	1	0	0	1						
1	1	101.0	1.0	3.0	10119	104	1	0	0	6						
1	1	101.0	1.0	3.0	10119	105	1	0	0	5						
1	1	101.0	1.0	3.0	10120	101	1	0	0	1						
1	1	101.0	1.0	3.0	10120	102	1	0	0	6						
1	1	101.0	1.0	3.0	10120	104	1	0	0	1						
1	1	101.0	1.0	3.0	10120	106	1	0	0	1						
1	2	102.0	1.0	2.0	10202	101	1	0	0	1						
1	2	102.0	1.0	2.0	10202	102	1	0	0	6						
1	2	102.0	1.0	2.0	10203	101	1	0	1	1	0	"E CARPINTEIRO"	2			
1	2	102.0	1.0	2.0	10203	102	1	0	0	1						
1	2	102.0	1.0	2.0	10203	103	1	0	0	5						
1	2	102.0	1.0	2.0	10203	121	1	0	0	5						
1	2	102.0	1.0	2.0	10205	101	1	0	0	1						
1	2	102.0	1.0	2.0	10205	102	1	0	0	1						
1	2	102.0	1.0	2.0	10205	103	1	0	0	5						
1	2	102.0	1.0	2.0	10207	101	1	0	0	1						
1	2	102.0	1.0	2.0	10207	102	1	0	0	1						
1	2	102.0	1.0	2.0	10207	103	1	0	0	6						
1	2	102.0	1.0	2.0	10208	101	1	0	0	1						
1	2	102.0	1.0	2.0	10208	102	1	0	1	1	0	"VENDE BANANAS"	8	8.0	1000	2
1	2	102.0	1.0	2.0	10208	104	1	0	0	5						
1	2	102.0	1.0	2.0	10209	101	1	0	1	4	0	"FABRICO DE CARVAO"	8	12.0	50000	2
1	2	102.0	1.0	2.0	10209	102	1	0	1	4	0	"REVENDEDOR DE BANANS"	6	5.0	5000	2
1	2	102.0	1.0	2.0	10209	103	1	0	0	1						
1	2	102.0	1.0	2.0	10209	104	1	0	0	1						
1	2	102.0	1.0	2.0	10211	101	1	0	0	1						
1	2	102.0	1.0	2.0	10211	102	1	0	0	1						
1	2	102.0	1.0	2.0	10211	103	1	0	0	5						
1	2	102.0	1.0	2.0	10211	104	1	0	0	5						
1	2	102.0	1.0	2.0	10211	105	1	0	0	5						
1	2	102.0	1.0	2.0	10211	106	1	0	0	5						
1	2	102.0	1.0	2.0	10212	102	1	0	0	1						
1	2	102.0	1.0	2.0	10212	103	1	0	0	5						
1	2	102.0	1.0	2.0	10214	101	1	0	1	4	0	"COMERCIANTE DE MILHO"	4	4.0	25000	2
1	2	102.0	1.0	2.0	10214	102	1	0	0	1						
1	2	102.0	1.0	2.0	10215	101	1	0	1	4	0	"REVENDEDOR DE MILHO"	6	12.0	50000	2
1	2	102.0	1.0	2.0	10215	102	1	0	0	1						
1	2	102.0	1.0	2.0	10217	101	1	1	0	3	1	"PROFESSOR ASSALARIADO"	1	12.0	37152	1
1	2	102.0	1.0	2.0	10217	102	1	0	0	1						
1	2	102.0	1.0	2.0	10217	103	1	0	0	5						
1	2	102.0	1.0	2.0	10217	104	0	0	0	9						
1	2	102.0	1.0	2.0	10218	101	1	1	1	1	0	"FABRICO DE CARVAO"	8	12.0	24000	2
1	2	102.0	1.0	2.0	10218	102	1	0	0	1						
1	2	102.0	1.0	2.0	10218	121	0	0	0	9						
1	2	102.0	1.0	2.0	10219	101	1	0	1	1	0	"PEDREIRO"	2	2.0	2000	2
1	2	102.0	1.0	2.0	10219	102	1	0	0	1						
1	2	102.0	1.0	2.0	10220	101	1	0	0	1						
1	2	102.0	1.0	2.0	10220	102	1	0	0	6						
1	2	102.0	1.0	2.0	10220	103	1	0	0	6						
1	2	102.0	1.0	2.0	10220	104	1	0	0	5						
1	2	102.0	1.0	2.0	10220	105	0	0	0	9						
1	2	102.0	1.0	2.0	10220	106	0	0	0	9						
1	3	103.0	1.0	2.0	10302	102	1	0	0	1						
1	3	103.0	1.0	2.0	10302	121	1	0	0	1						
1	3	103.0	1.0	2.0	10303	101	1	0	0	1						
1	3	103.0	1.0	2.0	10303	102	1	0	0	1						
1	3	103.0	1.0	2.0	10303	103	1	0	0	5						
1	3	103.0	1.0	2.0	10303	104	1	0	0	5						
1	3	103.0	1.0	2.0	10303	105	1	0	0	5						
1	3	103.0	1.0	2.0	10303	106	0	0	0	9						
1	3	103.0	1.0	2.0	10304	102	1	1	0	1	0	"TRABALHO AGRICOLA"	2	1.0	1000	2
1	3	103.0	1.0	2.0	10304	121	1	0	0	1						
1	3	103.0	1.0	2.0	10306	101	1	0	1	1	1	"COMPRA E REVENDEDOR DE MILHO"	19	3.0	10000	1
1	3	103.0	1.0	2.0	10306	102	1	0	0	1						
1	3	103.0	1.0	2.0	10307	101	1	0	1	1	1	"COMPRA E VENDA DE MILHO"	19	4.0	32500	2
1	3	103.0	1.0	2.0	10307	102	1	0	0	1						
1	3	103.0	1.0	2.0	10308	101	1	0	1	4	0	"COMPRA E VENDA DE MILHO"	6	12.0	55000	2
1	3	103.0	1.0	2.0	10308	102	1	0	0	1						
1	3	103.0	1.0	2.0	10308	103	1	0	0	1						
1	3	103.0	1.0	2.0	10308	104	0	0	0	9						
1	3	103.0	1.0	2.0	10308	121	1	0	0	1						
1	3	103.0	1.0	2.0	10309	101	1	0	1	1	0	"VENDE A BEIRA DA ESTRADA"	19	7.0	21000	2
1	3	103.0	1.0	2.0	10309	102	1	0	0	1						
1	3	103.0	1.0	2.0	10309	104	0	0	0	9						
1	3	103.0	1.0	2.0	10311	101	1	0	1	1	0	"VENDA DE ROUPA"	6	6.0	15000	2
1	3	103.0	1.0	2.0	10311	102	1	0	0	1						
1	3	103.0	1.0	2.0	10312	101	1	1	0	3	0	"COBRANCA DE IMPOSTOS"	1	12.0	25200	2
1	3	103.0	1.0	2.0	10312	102	1	0	0	1						
1	3	103.0	1.0	2.0	10313	101	1	0	0	1						
1	3	103.0	1.0	2.0	10313	102	1	0	0	1						
1	3	103.0	1.0	2.0	10313	105	1	0	0	5						
1	3	103.0	1.0	2.0	10313	106	1	0	0	5						
1	3	103.0	1.0	2.0	10314	101	1	0	0	1						
1	3	103.0	1.0	2.0	10314	121	1	0	1	1	1	"FABRICO E VENDA DE PILAO"	4	1.0	2400	2
1	3	103.0	1.0	2.0	10315	101	1	0	1	1	0	"COMPRA E VENDA"	6	2.0	3000	2
1	3	103.0	1.0	2.0	10315	121	1	0	0	1						
1	3	103.0	1.0	2.0	10316	101	1	1	1	4	0	"VENDA DE BOLO"	6	3.0	9000	2
1	3	103.0	1.0	2.0	10316	102	1	1	1	4	0	"VENDA DE OLEO"	6	10.0	2000	2
1	3	103.0	1.0	2.0	10317	101	1	0	0	1						
1	3	103.0	1.0	2.0	10317	102	1	0	0	1						
1	3	103.0	1.0	2.0	10318	101	1	0	0	1						
1	3	103.0	1.0	2.0	10318	102	1	0	0	1						
1	3	103.0	1.0	2.0	10318	103	1	0	1	5	0	"AGRICOLA"	2	0.1	1000	2
1	3	103.0	1.0	2.0	10318	104	1	0	0	5						
