hhid	villno	group	strno	district	village	codigo1	codigo2	f01
10101	101.0	3.0	1.0	1	1	102	102	3
10102	101.0	3.0	1.0	1	1	101	101	5
10103	101.0	3.0	1.0	1	1	101	101	3
10104	101.0	3.0	1.0	1	1	101	102	4
10105	101.0	3.0	1.0	1	1	102	102	1
10106	101.0	3.0	1.0	1	1	102	102	5
10107	101.0	3.0	1.0	1	1	103	103	3
10109	101.0	3.0	1.0	1	1	102	102	3
10110	101.0	3.0	1.0	1	1	102	102	4
10111	101.0	3.0	1.0	1	1	102	102	5
10112	101.0	3.0	1.0	1	1	101	101	3
10113	101.0	3.0	1.0	1	1	101	101	2
10114	101.0	3.0	1.0	1	1	102	102	5
10115	101.0	3.0	1.0	1	1	101	101	4
10116	101.0	3.0	1.0	1	1	102	102	3
10117	101.0	3.0	1.0	1	1	101	101	3
10118	101.0	3.0	1.0	1	1	102	102	4
10119	101.0	3.0	1.0	1	1	102	102	3
10120	101.0	3.0	1.0	1	1	102	102	2
10202	102.0	2.0	1.0	1	2	102	102	3
10203	102.0	2.0	1.0	1	2	101	102	3
10205	102.0	2.0	1.0	1	2	102	102	6
10207	102.0	2.0	1.0	1	2	102	102	4
10208	102.0	2.0	1.0	1	2	101	102	5
10209	102.0	2.0	1.0	1	2	101	102	3
10211	102.0	2.0	1.0	1	2	101	102	4
10212	102.0	2.0	1.0	1	2	102	102	2
10214	102.0	2.0	1.0	1	2	102	102	2
10215	102.0	2.0	1.0	1	2	102	102	4
10217	102.0	2.0	1.0	1	2	102	102	5
10218	102.0	2.0	1.0	1	2	101	102	2
10219	102.0	2.0	1.0	1	2	101	102	3
10220	102.0	2.0	1.0	1	2	102	102	2
10302	103.0	2.0	1.0	1	3	102	102	4
10303	103.0	2.0	1.0	1	3	101	101	4
10304	103.0	2.0	1.0	1	3	102	102	4
10306	103.0	2.0	1.0	1	3	101	101	2
10307	103.0	2.0	1.0	1	3	101	102	3
10308	103.0	2.0	1.0	1	3	101	102	3
10309	103.0	2.0	1.0	1	3	101	101	5
10311	103.0	2.0	1.0	1	3	102	102	3
10312	103.0	2.0	1.0	1	3	101	102	3
