district	village	villno	strno	group	hhid	plot	f03a	f03b	f03c	f03d	f04	f05	f06	f07	f07a	f08	f09
1	1	101.0	1.0	3.0	10101	1	1				1	2650	2	0		0	1
1	1	101.0	1.0	3.0	10101	2	1	9			1	1850	2	0		0	2
1	1	101.0	1.0	3.0	10101	3	1	12	16		1	850	2	0		0	2
1	1	101.0	1.0	3.0	10102	1	1	9	4		1	7600	2	1	0	0	1
1	1	101.0	1.0	3.0	10102	2	1	9			1	4300	2	0		0	1
1	1	101.0	1.0	3.0	10102	3	1	9			1	3200	2	0		0	1
1	1	101.0	1.0	3.0	10102	4	12	16	3		1	2000	2	0		0	1
1	1	101.0	1.0	3.0	10102	5	2					900	2				
1	1	101.0	1.0	3.0	10103	1	1	9	3	12	1	0.5	1	0		0	1
1	1	101.0	1.0	3.0	10103	2	2				1	1800	2	1	1	0	1
1	1	101.0	1.0	3.0	10103	3	14				1	300	2	0		0	1
1	1	101.0	1.0	3.0	10104	1	1	9			1	7100	2	0		0	1
1	1	101.0	1.0	3.0	10104	2	1	9			1	4300	2	0		0	1
1	1	101.0	1.0	3.0	10104	3	2				1	800	2	1	1	0	1
1	1	101.0	1.0	3.0	10104	4	16	12			1	500	2	0		0	1
1	1	101.0	1.0	3.0	10105	1	1	9	12	14	1	6000	2	0		0	1
1	1	101.0	1.0	3.0	10106	1	1	9	12		1	7750	2	0		0	1
1	1	101.0	1.0	3.0	10106	2	1				1	4150	2	0		0	1
1	1	101.0	1.0	3.0	10106	3	12				1	3725	2	0		0	1
1	1	101.0	1.0	3.0	10106	4	2				5	2410	2	1	1	0	1
1	1	101.0	1.0	3.0	10106	5	16					1115	2				
1	1	101.0	1.0	3.0	10107	1	1	3	14		1	4200	2	0		0	1
1	1	101.0	1.0	3.0	10107	2	1	9			1	3600	2	0		0	1
1	1	101.0	1.0	3.0	10107	3	2				1	2000	2	1	1	0	1
1	1	101.0	1.0	3.0	10109	1	1	9			4	6000	2	0		0	1
1	1	101.0	1.0	3.0	10109	2	12	14			4	3000	2	0		0	1
1	1	101.0	1.0	3.0	10109	3	2				4	1500	2	1	1	0	1
1	1	101.0	1.0	3.0	10110	1	1	12			2	10200	2	0		0	2
1	1	101.0	1.0	3.0	10110	2	1	4			2	4580	2	0		0	3
1	1	101.0	1.0	3.0	10110	3	14	12			2	4120	2	0		0	1
1	1	101.0	1.0	3.0	10110	4	2				2	3540	2	1	1	0	1
1	1	101.0	1.0	3.0	10111	1	1	3	9	12	4	15000	2	0		0	3
1	1	101.0	1.0	3.0	10111	2	9				4	6000	2	0		0	3
1	1	101.0	1.0	3.0	10111	3	2				4	3600	2	1	1	0	2
1	1	101.0	1.0	3.0	10111	4	14				4	700	2	0		0	1
1	1	101.0	1.0	3.0	10111	5	4					500	2				
1	1	101.0	1.0	3.0	10112	1	1	3	9		4	5000	2	0		0	1
1	1	101.0	1.0	3.0	10112	2	2				4	3000	2	1	1	0	1
1	1	101.0	1.0	3.0	10112	3	12	14			4	1500	2	0		0	1
1	1	101.0	1.0	3.0	10113	1	1	9			3	4000	2	0		0	1
1	1	101.0	1.0	3.0	10113	2	12	14			1	600	2	0		0	1
1	1	101.0	1.0	3.0	10114	1	1	9	12		2	1500	2	0		0	2
1	1	101.0	1.0	3.0	10114	2	1	9	4		2	9000	2	0		0	2
1	1	101.0	1.0	3.0	10114	3	1	9			2	2500	2	0		0	2
1	1	101.0	1.0	3.0	10114	4	16				2	2250	2	0		0	1
1	1	101.0	1.0	3.0	10114	5	2					2250	2				
1	1	101.0	1.0	3.0	10115	1	1	12	3		3	4100	2	0		0	1
1	1	101.0	1.0	3.0	10115	2	1	12			3	3000	2	0		0	1
1	1	101.0	1.0	3.0	10115	3	2				3	1500	2	1	1	0	1
1	1	101.0	1.0	3.0	10115	4	14	16			3	1000	2	1	0	0	1
1	1	101.0	1.0	3.0	10116	1	1	9	90		1	3450	2	0		0	1
1	1	101.0	1.0	3.0	10116	2	1	3			1	2850	2	0		0	2
1	1	101.0	1.0	3.0	10116	3	2	13			1	2200	2	1	1	0	2
1	1	101.0	1.0	3.0	10117	1	1	12	9		1	3890	2	0		0	1
1	1	101.0	1.0	3.0	10117	2	2				1	1600	2	1	1	0	2
1	1	101.0	1.0	3.0	10117	3	14				1	800	2	0		0	2
1	1	101.0	1.0	3.0	10118	1	1	9			1	6000	2	0		0	1
1	1	101.0	1.0	3.0	10118	2	1	9	3		1	4800	2	0		0	1
1	1	101.0	1.0	3.0	10118	3	12	14			1	3000	2	0		0	1
1	1	101.0	1.0	3.0	10118	4	2				1	1500	2	1	1	0	1
1	1	101.0	1.0	3.0	10119	1	1	9			2	15800	2	0		0	1
1	1	101.0	1.0	3.0	10119	2	1	12			2	7200	2	0		0	1
1	1	101.0	1.0	3.0	10119	3	2				2	420	2	1	1	0	1
1	1	101.0	1.0	3.0	10120	1	1	9	14		1	4000	2	0		0	1
1	1	101.0	1.0	3.0	10120	2	1				1	2000	2	0		0	1
1	2	102.0	1.0	2.0	10202	1	1	9			1	6000	2	0		0	1
1	2	102.0	1.0	2.0	10202	2	9	1	12	13	1	5100	2	1	0	0	1
1	2	102.0	1.0	2.0	10202	3	2				1	1800	2	1	1	0	1
1	2	102.0	1.0	2.0	10203	1	1	9			1	9000	2	0		0	1
1	2	102.0	1.0	2.0	10203	2	1				1	4000	2	1	0	0	1
