district	village	villno	strno	group	hhid	crop	g01	g02	g03	g04	g05	g05u	g06	g07	g07u	g08	g08u
1	1	101.0	1.0	3.0	10101	1	1	1	1	0	15.0	15	1	1.0	15	1250.0	2
1	1	101.0	1.0	3.0	10101	2	2	0									
1	1	101.0	1.0	3.0	10101	3	3	0									
1	1	101.0	1.0	3.0	10101	4	12	1	1	1	0.0	1	0				
1	1	101.0	1.0	3.0	10101	5	4	0									
1	1	101.0	1.0	3.0	10101	6	5	0									
1	1	101.0	1.0	3.0	10101	7	6	0									
1	1	101.0	1.0	3.0	10101	8	7	0									
1	1	101.0	1.0	3.0	10101	9	8	1	1	1	0.0	1	0				
1	1	101.0	1.0	3.0	10101	10	20	0									
1	1	101.0	1.0	3.0	10101	11	24	0									
1	1	101.0	1.0	3.0	10102	1	1	1	1	0	16.0	15	0				
1	1	101.0	1.0	3.0	10102	2	2	1	2	0	2.0	15	0				
1	1	101.0	1.0	3.0	10102	3	3	1	1	0	1.0	15	0				
1	1	101.0	1.0	3.0	10102	4	12	1	1	1	0.0	1	0				
1	1	101.0	1.0	3.0	10102	5	4	1	1	0	1.0	22	0				
1	1	101.0	1.0	3.0	10102	6	5	0									
1	1	101.0	1.0	3.0	10102	7	6	0									
1	1	101.0	1.0	3.0	10102	8	7	0									
1	1	101.0	1.0	3.0	10102	9	8	1	1	1	1.0	22	0				
1	1	101.0	1.0	3.0	10102	10	20	0									
1	1	101.0	1.0	3.0	10102	11	24	0									
1	1	101.0	1.0	3.0	10103	1	1	1	3	0	13.0	15	0				
1	1	101.0	1.0	3.0	10103	2	2	1	3	0	1.0	15	0				
1	1	101.0	1.0	3.0	10103	3	3	1	3	0	2.0	14	0				
1	1	101.0	1.0	3.0	10103	4	12	1	3	1	0.0	1	0				
1	1	101.0	1.0	3.0	10103	5	4	0									
1	1	101.0	1.0	3.0	10103	6	5	0									
1	1	101.0	1.0	3.0	10103	7	6	0									
1	1	101.0	1.0	3.0	10103	8	7	0									
1	1	101.0	1.0	3.0	10103	9	8	1	3	1	1.0	15	0				
1	1	101.0	1.0	3.0	10103	10	20	0									
1	1	101.0	1.0	3.0	10103	11	24	0									
1	1	101.0	1.0	3.0	10104	1	1	1	1	0	8.0	15	0				
1	1	101.0	1.0	3.0	10104	2	2	1	2	0	5.0	15	1	1.0	15	1000.0	2
1	1	101.0	1.0	3.0	10104	3	3	0									
1	1	101.0	1.0	3.0	10104	4	12	1	1	1	1.0	22	0				
1	1	101.0	1.0	3.0	10104	5	4	0									
1	1	101.0	1.0	3.0	10104	6	5	0									
1	1	101.0	1.0	3.0	10104	7	6	0									
1	1	101.0	1.0	3.0	10104	8	7	0									
1	1	101.0	1.0	3.0	10104	9	8	1	1	1	1.0	22	0				
1	1	101.0	1.0	3.0	10104	10	20	0									
1	1	101.0	1.0	3.0	10104	11	24	0									
1	1	101.0	1.0	3.0	10105	1	1	1	1	0	25.0	15	1	5.0	15	1000.0	2
1	1	101.0	1.0	3.0	10105	2	2	0									
1	1	101.0	1.0	3.0	10105	3	3	0									
1	1	101.0	1.0	3.0	10105	4	12	1	1	1	0.0	1	0				
1	1	101.0	1.0	3.0	10105	5	4	0									
1	1	101.0	1.0	3.0	10105	6	5	0									
1	1	101.0	1.0	3.0	10105	7	6	0									
1	1	101.0	1.0	3.0	10105	8	7	0									
1	1	101.0	1.0	3.0	10105	9	8	1	1	1	0.0	1	0				
1	1	101.0	1.0	3.0	10105	10	20	0									
1	1	101.0	1.0	3.0	10105	11	24	0									
1	1	101.0	1.0	3.0	10106	1	1	1	3	0	21.0	15	0				
1	1	101.0	1.0	3.0	10106	2	2	1	3	0	1.0	15	0				
1	1	101.0	1.0	3.0	10106	3	3	0									
1	1	101.0	1.0	3.0	10106	4	12	1	3	1	0.0	1	0				
1	1	101.0	1.0	3.0	10106	5	4	0									
1	1	101.0	1.0	3.0	10106	6	5	1	3	0	2.5	13	1	0.5	15	625.0	2
1	1	101.0	1.0	3.0	10106	7	6	0									
1	1	101.0	1.0	3.0	10106	8	7	0									
1	1	101.0	1.0	3.0	10106	9	8	1	3	1	0.0	1	0				
1	1	101.0	1.0	3.0	10106	10	20	0									
1	1	101.0	1.0	3.0	10106	11	24	0									
1	1	101.0	1.0	3.0	10107	1	1	1	3	0	8.0	15	1	1.0	15	1500.0	2
1	1	101.0	1.0	3.0	10107	2	2	1	3	0	2.0	15	0				
1	1	101.0	1.0	3.0	10107	3	3	1	3	0	2.0	15	0				
1	1	101.0	1.0	3.0	10107	4	12	0									
1	1	101.0	1.0	3.0	10107	5	4	0									
1	1	101.0	1.0	3.0	10107	6	5	0									
1	1	101.0	1.0	3.0	10107	7	6	0									
1	1	101.0	1.0	3.0	10107	8	7	0									
1	1	101.0	1.0	3.0	10107	9	8	1	3	1	2.0	15	0				
1	1	101.0	1.0	3.0	10107	10	20	0									
1	1	101.0	1.0	3.0	10107	11	24	0									
1	1	101.0	1.0	3.0	10109	1	1	1	3	0	5.0	15	0				
1	1	101.0	1.0	3.0	10109	2	2	1	3	0	2.0	15	0				
