district	village	villno	strno	group	hhid	g09	g10	g11	g12a	g12b	g12c	g12d	g13	g13a	g14	g14a	g15	g30	g40
1	1	101.0	1.0	3.0	10101	1	4	0											
1	1	101.0	1.0	3.0	10102	1	4	0											
1	1	101.0	1.0	3.0	10103	1	4	0											
1	1	101.0	1.0	3.0	10104	1	4	0											
1	1	101.0	1.0	3.0	10105	1	4	0											
1	1	101.0	1.0	3.0	10106	1	4	0											
1	1	101.0	1.0	3.0	10107	1	4	0											
1	1	101.0	1.0	3.0	10109	1	4	0											
1	1	101.0	1.0	3.0	10110	1	4	0											
1	1	101.0	1.0	3.0	10111	1	4	0											
1	1	101.0	1.0	3.0	10112	1	4	0											
1	1	101.0	1.0	3.0	10113	1	4	0											
1	1	101.0	1.0	3.0	10114	1	4	0											
1	1	101.0	1.0	3.0	10115	1	4	0											
1	1	101.0	1.0	3.0	10116	1	4	1	0	0	0	1		0			1	0	0
1	1	101.0	1.0	3.0	10117	1	4	0											
1	1	101.0	1.0	3.0	10118	1	4	0											
1	1	101.0	1.0	3.0	10119	1	4	0											
1	1	101.0	1.0	3.0	10120	1	4	0											
1	2	102.0	1.0	2.0	10202	1	4	1	0	1	0	1	2	1	1		1	0	1
1	2	102.0	1.0	2.0	10203	1	4	1	0	1	1	1	2	0			1	1	1
1	2	102.0	1.0	2.0	10205	1	4	1	0	1	1	1	1	0			1	1	1
1	2	102.0	1.0	2.0	10207	1	4	1	0	1	0	1	3	1	2		1	0	1
1	2	102.0	1.0	2.0	10208	1	4	1	0	1	1	1	1	0			1	1	1
1	2	102.0	1.0	2.0	10209	1	4	1	0	0	0	1		0			1	0	0
1	2	102.0	1.0	2.0	10211	1	4	1	0	1	1	1	1	0			1	1	1
1	2	102.0	1.0	2.0	10212	1	4	1	0	0	1	1	2	0			1	1	0
1	2	102.0	1.0	2.0	10214	1	4	1	0	1	0	0		1	13		0	0	1
1	2	102.0	1.0	2.0	10215	1	4	1	0	1	0	1	2	1	4		1	0	1
1	2	102.0	1.0	2.0	10217	1	4	1	0	1	1	1	1	0			1	1	1
1	2	102.0	1.0	2.0	10218	1	4	0											
1	2	102.0	1.0	2.0	10219	1	4	1	0	1	1	1	3	0			1	1	1
1	2	102.0	1.0	2.0	10220	1	4	1	0	1	1	1	1	0			1	1	1
