district	village	villno	strno	group	hhid	g16a	g16b	g16c	g16d	g16e	g16f	g17a	g17b	g17c	g18a	g18b	g18c	g18d	g18e	g18f	g18g	g18h	g18i	g18j	g18k	g18l	g19	g20	g21a	g21b	g21c	g21d	g21e	g22a	g22b	g22c	g22d	g22e	g22f	g22g	g22h	g22i	g22j	g22k	g22l	g23	g24a	g24b	g24c	g24d	g24e
1	1	101.0	1.0	3.0	10116	0.0	0.0		0.0		0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
1	2	102.0	1.0	2.0	10202	3.0	3.0	0.0	0.0	0.0	0.0	4	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
1	2	102.0	1.0	2.0	10203	3.0	3.0	0.0	0.0	0.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	0																		0					
1	2	102.0	1.0	2.0	10205	3.0	3.0	10.0	0.0	0.0	0.0	4	5		0	0	0	1	0	0	0	0	0	0	0	0	1	0																		1	0	0	0	1	0
1	2	102.0	1.0	2.0	10207	0.0	0.0	0.0	0.0	5.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0
1	2	102.0	1.0	2.0	10208	3.0	3.0	0.0	20.0	0.0	0.0	5			0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
1	2	102.0	1.0	2.0	10209	3.0	3.0	0.0	0.0	0.0	0.0	1	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
1	2	102.0	1.0	2.0	10211	3.0	3.0	0.0	0.0	4.0	0.0	1	2		0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
1	2	102.0	1.0	2.0	10212	0.0	3.0	0.0	0.0	0.0	0.0	5			0	0	1	0	0	0	0	0	0	0	0	0	1	0																		0					
1	2	102.0	1.0	2.0	10215	0.0	0.0	2.0	0.0	4.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	0																		1	1	0	0	0	0
1	2	102.0	1.0	2.0	10217	3.0	3.0	18.0	0.0	0.0	0.0	1	2		0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0
1	2	102.0	1.0	2.0	10219	0.0	0.0	0.0	0.0	4.0	0.0	1			0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
1	2	102.0	1.0	2.0	10220	3.0	3.0	20.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
1	3	103.0	1.0	2.0	10302	3.0	3.0	5.0	0.0	7.0	0.0	4	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
1	3	103.0	1.0	2.0	10303	3.0	3.0	0.0	0.0	6.0	0.0	2	5		0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
1	3	103.0	1.0	2.0	10304	2.0	2.0	2.0	0.0	0.0	0.0	1	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
