district	village	villno	strno	group	hhid	g31a	g31b	g31c	g31d	g31e	g31f	g32a	g32b	g32c	g33a	g33b	g33c	g33d	g33e	g33f	g33g	g33h	g33i	g33j	g33k	g33l	g34	g35	g35u	g36a	g36b	g36u	g37	g38a	g38b	g38c	g38d	g38e	g39a	g39b	g39c	g39d	g39e	g39f	g39g	g39h	g39i	g39j	g39k	g39l
1	2	102.0	1.0	2.0	10203	2.0	2.0	0.0	0.0	0.0	0.0	5	2		0	0	0	0	1	0	0	0	0	0	0	0	0						0																	
1	2	102.0	1.0	2.0	10205	2.0	2.0	8.0	0.0	0.0	0.0	4	5		0	0	0	0	0	1	0	0	0	0	0	0	1	4.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	2	102.0	1.0	2.0	10208	0.0	0.0	0.0	0.0	10.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	15	0			0																	
1	2	102.0	1.0	2.0	10211	3.0	3.0	0.0	0.0	0.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	2	102.0	1.0	2.0	10212	0.0	3.0	0.0	0.0	0.0	0.0	5			0	0	0	1	0	0	0	0	0	0	0	0	1	20.0	1	0			0																	
1	2	102.0	1.0	2.0	10217	2.0	2.0	4.0	0.0	6.0	0.0	1	2		0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	2	102.0	1.0	2.0	10219	0.0	0.0	0.0	0.0	3.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	2.0	15	1	1	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	2	102.0	1.0	2.0	10220	2.0	2.0	10.0	0.0	5.0	0.0	4			0	0	0	0	1	0	0	0	0	0	0	0	1	3.0	21	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	3	103.0	1.0	2.0	10302	2.0	2.0	0.0	0.0	0.0	0.0	4	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	22	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	3	103.0	1.0	2.0	10303	0.0	0.0	0.0	0.0	35.0	0.0	2	5		0	0	0	0	1	0	0	0	0	0	0	0	1	1.5	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	3	103.0	1.0	2.0	10304	5.0	0.0	0.0	0.0	0.0	0.0	1	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	15	0			0																	
1	3	103.0	1.0	2.0	10306	0.0	0.0	2.0	0.0	7.0	0.0	1	2	5	0	0	0	0	1	0	0	0	0	0	0	0	1	7.0	15	1	4	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	3	103.0	1.0	2.0	10307	8.0	0.0	0.0	0.0	5.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
1	3	103.0	1.0	2.0	10308	2.0	2.0	0.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	0.5	15	0			0																	
1	3	103.0	1.0	2.0	10313	1.0	1.0	10.0	0.0	0.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	15	1	2	15	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	3	103.0	1.0	2.0	10314	2.0	2.0	0.0	0.0	0.0	0.0	1	5		0	0	0	0	0	0	0	0	0	1	0	0	1	3.0	15	0			1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1	3	103.0	1.0	2.0	10315	0.0	0.0	0.0	0.0	8.0	0.0	1	4		0	0	0	1	0	0	0	0	0	0	0	0	1	3.0	15	1	1	15	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
1	3	103.0	1.0	2.0	10316	2.0	0.0	2.0	0.0	0.0	0.0	5			0	0	0	0	0	0	1	0	0	0	0	0	1	1.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	3	103.0	1.0	2.0	10317	2.0	0.0	0.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	1.5	15	0			0																	
1	3	103.0	1.0	2.0	10319	0.0	2.0	0.0	0.0	9.0	0.0	2	5		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	12	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	3	103.0	1.0	2.0	10320	2.0	2.0	0.0	0.0	0.0	0.0	1			0	0	0	1	0	0	0	0	0	0	0	0	1	2.0	13	0			0																	
1	4	104.0	1.0	3.0	10405	0.0	0.0	0.0	0.0	0.0	10.0	5			0	0	1	1	0	0	0	0	0	0	0	0	1	2.5	15	0			1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	4	104.0	1.0	3.0	10418	0.0	0.0	0.0	0.0	0.0	5.0	2			0	0	0	0	0	0	0	0	1	0	0	0	1	1.0	22	0			0																	
1	8	108.0	1.0	2.0	10802	2.0	2.0	0.0	0.0	0.0	0.0	4	1		0	0	0	1	0	0	0	0	0	0	0	0	1	1.0	22	0			1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	8	108.0	1.0	2.0	10804	2.0	2.0	0.0	0.0	4.0	0.0	5			0	0	1	0	0	0	0	0	0	0	0	0	1	3.0	15	0			1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
