district	village	villno	strno	group	hhid	g41a	g41b	g41c	g41d	g41e	g41f	g42	g43	g43u	g44a	g44b	g44u	g45
1	2	102.0	1.0	2.0	10202	2.0	2.0	10.0	0.0	0.0	0.0	1	1500.0	21	0			1
1	2	102.0	1.0	2.0	10203	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	15	0			0
1	2	102.0	1.0	2.0	10205	1.0	1.0	0.0	0.0	0.0	0.0	1	800.0	21	1	1.0	21	1
1	2	102.0	1.0	2.0	10207	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	15	0			1
1	2	102.0	1.0	2.0	10208	2.0	2.0	15.0	0.0	0.0	0.0	1	300.0	15	1	1.0	15	1
1	2	102.0	1.0	2.0	10211	3.0	3.0	0.0	0.0	0.0	0.0	1	100.0	23	0			1
1	2	102.0	1.0	2.0	10214	3.0	3.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	2	102.0	1.0	2.0	10215	2.0	2.0	5.0	0.0	0.0	0.0	1	350.0	15	0			1
1	2	102.0	1.0	2.0	10217	2.0	2.0	8.0	0.0	0.0	0.0	1	350.0	15	0			0
1	2	102.0	1.0	2.0	10219	2.0	0.0	2.0	0.0	0.0	0.0	1	50.0	15	0			1
1	2	102.0	1.0	2.0	10220	1.0	1.0	7.0	0.0	0.0	0.0	1	200.0	21	0			1
1	3	103.0	1.0	2.0	10302	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	22	0			0
1	3	103.0	1.0	2.0	10303	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	15	1	1.0	15	1
1	3	103.0	1.0	2.0	10306	2.0	2.0	5.0	0.0	8.0	0.0	1	900.0	15	1	6.0	15	1
1	3	103.0	1.0	2.0	10307	9.0	0.0	0.0	0.0	0.0	0.0	1	1000.0	15	0			1
1	3	103.0	1.0	2.0	10309	2.0	2.0	5.0	0.0	0.0	0.0	1	250.0	15	1	1.0	15	1
1	3	103.0	1.0	2.0	10313	1.0	1.0	7.0	0.0	0.0	0.0	1	200.0	15	1	1.0	15	1
1	3	103.0	1.0	2.0	10315	0.0	4.0	0.0	0.0	0.0	0.0	1	200.0	23	0			1
1	3	103.0	1.0	2.0	10316	2.0	0.0	0.0	0.0	0.0	0.0	1	100.0	22	0			0
1	3	103.0	1.0	2.0	10319	0.0	2.0	0.0	0.0	0.0	0.0	1	200.0	22	0			1
1	4	104.0	1.0	3.0	10416	0.0	0.0	0.0	3.0	0.0	0.0	1	100.0	22	0			0
1	8	108.0	1.0	2.0	10804	4.0	4.0	3.0	0.0	0.0	0.0	1	200.0	15	0			1
1	8	108.0	1.0	2.0	10807	2.0	0.0	0.0	0.0	0.0	0.0	1	100.0	17	0			1
1	8	108.0	1.0	2.0	10809	1.0	1.0	0.0	0.0	0.0	0.0	1	300.0	22	0			1
1	8	108.0	1.0	2.0	10810	3.0	3.0	0.0	0.0	0.0	0.0	1	100.0	21	0			0
1	8	108.0	1.0	2.0	10811	2.0	2.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	8	108.0	1.0	2.0	10812	2.0	0.0	0.0	0.0	0.0	0.0	1	100.0	21	0			1
1	8	108.0	1.0	2.0	10815	0.0	2.0	0.0	0.0	0.0	0.0	1	100.0	17	0			1
1	8	108.0	1.0	2.0	10819	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	21	0			0
1	9	109.0	1.0	1.0	10904	2.0	2.0	0.0	0.0	0.0	0.0	0						
1	9	109.0	1.0	1.0	10905	2.0	2.0	0.0	0.0	0.0	0.0	1	400.0	15	0			1
1	9	109.0	1.0	1.0	10907	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	22	0			1
1	9	109.0	1.0	1.0	10908	2.0	0.0	0.0	0.0	0.0	0.0	0						
1	9	109.0	1.0	1.0	10909	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	17	0			1
1	9	109.0	1.0	1.0	10912	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	21	0			0
1	9	109.0	1.0	1.0	10916	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	17	0			1
1	10	110.0	1.0	1.0	11001	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	21	0			0
1	10	110.0	1.0	1.0	11003	2.0	0.0	2.0	0.0	0.0	0.0	1	150.0	15	0			0
1	10	110.0	1.0	1.0	11005	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	21	0			1
1	10	110.0	1.0	1.0	11009	0.0	2.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	10	110.0	1.0	1.0	11011	1.0	1.0	2.0	0.0	0.0	0.0	1	150.0	21	0			1
1	10	110.0	1.0	1.0	11013	0.0	2.0	0.0	0.0	0.0	0.0	1	200.0	21	0			1
1	10	110.0	1.0	1.0	11014	2.0	2.0	0.0	0.0	0.0	0.0	1	200.0	15	0			0
1	10	110.0	1.0	1.0	11015	2.0	2.0	4.0	0.0	0.0	0.0	1	250.0	15	1	1.0	15	1
1	10	110.0	1.0	1.0	11017	1.0	1.0	5.0	0.0	0.0	0.0	0						
1	10	110.0	1.0	1.0	11018	2.0	2.0	10.0	0.0	0.0	0.0	1	200.0	11	0			1
1	10	110.0	1.0	1.0	11019	2.0	2.0	5.0	0.0	0.0	0.0	1	150.0	15	0			1
1	11	111.0	1.0	1.0	11102	3.0	3.0	0.0	0.0	0.0	0.0	1	100.0	15	0			0
1	11	111.0	1.0	1.0	11103	2.0	0.0	2.0	0.0	0.0	0.0	1	300.0	15	0			0
1	11	111.0	1.0	1.0	11109	0.0	2.0	5.0	0.0	0.0	0.0	1	100.0	21	0			0
1	11	111.0	1.0	1.0	11110	2.0	2.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	11	111.0	1.0	1.0	11112	1.0	1.0	1.0	0.0	0.0	0.0	1	150.0	22	0			1
1	11	111.0	1.0	1.0	11113	2.5	2.5	0.0	0.0	0.0	0.0	0						
1	11	111.0	1.0	1.0	11114	1.0	1.0	0.0	0.0	0.0	0.0	1	100.0	23	0			1
1	11	111.0	1.0	1.0	11115	2.0	2.0	15.0	0.0	0.0	0.0	1	100.0	15	0			1
1	11	111.0	1.0	1.0	11116	2.0	2.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	11	111.0	1.0	1.0	11117	2.0	2.0	5.0	0.0	0.0	0.0	1	100.0	15	0			1
1	11	111.0	1.0	1.0	11118	0.0	2.0	0.0	0.0	0.0	0.0	1	1700.0	15	1	11.0	15	1
1	11	111.0	1.0	1.0	11119	2.0	2.0	4.0	0.0	0.0	0.0	1	200.0	22	0			1
1	12	112.0	1.0	2.0	11201	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	15	1	0.5	15	1
1	12	112.0	1.0	2.0	11202	2.0	0.0	0.0	0.0	0.0	0.0	1	50.0	15	0			0
1	12	112.0	1.0	2.0	11204	2.0	0.0	0.0	0.0	0.0	0.0	1	200.0	15	0			1
1	12	112.0	1.0	2.0	11205	0.0	5.0	0.0	0.0	1.0	0.0	1	200.0	15	0			1
1	12	112.0	1.0	2.0	11209	2.0	0.0	0.0	0.0	0.0	0.0	1	100.0	22	0			0
1	12	112.0	1.0	2.0	11210	2.0	2.0	0.0	0.0	0.0	0.0	1	100.0	13	0			1
1	12	112.0	1.0	2.0	11211	2.0	2.0	2.0	0.0	0.0	0.0	0						
1	12	112.0	1.0	2.0	11212	1.0	1.0	0.0	0.0	0.0	0.0	1	150.0	21	0			1
1	12	112.0	1.0	2.0	11215	2.0	0.0	3.0	0.0	0.0	0.0	1	400.0	15	1	3.0	15	1
1	12	112.0	1.0	2.0	11216	1.0	1.0	0.0	0.0	0.0	0.0	0						
1	12	112.0	1.0	2.0	11218	1.0	1.0	1.0	0.0	0.0	0.0	1	150.0	21	0			1
1	12	112.0	1.0	2.0	11219	2.0	2.0	5.0	0.0	0.0	0.0	1	400.0	15	0			1
1	12	112.0	1.0	2.0	11220	0.0	2.0	0.0	0.0	0.0	0.0	1	100.0	15	0			0
1	13	113.0	1.0	3.0	11318	0.0	0.0	4.0	0.0	0.0	0.0	1	500.0	21	0			0
1	14	114.0	1.0	2.0	11402	1.0	1.0	10.0	0.0	0.0	0.0	1	100.0	13	1	1.0	15	1
1	14	114.0	1.0	2.0	11403	3.0	0.0	10.0	0.0	0.0	0.0	1	150.0	15	0			1
1	14	114.0	1.0	2.0	11404	2.0	2.0	10.0	0.0	0.0	0.0	1	150.0	15	0			1
1	14	114.0	1.0	2.0	11405	1.0	0.0	12.0	0.0	0.0	0.0	1	400.0	15	1	1.0	15	1
1	14	114.0	1.0	2.0	11407	2.0	2.0	6.0	0.0	0.0	0.0	1	200.0	15	0			0
1	14	114.0	1.0	2.0	11410	1.0	1.0	5.0	0.0	0.0	0.0	1	250.0	22	0			1
1	14	114.0	1.0	2.0	11411	0.0	0.0	10.0	0.0	0.0	0.0	1	1000.0	15	0			1
1	14	114.0	1.0	2.0	11412	2.0	0.0	8.0	0.0	0.0	0.0	1	100.0	15	0			0
1	14	114.0	1.0	2.0	11417	2.0	2.0	8.0	0.0	0.0	0.0	1	200.0	13	0			0
1	14	114.0	1.0	2.0	11419	1.0	1.0	0.0	0.0	0.0	0.0	0						
1	14	114.0	1.0	2.0	11420	1.0	1.0	2.0	0.0	0.0	0.0	1	150.0	21	0			1
1	15	115.0	1.0	1.0	11502	1.0	1.0	0.0	0.0	0.0	0.0	1	200.0	22	0			1
1	15	115.0	1.0	1.0	11503	1.0	1.0	3.0	0.0	0.0	0.0	1	400.0	21	1	2.0	21	1
1	15	115.0	1.0	1.0	11506	1.0	1.0	4.0	0.0	0.0	0.0	1	200.0	22	0			1
1	15	115.0	1.0	1.0	11507	1.0	1.0	8.0	0.0	0.0	0.0	1	500.0	15	0			0
1	15	115.0	1.0	1.0	11510	1.0	1.0	3.0	0.0	0.0	0.0	1	200.0	22	0			1
1	15	115.0	1.0	1.0	11511	2.0	0.0	0.0	0.0	0.0	0.0	1	150.0	15	0			0
