hhid	district	village	villno	strno	group	g50	g51	g52a	g52b	g52c	g52d	g52e	g52f	g52g	g52h	g52i	g52j	g52k	g52l	g53	g53u	g54	g54u	g55	g55u	g56	g56u	g57	g57u	g58	g59	g60	g60u	g61	g62	g62u	g63	g64	g65	g66a	g66u
10101	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	2	0	0	0	8	3	1.0	24					200	2	1	0								0		
10102	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	1	0	8	3	1.0	24	6	3	1.0	24	2000	2	1	0								1	1.0	23
10103	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	2	1	1	2	2	1.0	23	1	2	1.0	23	300	2	0	0								0		
10104	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	1	0	9	3	1.0	24	6	3	1.0	25	500	2	1	0								0		
10105	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	1	2	2	0	4	3	1.0	15	8	3	0.5	15	450	2	0	0								1	0.5	15
10106	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	1	1	1					1	2	1.0	22	1115	2	0	0								0		
10107	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	2	1	0	2	2	1.0	23	2	2	1.0	24	250	2	0	0								1	1.5	24
10109	1	1	101.0	1.0	3.0	14	2	0	0	0	0	0	0	0	0	0	1	0	0					3	2	1.0	22	600	2	1	0								0		
10110	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	2	1	0	0	4	2	1.0	24	2	2	1.0	24	4120	2	1	0								1	1.0	21
10111	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	1	1	1	0	0					3	2	1.0	23	700	2	0	0								1	1.0	15
10112	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	0	1	0					3	2	1.0	22	700	2	1	0								0		
10113	1	1	101.0	1.0	3.0	14	2	0	0	0	0	0	0	0	0	0	0	1	0					2	2	1.0	23	300	2	1	0								0		
10114	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	2	2	0	4	2	1.0	24					2250	2	0	0								1	1.0	21
10115	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	0	0	1	1	0					3	2	1.0	23	1000	2	0	0								0		
10116	1	1	101.0	1.0	3.0	13	1	0	0	0	0	0	0	0	0	2	0	0	0	16	3	1.0	24					200	2	1	0								1	1.0	24
10117	1	1	101.0	1.0	3.0	14	1	0	0	0	0	0	0	0	2	0	0	0	0	8	3	1.0	24					800	2	0	0								0		
10118	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	2	2	1	3	2	1.0	23	1	2	1.0	23	400	2	0	0								1	1.0	22
10120	1	1	101.0	1.0	3.0	14	3	0	0	0	0	0	0	0	0	1	1	2	0	5	2	1.0	24	1	2	1.0	23	200	2	0	0								0		
10202	1	2	102.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	4	2	1.5	24					600	2	0	0								0		
10203	1	2	102.0	1.0	2.0	13	3	0	0	0	0	0	0	0	2	0	0	0	0	4	3	1.0	24					40	2	0	0								0		
10205	1	2	102.0	1.0	2.0	13	3	0	0	0	0	0	0	0	0	1	2	0	0	4	2	1.0	23	3	2	4.0	1	190	2	0	0								1	1.0	23
10207	1	2	102.0	1.0	2.0	13	1	0	0	0	0	0	1	0	0	0	0	0	0					3	2	1.0	24	1000	2	0	0								0		
10207	1	2	102.0	1.0	2.0	14	1	0	0	0	0	0	2	2	0	0	0	0	0	7	2	1.0	24					106	2	0	1	2.0	15	350		2	1	1	1	1.0	23
