district	village	villno	strno	group	hhid	g66	g67_01	g67_02	g67_03	g68	g69	g70	g71	g71u	g72	g73	g74_1	g74_2	g74_3	g75	g76	g77_1	g77_2	g77_3	g78	g79	g80	g80a	g80b	g81	g82	g83	g84
1	1	101.0	1.0	3.0	10116	1	1			2	0				0		9			13	0	5			0	0	9			0			
1	2	102.0	1.0	2.0	10202	2	4	5		2	0				0		2			2	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10203	2	5			4	0				0		9			13	1	5			0	0	9			0			
1	2	102.0	1.0	2.0	10205	2	4	5		4	0				1	1	9			1	1	5			0	1	1			0			
1	2	102.0	1.0	2.0	10207	2	2			4	0				0		2			2	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10208	1	5			4	1	3	1	3	0		9			13	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10209	2	1	5		3	0				0		1			19	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10211	2	1	2		3	0				0		1			4	1	2			0	1	1			1	2	0	
1	2	102.0	1.0	2.0	10212	1	5			4	0				0		1			14	1	4			0	0	9			0			
1	2	102.0	1.0	2.0	10214	2	2			4	1	1	1	2	0		3			2	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10215	2	1	2		3	1	3	2	3	0		1			4	1	2			0	0	9			0			
1	2	102.0	1.0	2.0	10217	2	1			3	0				0		2			2	0	2	4		1	1	9			1	2	1	2
1	2	102.0	1.0	2.0	10219	1	1			3	1	2	3	2	0		1			13	1	3			0	1	1			0			
1	2	102.0	1.0	2.0	10220	2	1	4		4	0				1	1	2			2	1	1			0	0	9			0			
1	3	103.0	1.0	2.0	10302	2	5			3	1	1	1	3	1	1	4			3	1	2			0	0	9			0			
1	3	103.0	1.0	2.0	10303	2	2	5		3	1	1	2	2	0		4			4	1	2	5		0	1	9			0			
1	3	103.0	1.0	2.0	10304	2	1	5		3	0				0		1			13	1	2			0	0	9			0			
1	3	103.0	1.0	2.0	10306	3	5			3	1	1	1	3	1	1	2	4		1	0	1	2	4	0	1	1	2		0			
