hhid	district	village	villno	strno	group	g85a	g85b
10116	1	1	101.0	1.0	3.0	0	
10202	1	2	102.0	1.0	2.0	0	
10203	1	2	102.0	1.0	2.0	0	
10205	1	2	102.0	1.0	2.0	0	
10207	1	2	102.0	1.0	2.0	0	
10208	1	2	102.0	1.0	2.0	0	
10209	1	2	102.0	1.0	2.0	0	
10211	1	2	102.0	1.0	2.0	0	
10212	1	2	102.0	1.0	2.0	0	
10214	1	2	102.0	1.0	2.0	0	
10215	1	2	102.0	1.0	2.0	0	
10217	1	2	102.0	1.0	2.0	1	1
10219	1	2	102.0	1.0	2.0	1	1
10220	1	2	102.0	1.0	2.0	0	
10302	1	3	103.0	1.0	2.0	0	
10303	1	3	103.0	1.0	2.0	1	1
10304	1	3	103.0	1.0	2.0	0	
10306	1	3	103.0	1.0	2.0	1	1
10307	1	3	103.0	1.0	2.0	0	
10308	1	3	103.0	1.0	2.0	0	
10309	1	3	103.0	1.0	2.0	1	3
10311	1	3	103.0	1.0	2.0	0	
10312	1	3	103.0	1.0	2.0	0	
10313	1	3	103.0	1.0	2.0	1	1
10314	1	3	103.0	1.0	2.0	0	
10315	1	3	103.0	1.0	2.0	0	
10316	1	3	103.0	1.0	2.0	0	
10317	1	3	103.0	1.0	2.0	0	
10318	1	3	103.0	1.0	2.0	0	
10319	1	3	103.0	1.0	2.0	0	
10320	1	3	103.0	1.0	2.0	0	
10401	1	4	104.0	1.0	3.0	0	
10405	1	4	104.0	1.0	3.0	1	1
10416	1	4	104.0	1.0	3.0	0	
10418	1	4	104.0	1.0	3.0	0	
10608	1	6	106.0	1.0	3.0	0	
10711	1	7	107.0	1.0	3.0	0	
10802	1	8	108.0	1.0	2.0	0	
10803	1	8	108.0	1.0	2.0	0	
10804	1	8	108.0	1.0	2.0	0	
10805	1	8	108.0	1.0	2.0	1	2
10806	1	8	108.0	1.0	2.0	0	
10807	1	8	108.0	1.0	2.0	1	1
10808	1	8	108.0	1.0	2.0	0	
10809	1	8	108.0	1.0	2.0	0	
10810	1	8	108.0	1.0	2.0	1	1
10811	1	8	108.0	1.0	2.0	0	
10812	1	8	108.0	1.0	2.0	1	1
10814	1	8	108.0	1.0	2.0	1	1
10815	1	8	108.0	1.0	2.0	0	
10816	1	8	108.0	1.0	2.0	0	
10817	1	8	108.0	1.0	2.0	0	
10819	1	8	108.0	1.0	2.0	0	
10902	1	9	109.0	1.0	1.0	1	2
10904	1	9	109.0	1.0	1.0	0	
10905	1	9	109.0	1.0	1.0	1	6
10906	1	9	109.0	1.0	1.0	0	
10907	1	9	109.0	1.0	1.0	1	2
10908	1	9	109.0	1.0	1.0	0	
10909	1	9	109.0	1.0	1.0	0	
10911	1	9	109.0	1.0	1.0	0	
10912	1	9	109.0	1.0	1.0	1	1
10913	1	9	109.0	1.0	1.0	0	
10914	1	9	109.0	1.0	1.0	0	
10915	1	9	109.0	1.0	1.0	0	
10916	1	9	109.0	1.0	1.0	0	
10917	1	9	109.0	1.0	1.0	0	
10919	1	9	109.0	1.0	1.0	0	
11001	1	10	110.0	1.0	1.0	1	2
11003	1	10	110.0	1.0	1.0	0	
11004	1	10	110.0	1.0	1.0	0	
11005	1	10	110.0	1.0	1.0	1	1
11006	1	10	110.0	1.0	1.0	0	
11009	1	10	110.0	1.0	1.0	0	
11011	1	10	110.0	1.0	1.0	0	
11013	1	10	110.0	1.0	1.0	0	
11014	1	10	110.0	1.0	1.0	0	
11015	1	10	110.0	1.0	1.0	0	
11016	1	10	110.0	1.0	1.0	0	
11017	1	10	110.0	1.0	1.0	1	1
11018	1	10	110.0	1.0	1.0	1	2
11019	1	10	110.0	1.0	1.0	1	2
11102	1	11	111.0	1.0	1.0	0	
11103	1	11	111.0	1.0	1.0	1	4
11104	1	11	111.0	1.0	1.0	0	
11105	1	11	111.0	1.0	1.0	0	
11108	1	11	111.0	1.0	1.0	0	
11109	1	11	111.0	1.0	1.0	0	
11110	1	11	111.0	1.0	1.0	0	
11112	1	11	111.0	1.0	1.0	0	
11113	1	11	111.0	1.0	1.0	0	
11114	1	11	111.0	1.0	1.0	0	
11115	1	11	111.0	1.0	1.0	0	
11116	1	11	111.0	1.0	1.0	0	
11117	1	11	111.0	1.0	1.0	1	1
11118	1	11	111.0	1.0	1.0	1	6
11119	1	11	111.0	1.0	1.0	0	
11120	1	11	111.0	1.0	1.0	0	
11201	1	12	112.0	1.0	2.0	1	2
11202	1	12	112.0	1.0	2.0	0	
11203	1	12	112.0	1.0	2.0	0	
11204	1	12	112.0	1.0	2.0	0	
