hhid	line	district	village	villno	strno	group	g88	g89	g90	g91	g92	g93	g94	g94b	g95	g96	g96u	g97	g98	g98u
10217	1	1	2	102.0	1.0	2.0	2	2008	1	0	1	4	888	1.0	2	5	1	0		
10219	1	1	2	102.0	1.0	2.0	2	2008	0		1	1	1	0.0	2	1	1	0		
10303	1	1	3	103.0	1.0	2.0	2	2009	1	0	1	2	888	1.0	2	4	1	0		
10306	1	1	3	103.0	1.0	2.0	1	2008	0		1	1	888	1.0	3	4	1	0		
10309	1	1	3	103.0	1.0	2.0	1	2009	0		1	7	888	1.0	2	20	1	0		
10309	2	1	3	103.0	1.0	2.0	1	2009	0		1	7	888	1.0	2	20	1	0		
10309	3	1	3	103.0	1.0	2.0	1	2009	0		1	7	34	0.0	2	20	1	0		
10313	1	1	3	103.0	1.0	2.0	1	2008	0		1	7	888	1.0	2	3	1	0		
10405	1	1	4	104.0	1.0	3.0	1	2008	0		0		888	1.0	3	3	1	0		
10805	1	1	8	108.0	1.0	2.0	1	2009	0		1	7	1	0.0	2	4	1	0		
10805	2	1	8	108.0	1.0	2.0	2	2009	0		0		888	1.0	2	5	1	0		
10807	1	1	8	108.0	1.0	2.0	2	2008	1	0	1	5	888	1.0	1	2	1	0		
10810	1	1	8	108.0	1.0	2.0	1	2009	0		1	7	888	1.0	1	5	1	0		
10812	1	1	8	108.0	1.0	2.0	1	2009	0		0		888	1.0	2	3	1	0		
10814	1	1	8	108.0	1.0	2.0	1	2009	0		0		888	1.0	1	5	1	0		
10902	1	1	9	109.0	1.0	1.0	1	2008	0		1	5	2	0.0	2	0.5	1	0		
10902	2	1	9	109.0	1.0	1.0	1	2009	0		1	5	2	0.0	2	2	2	0		
10905	1	1	9	109.0	1.0	1.0	1	2009	0		1	2	888	1.0	2	5	1	0		
10905	2	1	9	109.0	1.0	1.0	1	2009	0		1	7	888	1.0	2	4	1	0		
10905	3	1	9	109.0	1.0	1.0	1	2009	0		0		888	1.0	2	5	1	0		
10905	4	1	9	109.0	1.0	1.0	1	2009	0		0		4	0.0	2	7	1	0		
10905	5	1	9	109.0	1.0	1.0	1	2008	0		0		2	0.0	2	3.5	1	0		
10905	6	1	9	109.0	1.0	1.0	1	2008	0		0		4	0.0	2	4.5	1	0		
10907	1	1	9	109.0	1.0	1.0	1	2009	0		1	5	2	0.0	2	8	1	0		
10907	2	1	9	109.0	1.0	1.0	1	2009	0		0		3	0.0	2	6	1	0		
10912	1	1	9	109.0	1.0	1.0	1	2009	0		0		888	1.0	3	4	1	0		
11001	1	1	10	110.0	1.0	1.0	2	2008	0		0		888	1.0	3	1	1	0		
11001	2	1	10	110.0	1.0	1.0	1	2008	0		0		888	1.0	3	1	1	0		
11005	1	1	10	110.0	1.0	1.0	1	2009	0		1	4	888	1.0	3	10	1	0		
11017	1	1	10	110.0	1.0	1.0	1	2009	0		0		888	1.0	2	3	1	0		
11018	1	1	10	110.0	1.0	1.0	1	2009	0		1	2	888	1.0	2	10	1	0		
11018	2	1	10	110.0	1.0	1.0	1	2008	0		1	1	2	0.0	2	10	1	0		
11019	1	1	10	110.0	1.0	1.0	1	2009	0		1	4	33	0.0	2	3	1	0		
11019	2	1	10	110.0	1.0	1.0	1	2009	0		1	2	33	0.0	2	2	1	0		
11103	1	1	11	111.0	1.0	1.0	1	2008	1	0	0		888	1.0	2	15	1	0		
11103	2	1	11	111.0	1.0	1.0	1	2008	0		0		888	1.0	2	15	1	0		
11103	3	1	11	111.0	1.0	1.0	1	2008	0		0		888	1.0	2	10	1	0		
11103	4	1	11	111.0	1.0	1.0	1	2008	0		0		888	1.0	2	10	1	0		
11117	1	1	11	111.0	1.0	1.0	1	2009	1	0	1	7	888	1.0	2	5	1	0		
11118	1	1	11	111.0	1.0	1.0	1	2007	0		1	2	37	0.0	2	15	1	0		
11118	2	1	11	111.0	1.0	1.0	1	2009	0		1	7	38	0.0	2	6	1	0		
11118	3	1	11	111.0	1.0	1.0	1	2008	1	0	0		888	1.0	2	6	1	1	90	2
11118	4	1	11	111.0	1.0	1.0	1	2008	1	0	0		888	1.0	2	3	1	1	45	2
11118	5	1	11	111.0	1.0	1.0	1	2008	1	0	0		888	1.0	2	2	1	1	30	2
11118	6	1	11	111.0	1.0	1.0	1	2008	1	0	0		888	1.0	2	5	1	1	75	2
11201	1	1	12	112.0	1.0	2.0	1	2008	1	0	1	7	5	0.0	2	4	1	0		
11201	2	1	12	112.0	1.0	2.0	2	2008	0		1	2	36	0.0	2	5	1	0		
11209	1	1	12	112.0	1.0	2.0	1	2009	0		1	4	888	1.0	2	5	1	0		
11209	2	1	12	112.0	1.0	2.0	2	2009	0		1	2	888	1.0	2	3	1	0		
11210	1	1	12	112.0	1.0	2.0	1	2009	0		0		888	1.0	3	10	1	0		
11403	1	1	14	114.0	1.0	2.0	1	2009	0		0		888	1.0	3	20	1	0		
