hhid	line	district	village	villno	strno	group	h01	h02	h03	h04
10101	1	1	1	101.0	1.0	3.0	61	7	1	0
10101	2	1	1	101.0	1.0	3.0	62	1	1	0
10102	2	1	1	101.0	1.0	3.0	62	3	1	0
10103	1	1	1	101.0	1.0	3.0	61	5	1	0
10104	1	1	1	101.0	1.0	3.0	61	8	1	0
10105	1	1	1	101.0	1.0	3.0	61	1	1	0
10106	1	1	1	101.0	1.0	3.0	61	1	1	0
10107	1	1	1	101.0	1.0	3.0	61	11	1	0
10107	2	1	1	101.0	1.0	3.0	62	2	1	0
10109	1	1	1	101.0	1.0	3.0	61	15	1	0
10110	1	1	1	101.0	1.0	3.0	61	4	1	1
10111	1	1	1	101.0	1.0	3.0	61	28	1	0
10112	4	1	1	101.0	1.0	3.0	64	3	1	0
10112	1	1	1	101.0	1.0	3.0	61	4	1	0
10113	2	1	1	101.0	1.0	3.0	62	2	1	0
10113	1	1	1	101.0	1.0	3.0	61	30	1	0
10114	2	1	1	101.0	1.0	3.0	62	2	1	0
10114	1	1	1	101.0	1.0	3.0	61	30	1	0
10115	1	1	1	101.0	1.0	3.0	61	10	1	0
10116	2	1	1	101.0	1.0	3.0	62	1	1	0
10117	2	1	1	101.0	1.0	3.0	62	1	1	0
10117	1	1	1	101.0	1.0	3.0	61	3	1	0
10118	2	1	1	101.0	1.0	3.0	62	1	1	0
10118	1	1	1	101.0	1.0	3.0	61	4	1	0
10119	1	1	1	101.0	1.0	3.0	61	2	1	0
10120	1	1	1	101.0	1.0	3.0	61	1	1	0
10120	2	1	1	101.0	1.0	3.0	62	1	0	0
10202	1	1	2	102.0	1.0	2.0	61	8	1	0
10202	2	1	2	102.0	1.0	2.0	62	4	1	0
10203	1	1	2	102.0	1.0	2.0	61	8	1	0
10203	2	1	2	102.0	1.0	2.0	62	1	0	0
10205	1	1	2	102.0	1.0	2.0	61	3	1	0
10205	2	1	2	102.0	1.0	2.0	62	2	1	0
10207	1	1	2	102.0	1.0	2.0	61	4	1	0
10207	2	1	2	102.0	1.0	2.0	62	3	1	0
10207	3	1	2	102.0	1.0	2.0	63	1	1	0
10208	1	1	2	102.0	1.0	2.0	61	5	1	1
10208	2	1	2	102.0	1.0	2.0	62	1	1	0
10209	1	1	2	102.0	1.0	2.0	61	6	1	1
10209	2	1	2	102.0	1.0	2.0	62	1	1	0
10211	1	1	2	102.0	1.0	2.0	61	6	1	0
10211	2	1	2	102.0	1.0	2.0	62	2	1	0
10215	1	1	2	102.0	1.0	2.0	61	5	1	0
10217	1	1	2	102.0	1.0	2.0	61	5	1	0
10218	1	1	2	102.0	1.0	2.0	61	1	1	1
10220	1	1	2	102.0	1.0	2.0	61	16	1	0
10220	2	1	2	102.0	1.0	2.0	62	7	1	0
10302	1	1	3	103.0	1.0	2.0	61	3	0	0
10302	2	1	3	103.0	1.0	2.0	62	2	0	0
10303	4	1	3	103.0	1.0	2.0	64	3	1	0
10303	1	1	3	103.0	1.0	2.0	61	21	1	1
10303	2	1	3	103.0	1.0	2.0	62	14	1	0
10303	3	1	3	103.0	1.0	2.0	63	1	0	0
10304	1	1	3	103.0	1.0	2.0	61	17	1	1
10307	1	1	3	103.0	1.0	2.0	61	6	1	0
10307	4	1	3	103.0	1.0	2.0	64	2	1	0
10308	2	1	3	103.0	1.0	2.0	62	1	1	0
10308	1	1	3	103.0	1.0	2.0	61	8	1	0
10312	1	1	3	103.0	1.0	2.0	61	13	1	0
10313	2	1	3	103.0	1.0	2.0	62	1	0	0
10314	1	1	3	103.0	1.0	2.0	61	8	1	0
10314	2	1	3	103.0	1.0	2.0	62	2	1	0
10315	1	1	3	103.0	1.0	2.0	61	5	1	0
10315	2	1	3	103.0	1.0	2.0	62	2	1	0
10316	1	1	3	103.0	1.0	2.0	61	1	1	0
10316	2	1	3	103.0	1.0	2.0	62	4	0	0
10317	1	1	3	103.0	1.0	2.0	61	3	1	0
10318	1	1	3	103.0	1.0	2.0	61	18	1	1
10319	4	1	3	103.0	1.0	2.0	64	1	1	0
10319	1	1	3	103.0	1.0	2.0	61	11	1	1
10319	2	1	3	103.0	1.0	2.0	62	1	1	0
10320	1	1	3	103.0	1.0	2.0	61	4	0	0
10320	2	1	3	103.0	1.0	2.0	62	3	1	0
10401	1	1	4	104.0	1.0	3.0	61	4	0	0
10402	1	1	4	104.0	1.0	3.0	61	6	1	0
10402	2	1	4	104.0	1.0	3.0	62	2	1	0
10403	1	1	4	104.0	1.0	3.0	61	8	1	0
10403	2	1	4	104.0	1.0	3.0	62	5	1	0
10404	2	1	4	104.0	1.0	3.0	62	2	1	0
10404	1	1	4	104.0	1.0	3.0	61	4	1	0
10405	2	1	4	104.0	1.0	3.0	62	1	1	0
10405	1	1	4	104.0	1.0	3.0	61	13	0	0
10407	2	1	4	104.0	1.0	3.0	62	1	1	0
10407	1	1	4	104.0	1.0	3.0	61	7	1	0
10408	2	1	4	104.0	1.0	3.0	62	7	1	0
10408	1	1	4	104.0	1.0	3.0	61	3	1	0
10410	1	1	4	104.0	1.0	3.0	61	2	1	0
10411	1	1	4	104.0	1.0	3.0	61	10	1	0
10411	2	1	4	104.0	1.0	3.0	62	5	1	0
10412	2	1	4	104.0	1.0	3.0	62	3	1	0
10412	1	1	4	104.0	1.0	3.0	61	1	1	0
10413	1	1	4	104.0	1.0	3.0	61	3	0	0
10413	2	1	4	104.0	1.0	3.0	62	2	1	0
10414	1	1	4	104.0	1.0	3.0	61	14	1	1
10414	2	1	4	104.0	1.0	3.0	62	5	1	0
10416	1	1	4	104.0	1.0	3.0	61	27	1	0
10416	2	1	4	104.0	1.0	3.0	62	3	1	0
10417	2	1	4	104.0	1.0	3.0	62	3	1	0
10417	1	1	4	104.0	1.0	3.0	61	6	1	0
10418	1	1	4	104.0	1.0	3.0	61	2	1	0
10418	4	1	4	104.0	1.0	3.0	64	1	1	0
10419	2	1	4	104.0	1.0	3.0	62	1	0	0
10419	1	1	4	104.0	1.0	3.0	61	2	1	0
10420	1	1	4	104.0	1.0	3.0	61	7	0	0
10420	2	1	4	104.0	1.0	3.0	62	2	1	0
10501	1	1	5	105.0	1.0	3.0	61	5	1	0
10502	1	1	5	105.0	1.0	3.0	61	4	1	1
10503	1	1	5	105.0	1.0	3.0	61	6	1	0
10504	1	1	5	105.0	1.0	3.0	61	15	1	0
10504	2	1	5	105.0	1.0	3.0	62	5	1	0
10505	4	1	5	105.0	1.0	3.0	64	2	0	0
10505	1	1	5	105.0	1.0	3.0	61	12	1	0
10508	1	1	5	105.0	1.0	3.0	61	1	1	0
10509	1	1	5	105.0	1.0	3.0	61	6	1	0
10509	2	1	5	105.0	1.0	3.0	62	2	1	0
10510	1	1	5	105.0	1.0	3.0	61	7	1	0
10511	1	1	5	105.0	1.0	3.0	61	4	1	0
10511	2	1	5	105.0	1.0	3.0	62	3	1	0
10512	2	1	5	105.0	1.0	3.0	62	1	0	0
10512	1	1	5	105.0	1.0	3.0	61	12	1	1
10513	2	1	5	105.0	1.0	3.0	62	1	1	0
10513	1	1	5	105.0	1.0	3.0	61	7	1	0
10515	1	1	5	105.0	1.0	3.0	61	4	1	0
10515	2	1	5	105.0	1.0	3.0	62	3	1	0
10518	2	1	5	105.0	1.0	3.0	62	1	1	0
10518	1	1	5	105.0	1.0	3.0	61	12	1	0
10520	2	1	5	105.0	1.0	3.0	62	2	1	0
10520	1	1	5	105.0	1.0	3.0	61	10	1	1
10601	2	1	6	106.0	1.0	3.0	62	5	1	0
10601	1	1	6	106.0	1.0	3.0	61	10	1	0
10603	2	1	6	106.0	1.0	3.0	62	2	1	0
10603	1	1	6	106.0	1.0	3.0	61	5	1	0
10604	4	1	6	106.0	1.0	3.0	64	3	1	0
10604	1	1	6	106.0	1.0	3.0	61	9	1	0
10605	1	1	6	106.0	1.0	3.0	61	1	1	0
10605	2	1	6	106.0	1.0	3.0	62	1	1	0
10606	4	1	6	106.0	1.0	3.0	64	7	1	0
10606	1	1	6	106.0	1.0	3.0	61	10	1	0
10607	1	1	6	106.0	1.0	3.0	61	6	1	0
10608	4	1	6	106.0	1.0	3.0	64	3	1	0
10608	1	1	6	106.0	1.0	3.0	61	3	1	0
10608	2	1	6	106.0	1.0	3.0	62	1	1	0
10609	4	1	6	106.0	1.0	3.0	64	1	1	0
10609	2	1	6	106.0	1.0	3.0	62	1	1	0
10609	1	1	6	106.0	1.0	3.0	61	5	1	0
10610	1	1	6	106.0	1.0	3.0	61	2	1	0
