hhid	line	district	village	villno	strno	group	h06	crop
10103	1	1	1	101.0	1.0	3.0	1	"LARANGEIRAS"
10103	2	1	1	101.0	1.0	3.0	1	"BANANEIRAS"
10104	1	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10104	2	1	1	101.0	1.0	3.0	0	"MASSUCO"
10105	1	1	1	101.0	1.0	3.0	0	"LARANJEIRAS"
10107	1	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10111	1	1	1	101.0	1.0	3.0	0	"LARANGEIRAS"
10112	1	1	1	101.0	1.0	3.0	1	"BANANEIRAS"
10114	1	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10115	1	1	1	101.0	1.0	3.0	0	"LARANGEIRAS"
10115	2	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10117	1	1	1	101.0	1.0	3.0	1	"MASSUCO"
10118	1	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10119	1	1	1	101.0	1.0	3.0	0	"BANANEIRAS"
10120	1	1	1	101.0	1.0	3.0	0	"LARANGEIRAS"
10120	2	1	1	101.0	1.0	3.0	1	"BANANEIRAS"
10202	1	1	2	102.0	1.0	2.0	1	"BANANEIRAS"
10202	2	1	2	102.0	1.0	2.0	0	"PERABACATEIRA"
10202	3	1	2	102.0	1.0	2.0	0	"LARANJEIRA"
10202	4	1	2	102.0	1.0	2.0	0	"LIMOEIRO"
10205	1	1	2	102.0	1.0	2.0	0	"MASSUCO"
10205	2	1	2	102.0	1.0	2.0	1	"BANANEIRAS"
10205	3	1	2	102.0	1.0	2.0	1	"CANA DE ACUCAR"
10207	1	1	2	102.0	1.0	2.0	0	"BANANEIRA"
10208	1	1	2	102.0	1.0	2.0	1	"BANANEIRAS"
10211	1	1	2	102.0	1.0	2.0	1	"PERABACATEIRA"
10211	2	1	2	102.0	1.0	2.0	1	"BANANEIRAS"
10215	1	1	2	102.0	1.0	2.0	0	"PERABACATEIRA"
10217	1	1	2	102.0	1.0	2.0	0	"LIMOEIRO"
10217	2	1	2	102.0	1.0	2.0	0	"MASSUCO"
10217	3	1	2	102.0	1.0	2.0	0	"GOIABEIRA"
10219	1	1	2	102.0	1.0	2.0	0	"LIMOEIRO"
10220	1	1	2	102.0	1.0	2.0	1	"BANANEIRAS"
10302	1	1	3	103.0	1.0	2.0	0	"MASSUCO"
10302	2	1	3	103.0	1.0	2.0	0	"GOIABEIRA"
10302	3	1	3	103.0	1.0	2.0	0	"BANANEIRA"
10303	1	1	3	103.0	1.0	2.0	0	"ABACATEIRA"
10303	2	1	3	103.0	1.0	2.0	0	"MATSUCO"
10304	1	1	3	103.0	1.0	2.0	1	"PERABACATEIRA"
10306	1	1	3	103.0	1.0	2.0	0	"BANANEIRAS"
10307	1	1	3	103.0	1.0	2.0	1	"MASSUCO"
10308	1	1	3	103.0	1.0	2.0	1	"BANANEIRA"
10311	1	1	3	103.0	1.0	2.0	0	"BANANEIRAS"
10312	1	1	3	103.0	1.0	2.0	1	"MASSUCO"
10312	2	1	3	103.0	1.0	2.0	0	"PERABACATEIRA"
10312	3	1	3	103.0	1.0	2.0	1	"BANANEIRAS"
10313	1	1	3	103.0	1.0	2.0	0	"MASSUCO"
10313	2	1	3	103.0	1.0	2.0	1	"BANANEIRA"
10314	1	1	3	103.0	1.0	2.0	0	"BANANEIRA"
10315	1	1	3	103.0	1.0	2.0	0	"BANANEIRA"
10316	1	1	3	103.0	1.0	2.0	0	"MASSUCO"
10316	2	1	3	103.0	1.0	2.0	0	"BANANEIRAS"
10317	1	1	3	103.0	1.0	2.0	1	"BANANEIRA"
10318	1	1	3	103.0	1.0	2.0	1	"BANANEIRA"
10320	1	1	3	103.0	1.0	2.0	0	"MASSUCO"
10320	2	1	3	103.0	1.0	2.0	1	"BANANEIRA"
10402	1	1	4	104.0	1.0	3.0	0	"BANANEIRA"
10403	1	1	4	104.0	1.0	3.0	0	"MASSUCO"
10404	1	1	4	104.0	1.0	3.0	0	"ABACATEIRA"
