hhid	line	district	village	villno	strno	group	h07	h08	h09	h10
10101	6	1	1	101.0	1.0	3.0	106	0		
10101	4	1	1	101.0	1.0	3.0	104	0		
10101	3	1	1	101.0	1.0	3.0	103	1	0	11
10101	2	1	1	101.0	1.0	3.0	102	0		
10101	7	1	1	101.0	1.0	3.0	107	0		
10101	9	1	1	101.0	1.0	3.0	109	0		
10101	10	1	1	101.0	1.0	3.0	110	0		
10101	5	1	1	101.0	1.0	3.0	105	0		
10101	1	1	1	101.0	1.0	3.0	101	0		
10102	2	1	1	101.0	1.0	3.0	102	0		
10102	7	1	1	101.0	1.0	3.0	107	0		
10102	1	1	1	101.0	1.0	3.0	101	0		
10102	6	1	1	101.0	1.0	3.0	106	0		
10102	9	1	1	101.0	1.0	3.0	109	0		
10102	5	1	1	101.0	1.0	3.0	105	0		
10102	4	1	1	101.0	1.0	3.0	104	1	1	3
10102	10	1	1	101.0	1.0	3.0	110	0		
10102	3	1	1	101.0	1.0	3.0	103	1	0	11
10103	1	1	1	101.0	1.0	3.0	101	0		
10103	4	1	1	101.0	1.0	3.0	104	0		
10103	7	1	1	101.0	1.0	3.0	107	0		
10103	2	1	1	101.0	1.0	3.0	102	0		
10103	9	1	1	101.0	1.0	3.0	109	0		
10103	6	1	1	101.0	1.0	3.0	106	0		
10103	3	1	1	101.0	1.0	3.0	103	1	0	11
10103	10	1	1	101.0	1.0	3.0	110	0		
10103	5	1	1	101.0	1.0	3.0	105	0		
10104	6	1	1	101.0	1.0	3.0	106	0		
10104	3	1	1	101.0	1.0	3.0	103	1	0	11
10104	5	1	1	101.0	1.0	3.0	105	0		
10104	1	1	1	101.0	1.0	3.0	101	0		
10104	4	1	1	101.0	1.0	3.0	104	0		
10104	2	1	1	101.0	1.0	3.0	102	1		
10104	9	1	1	101.0	1.0	3.0	109	0		
10104	10	1	1	101.0	1.0	3.0	110	0		
10104	7	1	1	101.0	1.0	3.0	107	0		
10105	1	1	1	101.0	1.0	3.0	101	0		
10105	4	1	1	101.0	1.0	3.0	104	1	1	8
10105	6	1	1	101.0	1.0	3.0	106	0		
10105	10	1	1	101.0	1.0	3.0	110	0		
10105	9	1	1	101.0	1.0	3.0	109	0		
10105	2	1	1	101.0	1.0	3.0	102	1		
10105	7	1	1	101.0	1.0	3.0	107	0		
10105	5	1	1	101.0	1.0	3.0	105	0		
10105	3	1	1	101.0	1.0	3.0	103	1	0	11
10106	6	1	1	101.0	1.0	3.0	106	0		
10106	2	1	1	101.0	1.0	3.0	102	0		
10106	9	1	1	101.0	1.0	3.0	109	0		
10106	7	1	1	101.0	1.0	3.0	107	0		
10106	10	1	1	101.0	1.0	3.0	110	0		
10106	3	1	1	101.0	1.0	3.0	103	1	0	11
10106	4	1	1	101.0	1.0	3.0	104	0		
10106	1	1	1	101.0	1.0	3.0	101	0		
10106	5	1	1	101.0	1.0	3.0	105	0		
10107	7	1	1	101.0	1.0	3.0	107	0		
10107	2	1	1	101.0	1.0	3.0	102	0		
10107	3	1	1	101.0	1.0	3.0	103	1	0	11
10107	9	1	1	101.0	1.0	3.0	109	0		
10107	6	1	1	101.0	1.0	3.0	106	0		
10107	10	1	1	101.0	1.0	3.0	110	0		
10107	5	1	1	101.0	1.0	3.0	105	0		
10107	1	1	1	101.0	1.0	3.0	101	0		
10107	4	1	1	101.0	1.0	3.0	104	1	1	8
10109	7	1	1	101.0	1.0	3.0	107	0		
10109	10	1	1	101.0	1.0	3.0	110	0		
10109	1	1	1	101.0	1.0	3.0	101	0		
10109	2	1	1	101.0	1.0	3.0	102	1		
10109	3	1	1	101.0	1.0	3.0	103	1	0	11
10109	5	1	1	101.0	1.0	3.0	105	0		
10109	6	1	1	101.0	1.0	3.0	106	0		
10109	4	1	1	101.0	1.0	3.0	104	0		
10109	9	1	1	101.0	1.0	3.0	109	0		
10110	4	1	1	101.0	1.0	3.0	104	1	1	3
10110	3	1	1	101.0	1.0	3.0	103	1	0	11
10110	9	1	1	101.0	1.0	3.0	109	0		
10110	6	1	1	101.0	1.0	3.0	106	0		
10110	7	1	1	101.0	1.0	3.0	107	0		
10110	1	1	1	101.0	1.0	3.0	101	0		
10110	2	1	1	101.0	1.0	3.0	102	0		
10110	5	1	1	101.0	1.0	3.0	105	0		
10110	10	1	1	101.0	1.0	3.0	110	0		
10111	10	1	1	101.0	1.0	3.0	110	0		
10111	2	1	1	101.0	1.0	3.0	102	0		
10111	9	1	1	101.0	1.0	3.0	109	0		
10111	4	1	1	101.0	1.0	3.0	104	0		
10111	6	1	1	101.0	1.0	3.0	106	0		
10111	7	1	1	101.0	1.0	3.0	107	0		
10111	1	1	1	101.0	1.0	3.0	101	0		
10111	3	1	1	101.0	1.0	3.0	103	1	0	11
10111	5	1	1	101.0	1.0	3.0	105	0		
10112	2	1	1	101.0	1.0	3.0	102	0		
10112	9	1	1	101.0	1.0	3.0	109	0		
10112	10	1	1	101.0	1.0	3.0	110	0		
10112	7	1	1	101.0	1.0	3.0	107	0		
10112	1	1	1	101.0	1.0	3.0	101	0		
10112	5	1	1	101.0	1.0	3.0	105	0		
10112	4	1	1	101.0	1.0	3.0	104	0		
10112	6	1	1	101.0	1.0	3.0	106	0		
10112	3	1	1	101.0	1.0	3.0	103	1	0	11
10113	10	1	1	101.0	1.0	3.0	110	0		
10113	6	1	1	101.0	1.0	3.0	106	0		
10113	9	1	1	101.0	1.0	3.0	109	0		
10113	3	1	1	101.0	1.0	3.0	103	1	0	11
10113	1	1	1	101.0	1.0	3.0	101	0		
10113	4	1	1	101.0	1.0	3.0	104	0		
10113	2	1	1	101.0	1.0	3.0	102	0		
10113	5	1	1	101.0	1.0	3.0	105	0		
10113	7	1	1	101.0	1.0	3.0	107	0		
10114	9	1	1	101.0	1.0	3.0	109	0		
10114	4	1	1	101.0	1.0	3.0	104	1	1	8
10114	5	1	1	101.0	1.0	3.0	105	0		
10114	1	1	1	101.0	1.0	3.0	101	0		
10114	10	1	1	101.0	1.0	3.0	110	0		
10114	2	1	1	101.0	1.0	3.0	102	0		
10114	7	1	1	101.0	1.0	3.0	107	0		
10114	3	1	1	101.0	1.0	3.0	103	1	0	2
10114	6	1	1	101.0	1.0	3.0	106	0		
10115	9	1	1	101.0	1.0	3.0	109	0		
