district	village	villno	strno	group	hhid	i01	i02	i03	i04	i05	i06	i07	i07a	i07b	i08	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30
1	1	101.0	1.0	3.0	10101	0		0		1	1	1			0	0																				
1	1	101.0	1.0	3.0	10102	1	3	1	1	1	1	1			1	0																				
1	1	101.0	1.0	3.0	10103	0		0		7	0				0	0																				
1	1	101.0	1.0	3.0	10104	1	3	1	1	1	1	1			1	0																				
1	1	101.0	1.0	3.0	10105	0		0		1	1	1			1	0																				
1	1	101.0	1.0	3.0	10106	0		0		2	0				0	0																				
1	1	101.0	1.0	3.0	10107	0		0		2	0				0	0																				
1	1	101.0	1.0	3.0	10109	0		0		2	1	1			1	0																				
1	1	101.0	1.0	3.0	10110	1	4	0		2	1	1			1	0																				
1	1	101.0	1.0	3.0	10111	0		0		2	0				0	0																				
1	1	101.0	1.0	3.0	10112	0		0		1	1	1			0	0																				
1	1	101.0	1.0	3.0	10113	0		0		1	1	1			0	0																				
1	1	101.0	1.0	3.0	10114	0		0		1	1	1			0	0																				
1	1	101.0	1.0	3.0	10115	0		0		4	1	1			1	0																				
1	1	101.0	1.0	3.0	10116	0		0		2	1	1			1	0																				
1	1	101.0	1.0	3.0	10117	0		0		1	1	1			0	0																				
1	1	101.0	1.0	3.0	10118	0		0		6	0				0	0																				
1	1	101.0	1.0	3.0	10119	1	6	1	4	2	1	1			0	0																				
1	1	101.0	1.0	3.0	10120	0		0		2	0				0	0																				
1	2	102.0	1.0	2.0	10202	0		1	9	9	0				0	1	9	1	1	0		1	1	3	0	0	1	0	1	1	1	1	1	0	0	0
1	2	102.0	1.0	2.0	10203	0		0		2	1	1	3		0	1	9	1	0			0											2	0	0	0
1	2	102.0	1.0	2.0	10205	0		1	9	9	1	1			1	1	9	1	1	1	2	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0
1	2	102.0	1.0	2.0	10207	0		1	5	5	1	1			1	1	9	1	1	0		1	0	2	0	0	1	0	1	0	0	2	1	0	0	0
1	2	102.0	1.0	2.0	10208	1	4	1	4	4	1	1	3		1	1	8	1	1	0		1	1	2	1	1	1	0	0	0	0	2	1	1	0	0
1	2	102.0	1.0	2.0	10209	0		1	1	1	1	1	3		1	0		1	0			0											1	0	0	0
1	2	102.0	1.0	2.0	10211	0		1	1	1	1	1	3		1	1	8	0				0											1	0	0	0
1	2	102.0	1.0	2.0	10212	0		1	1	1	1	1	3		0	0		1	0			0											1	0	0	0
1	2	102.0	1.0	2.0	10214	1	6	0		2	1	1			0	1	9	1	1	0		1	0	1	0	1	0	0	0	0	1	2	2	0	0	0
1	2	102.0	1.0	2.0	10215	0		1	1	1	1	1	3		1	1	2	1	0			0											2	0	0	0
1	2	102.0	1.0	2.0	10217	1	3	1	1	1	1	1	3		1	1	9	1	1	1	2	1	1	2	2	1	1	0	0	0	0	1	1	1	0	0
1	2	102.0	1.0	2.0	10218	0		1	2	4	1	1	3		1	0		1	0			0											9	0	0	0
1	2	102.0	1.0	2.0	10219	0		0		1	1	1	3		1	0		0				1	1	2	1	1	1	0	0	0	0	2	1	0	0	0
1	2	102.0	1.0	2.0	10220	0		1	9	9	1	3			0	1	9	1	1	1	1	1	1	3	1	1	1	0	1	1	0	1	1	0	0	0
1	3	103.0	1.0	2.0	10302	0		1	1	1	1	1	3		1	1	9	1	1	1	2	1	1	2	1	1	1	0	0	0	1	2	1	0	0	0
1	3	103.0	1.0	2.0	10303	1	3	1	2	2	1	3			1	1	8	1	1	1	1	1	0	3	1	1	0	0	1	0	1	2	3	1	0	0
1	3	103.0	1.0	2.0	10304	0		1	9	9	1	1	3		1	1	9	1	1	1	2	1	1	4	2	1	1	0	0	0	0	2	1	0	0	0
1	3	103.0	1.0	2.0	10306	1	6	0		4	1	1	3		1	1	9	1	1	0		0											1	1	0	0
1	3	103.0	1.0	2.0	10307	1	10	1	8	8	1	1			1	1	8	3				1	1	3	1	1	1	0	1	0	1	1	1	1	0	0
1	3	103.0	1.0	2.0	10308	0		1	9	9	1	3			0	1	9	1	0			1	1	3	1	1	0	0	1	0	1	2	1	0	0	0
1	3	103.0	1.0	2.0	10309	1	2	0		2	0				0	1	9	1	1	1	2	0											1	1	0	0
1	3	103.0	1.0	2.0	10311	0		1	2	5	1	1			0	1	9	1	1	1	1	1	0	6	1	1	0	0	0	0	1	2	1	0	0	0
1	3	103.0	1.0	2.0	10312	0		1	8	2	1	1	3		1	1	8	1	0			1	1	1	1	1	1	1	1	0	0	2	1	0	0	0
1	3	103.0	1.0	2.0	10313	0		1	9	9	1	1	3		1	1	9	1	1	1	2	1	1	3	1	1	1	0	0	0	1	1	1	1	0	0
1	3	103.0	1.0	2.0	10314	0		0		2	1	1			0	1	9	1	1	0		1	1	5	0	0	1	0	1	0	1	2	3	0	0	0
1	3	103.0	1.0	2.0	10315	1	4	1	1	9	1	1	3		1	1	9	1	1	1	1	1	1	5	0	0	1	0	1	0	0	1	1	1	0	0
1	3	103.0	1.0	2.0	10316	0		1	9	9	0				1	1	9	1	1	1	1	1	0	3	1	1	1	0	0	0	0	2	1	0	0	0
1	3	103.0	1.0	2.0	10317	0		1	9	9	1	1	3		1	1	9	0				1	1	3	1	1	0	0	1	0	1	2	1	0	0	0
1	3	103.0	1.0	2.0	10318	0		1	9	9	1	1	2		0	0		1	1	0		0											1	0	0	0
1	3	103.0	1.0	2.0	10319	1	3	1	7	7	1	1	3		1	1	9	1	1	1	3	1	1	3	1	1	0	0	0	0	0	2	3	1	0	0
1	3	103.0	1.0	2.0	10320	0		1	2	9	0				0	1	2	1	1	1	1	0											2	0	0	0
1	4	104.0	1.0	3.0	10401	0		0		2	0				1	0																				
1	4	104.0	1.0	3.0	10402	1	1	1	2	2	1	1			1	0																				
1	4	104.0	1.0	3.0	10403	1	3	1	2	2	1	1			1	1	6																			
1	4	104.0	1.0	3.0	10404	0		1	6	6	1	1			1	0																				
1	4	104.0	1.0	3.0	10405	1	4	0		6	0				0	1	6																			
1	4	104.0	1.0	3.0	10407	1	4	0		1	1	1			1	0																				
1	4	104.0	1.0	3.0	10408	0		0		5	1	9			0	1	4																			
1	4	104.0	1.0	3.0	10410	0		1	1	1	1	1			1	0																				
1	4	104.0	1.0	3.0	10411	0		0		1	0				0	0																				
1	4	104.0	1.0	3.0	10412	0		1	1	1	1	1			1	0																				
1	4	104.0	1.0	3.0	10413	0		0		99	0				0	0																				
1	4	104.0	1.0	3.0	10414	0		0		4	1	1			1	0																				
1	4	104.0	1.0	3.0	10416	0		0		1	1	1			1	0																				
1	4	104.0	1.0	3.0	10417	0		0		4	1	1			1	0																				
1	4	104.0	1.0	3.0	10418	0		0		4	1	1			0	0																				
1	4	104.0	1.0	3.0	10419	0		0		7	0				0	0																				
1	4	104.0	1.0	3.0	10420	0		0		5	1	1			1	0																				
1	5	105.0	1.0	3.0	10501	0		1	6	6	0				0	0																				
1	5	105.0	1.0	3.0	10502	0		0		99	1	1			1	0																				
1	5	105.0	1.0	3.0	10503	0		0		5	0				0	0																				
1	5	105.0	1.0	3.0	10504	0		0		6	0				0	0																				
1	5	105.0	1.0	3.0	10505	0		0		1	1	1			1	0																				
1	5	105.0	1.0	3.0	10507	0		0		99	1	1	9		1	0																				
1	5	105.0	1.0	3.0	10508	0		0		99	1	1			1	0																				
1	5	105.0	1.0	3.0	10509	0		1	1	1	1	1			1	0																				
1	5	105.0	1.0	3.0	10510	0		1	2	6	1	1			0	0																				
1	5	105.0	1.0	3.0	10511	0		1	4	4	1	1			1	0																				
1	5	105.0	1.0	3.0	10512	0		0		4	1	1			1	0																				
1	5	105.0	1.0	3.0	10513	1	3	1	4	2	1	1			0	0																				
1	5	105.0	1.0	3.0	10515	0		0		6	1	9			0	0																				
1	5	105.0	1.0	3.0	10516	0		0		99	1	1			1	0																				
1	5	105.0	1.0	3.0	10518	0		0		2	0				0	0																				
1	5	105.0	1.0	3.0	10519	0		0		99	1	1			1	0																				
1	5	105.0	1.0	3.0	10520	0		1	4	4	1	1			1	0																				
1	6	106.0	1.0	3.0	10601	0		0		4	1	1			0	0																				
1	6	106.0	1.0	3.0	10602	1	6	1	2	1	1	1			0	0																				
1	6	106.0	1.0	3.0	10603	0		0		1	1	1			0	0																				
1	6	106.0	1.0	3.0	10604	1	3	1	2	2	0				0	0																				
1	6	106.0	1.0	3.0	10605	0		1	1	1	1	1			0	0																				
1	6	106.0	1.0	3.0	10606	1	3	1	1	1	0				0	0																				
1	6	106.0	1.0	3.0	10607	1	3	1	2	2	0				0	0																				
1	6	106.0	1.0	3.0	10608	1	6	0		2	0				0	0																				
