hhid	strno	villno	group	district	size	line	village	j01	j02	j03	j04	j04u	j05	j06	j06u	j07	j07u
10101	1.0	101.0	3.0	1.0	7	41	1	41	0								
10101	1.0	101.0	3.0	1.0	7	29	1	29	1	1	1.0	5	1	1.0	5	100	2
10101	1.0	101.0	3.0	1.0	7	24	1	24	0								
10101	1.0	101.0	3.0	1.0	7	7	1	7	0								
10101	1.0	101.0	3.0	1.0	7	49	1	49	0								
10101	1.0	101.0	3.0	1.0	7	1	1	1	0								
10101	1.0	101.0	3.0	1.0	7	30	1	30	0								
10101	1.0	101.0	3.0	1.0	7	58	1	58	0								
10101	1.0	101.0	3.0	1.0	7	9	1	9	0								
10101	1.0	101.0	3.0	1.0	7	11	1	11	1	1	1.0	24	0				
10101	1.0	101.0	3.0	1.0	7	37	1	37	0								
10101	1.0	101.0	3.0	1.0	7	34	1	34	0								
10101	1.0	101.0	3.0	1.0	7	18	1	18	1	3	2.0	27	0				
10101	1.0	101.0	3.0	1.0	7	17	1	17	0								
10101	1.0	101.0	3.0	1.0	7	2	1	2	1	7	5.0	27	0				
10101	1.0	101.0	3.0	1.0	7	39	1	39	0		1.0						
10101	1.0	101.0	3.0	1.0	7	36	1	36	0								
10101	1.0	101.0	3.0	1.0	7	50	1	50	0								
10101	1.0	101.0	3.0	1.0	7	63	1	63	0								
10101	1.0	101.0	3.0	1.0	7	69	1	69	0								
10101	1.0	101.0	3.0	1.0	7	54	1	54	1	1	3.0	3	0				
10101	1.0	101.0	3.0	1.0	7	10	1	10	0								
10101	1.0	101.0	3.0	1.0	7	31	1	31	0								
10101	1.0	101.0	3.0	1.0	7	64	1	64	0								
10101	1.0	101.0	3.0	1.0	7	21	1	21	0								
10101	1.0	101.0	3.0	1.0	7	23	1	23	0								
10101	1.0	101.0	3.0	1.0	7	66	1	66	1	1	5.0	3	0				
10101	1.0	101.0	3.0	1.0	7	35	1	35	0								
10101	1.0	101.0	3.0	1.0	7	44	1	44	0								
10101	1.0	101.0	3.0	1.0	7	51	1	51	0								
10101	1.0	101.0	3.0	1.0	7	53	1	53	0								
10101	1.0	101.0	3.0	1.0	7	42	1	42	0								
10101	1.0	101.0	3.0	1.0	7	27	1	27	0								
10101	1.0	101.0	3.0	1.0	7	4	1	4	0								
10101	1.0	101.0	3.0	1.0	7	52	1	52	1	1	4.0	3	0				
10101	1.0	101.0	3.0	1.0	7	68	1	68	0								
10101	1.0	101.0	3.0	1.0	7	67	1	67	0								
10101	1.0	101.0	3.0	1.0	7	71	1	71	0								
10101	1.0	101.0	3.0	1.0	7	32	1	32	0								
10101	1.0	101.0	3.0	1.0	7	59	1	59	0								
10101	1.0	101.0	3.0	1.0	7	19	1	19	1	3	1.0	28	1	3.0	28	60	2
10101	1.0	101.0	3.0	1.0	7	6	1	6	0								
10101	1.0	101.0	3.0	1.0	7	13	1	13	0								
10101	1.0	101.0	3.0	1.0	7	65	1	65	0								
10101	1.0	101.0	3.0	1.0	7	3	1	3	0								
10101	1.0	101.0	3.0	1.0	7	60	1	60	0								
10101	1.0	101.0	3.0	1.0	7	62	1	62	0								
