hhid	line	district	village	villno	strno	group	j08	j09	j10
10311	1	1	3	103.0	1.0	2.0	1	101	2
10312	1	1	3	103.0	1.0	2.0	1	101	7
10609	1	1	6	106.0	1.0	3.0	1	101	5
11104	1	1	11	111.0	1.0	1.0	1	101	2
11210	1	1	12	112.0	1.0	2.0	1	102	1
11211	1	1	12	112.0	1.0	2.0	1	104	6
11515	1	1	15	115.0	1.0	1.0	1	101	1
11515	2	1	15	115.0	1.0	1.0	1	102	1
20108	1	2	1	201.0	2.0	3.0	1	101	1
20108	2	2	1	201.0	2.0	3.0	1	102	1
20108	3	2	1	201.0	2.0	3.0	1	103	1
20108	4	2	1	201.0	2.0	3.0	1	104	7
20108	5	2	1	201.0	2.0	3.0	1	105	1
20108	6	2	1	201.0	2.0	3.0	1	201	1
20317	1	2	3	203.0	2.0	2.0	1	101	1
20317	2	2	3	203.0	2.0	2.0	1	101	1
20909	1	2	9	209.0	2.0	3.0	1	101	1
40208	1	4	2	402.0	3.0	1.0	1	101	7
40213	1	4	2	402.0	3.0	1.0	1	103	1
10552	1	1	5	105.0	1.0	3.0	1	101	2
11065	1	1	10	110.0	1.0	1.0	1	103	3
11153	1	1	11	111.0	1.0	1.0	1	101	2
11460	1	1	14	114.0	1.0	2.0	1	102	5
11460	2	1	14	114.0	1.0	2.0	1	101	3
11470	1	1	14	114.0	1.0	2.0	1	102	1
11768	1	1	17	117.0	1.0	2.0	1	101	3
20565	1	2	5	205.0	2.0	1.0	1	101	7
30552	1	3	5	305.0	3.0	3.0	1	103	3
40266	1	4	2	402.0	3.0	1.0	1	101	1
40361	1	4	3	403.0	3.0	1.0	1	101	1
40460	1	4	4	404.0	3.0	2.0	1	101	2
