hhid	line	district	village	villno	strno	group	k01	k02	k03	k03u	k04	k05	k05u
10101	18	1	1	101.0	1.0	3.0	18	0			0		
10101	16	1	1	101.0	1.0	3.0	16	0			0		
10101	20	1	1	101.0	1.0	3.0	20	0			0		
10101	7	1	1	101.0	1.0	3.0	7	0			0		
10101	19	1	1	101.0	1.0	3.0	19	1	50	2	0		
10101	17	1	1	101.0	1.0	3.0	17	0			0		
10101	26	1	1	101.0	1.0	3.0	26	0			0		
10101	13	1	1	101.0	1.0	3.0	13	0			0		
10101	6	1	1	101.0	1.0	3.0	6	0			0		
10101	10	1	1	101.0	1.0	3.0	10	1	40	2	0		
10101	14	1	1	101.0	1.0	3.0	14	0			0		
10101	12	1	1	101.0	1.0	3.0	12	0			0		
10101	8	1	1	101.0	1.0	3.0	8	0			0		
10101	1	1	1	101.0	1.0	3.0	1	0			0		
10101	21	1	1	101.0	1.0	3.0	21	0			0		
10101	15	1	1	101.0	1.0	3.0	15	0			0		
10101	11	1	1	101.0	1.0	3.0	11	0			0		
10101	4	1	1	101.0	1.0	3.0	4	1	150	2	0		
10101	25	1	1	101.0	1.0	3.0	25	0			0		
10101	2	1	1	101.0	1.0	3.0	2	0			0		
10101	3	1	1	101.0	1.0	3.0	3	0			0		
10101	5	1	1	101.0	1.0	3.0	5	1	60	2	0		
10101	9	1	1	101.0	1.0	3.0	9	0			0		
10101	22	1	1	101.0	1.0	3.0	22	1	20	2	0		
10101	23	1	1	101.0	1.0	3.0	23	0			0		
10101	24	1	1	101.0	1.0	3.0	24	0			0		
10102	18	1	1	101.0	1.0	3.0	18	0			0		
10102	22	1	1	101.0	1.0	3.0	22	1	10	2	0		
10102	10	1	1	101.0	1.0	3.0	10	0			0		
10102	24	1	1	101.0	1.0	3.0	24	0			0		
10102	8	1	1	101.0	1.0	3.0	8	1	110	2	0		
10102	4	1	1	101.0	1.0	3.0	4	1	140	2	0		
10102	11	1	1	101.0	1.0	3.0	11	0			0		
10102	26	1	1	101.0	1.0	3.0	26	0			0		
10102	5	1	1	101.0	1.0	3.0	5	1	50	2	0		
10102	13	1	1	101.0	1.0	3.0	13	0			0		
10102	19	1	1	101.0	1.0	3.0	19	0			0		
10102	1	1	1	101.0	1.0	3.0	1	0			0		
10102	16	1	1	101.0	1.0	3.0	16	0			0		
10102	14	1	1	101.0	1.0	3.0	14	0			0		
10102	21	1	1	101.0	1.0	3.0	21	0			0		
10102	6	1	1	101.0	1.0	3.0	6	0			0		
10102	3	1	1	101.0	1.0	3.0	3	0			0		
10102	12	1	1	101.0	1.0	3.0	12	0			0		
10102	20	1	1	101.0	1.0	3.0	20	0			0		
10102	7	1	1	101.0	1.0	3.0	7	0			0		
10102	2	1	1	101.0	1.0	3.0	2	0			0		
10102	23	1	1	101.0	1.0	3.0	23	0			0		
10102	25	1	1	101.0	1.0	3.0	25	0			0		
10102	15	1	1	101.0	1.0	3.0	15	0			0		
10102	9	1	1	101.0	1.0	3.0	9	0			0		
10102	17	1	1	101.0	1.0	3.0	17	0			0		
10103	7	1	1	101.0	1.0	3.0	7	0			0		
10103	20	1	1	101.0	1.0	3.0	20	0			0		
10103	10	1	1	101.0	1.0	3.0	10	1	30	2	0		
10103	1	1	1	101.0	1.0	3.0	1	1	600	2	0		
10103	23	1	1	101.0	1.0	3.0	23	0			0		
10103	22	1	1	101.0	1.0	3.0	22	1	50	2	0		
10103	13	1	1	101.0	1.0	3.0	13	0			0		
10103	15	1	1	101.0	1.0	3.0	15	0			0		
10103	8	1	1	101.0	1.0	3.0	8	1	150	2	0		
10103	19	1	1	101.0	1.0	3.0	19	0			0		
10103	18	1	1	101.0	1.0	3.0	18	0			0		
10103	11	1	1	101.0	1.0	3.0	11	0			0		
