district	village	villno	strno	group	hhid	codigo	m01	m02	m03	m04_1	m04_2	m04_3	m05	m06a	m06b	m06c	m06d	m07	m07a	m07b	m07c	m08a	m08b	m08c	m08d	m08e	m08f	m08g	m08h	m08i	m08j	m08k	m08l	m08m	m08n	m08o	m08oc	m08p	m08q	m08r	m08s	m08t	m08u	m08v	m08w	m08x	m08y	m08z	m08la	m08ma	m08na	m08oa	m08ob
1	1	101.0	1.0	3.0	10101	102	0						1	1	0	0	0	1				1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0
1	1	101.0	1.0	3.0	10102	101	0						1	1	0	0	0	4				0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
1	1	101.0	1.0	3.0	10103	102	0						1	1	1	0	1	1	4			0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	1	101.0	1.0	3.0	10104	101	0						1	0	0	0	0	1				0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	1	101.0	1.0	3.0	10109	121	0						0																																								
1	1	101.0	1.0	3.0	10112	101	0						0																																								
1	1	101.0	1.0	3.0	10114	101	0						1	0	1	0	0	9	7			0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
1	1	101.0	1.0	3.0	10117	101	0						1	1	0	0	0	1				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	1	101.0	1.0	3.0	10118	101	0						1	1	0	0	0	1				0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
1	1	101.0	1.0	3.0	10120	101	0						1	1	0	0	1	1				0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0
1	2	102.0	1.0	2.0	10207	101	1	1	2008	4	5		1	0	0	0	1	6	1			0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
