district	village	villno	strno	group	hhid	codigo	m09	m10_1	m10_2	m10_3	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
1	1	101.0	1.0	3.0	10101	102	1	5	3		4	0								3
1	1	101.0	1.0	3.0	10102	101	1	3			4	1	2	0						1
1	1	101.0	1.0	3.0	10103	102	4	2	3		2	1	2	0						3
1	1	101.0	1.0	3.0	10104	101	1	3			4	1	2	0						1
1	1	101.0	1.0	3.0	10109	121	0													
1	1	101.0	1.0	3.0	10112	101	2	3			4	0								3
1	1	101.0	1.0	3.0	10114	101	0													
1	1	101.0	1.0	3.0	10117	101	1	3			4	1	3	0						3
1	1	101.0	1.0	3.0	10118	101	2	3			2	1	2	0						3
1	1	101.0	1.0	3.0	10120	101	2	3			2	1	2	0						3
1	2	102.0	1.0	2.0	10207	101	1	2	3		2	1	2	1	0	0	0	1	1	3
1	2	102.0	1.0	2.0	10208	102	1	2			4	1	3	1	0	0	0	1	1	3
1	2	102.0	1.0	2.0	10209	102	0													
1	2	102.0	1.0	2.0	10211	101	0													
1	2	102.0	1.0	2.0	10214	101	1	2	3		1	1	2	0						1
1	2	102.0	1.0	2.0	10215	101	1	2	3		1	1	1	0						3
1	2	102.0	1.0	2.0	10217	101	0													
1	2	102.0	1.0	2.0	10220	101	0													
1	3	103.0	1.0	2.0	10303	101	1	2	3		3	1	3	1	0	0	1	0	1	3
1	3	103.0	1.0	2.0	10306	101	1	3			4	1	3	0						1
1	3	103.0	1.0	2.0	10307	101	1	2	3		2	1	3	1	0	1	0	1	0	3
1	3	103.0	1.0	2.0	10308	101	0													
1	3	103.0	1.0	2.0	10309	101	1	2	3		4	1	2	1	0	0	1	0	1	3
1	3	103.0	1.0	2.0	10311	101	1	3			1	0								3
1	3	103.0	1.0	2.0	10312	101	0													
1	3	103.0	1.0	2.0	10313	101	1	2	3		1	1	2	1	0	0	0	0	1	3
1	3	103.0	1.0	2.0	10315	121	0													
1	3	103.0	1.0	2.0	10317	101	0													
1	3	103.0	1.0	2.0	10318	101	0													
1	4	104.0	1.0	3.0	10404	101	1	2	3		4	1	3	1	0	0	0	0	1	3
1	4	104.0	1.0	3.0	10405	101	1	2	3		4	1	9	0						3
1	4	104.0	1.0	3.0	10408	101	0													
1	4	104.0	1.0	3.0	10412	101	0													
1	4	104.0	1.0	3.0	10414	101	0													
1	4	104.0	1.0	3.0	10419	101	0													
1	4	104.0	1.0	3.0	10420	101	0													
1	5	105.0	1.0	3.0	10501	101	1	3	6		4	1	4	0						1
1	5	105.0	1.0	3.0	10502	101	4	3			2	1	2	0						3
1	5	105.0	1.0	3.0	10503	101	1	3	6		4	1	3	0						3
1	5	105.0	1.0	3.0	10504	101	1	1	3		4	1	1	1	0	0	0	1	0	1
1	5	105.0	1.0	3.0	10507	101	1	3			2	0								3
1	5	105.0	1.0	3.0	10508	101	1	3			4	1	4	0						1
1	5	105.0	1.0	3.0	10510	121	1	1	2		4	1	2	0						3
1	5	105.0	1.0	3.0	10511	101	1	3			4	0								3
1	5	105.0	1.0	3.0	10512	101	0													
1	5	105.0	1.0	3.0	10513	101	0													
1	5	105.0	1.0	3.0	10515	101	4	3			2	1	3	0						3
1	5	105.0	1.0	3.0	10516	101	0													
1	5	105.0	1.0	3.0	10518	101	1	2	3		2	0								3
1	5	105.0	1.0	3.0	10520	101	1	3			4	1	2	1	1	0	0	0	0	1
1	6	106.0	1.0	3.0	10601	101	0													
1	6	106.0	1.0	3.0	10604	101	1	3			4	1	2	0						1
1	6	106.0	1.0	3.0	10606	101	0													
1	6	106.0	1.0	3.0	10607	101	0													
1	6	106.0	1.0	3.0	10613	101	0													
1	6	106.0	1.0	3.0	10614	101	0													
1	6	106.0	1.0	3.0	10617	111	0													
1	7	107.0	1.0	3.0	10701	101	2	6			1	1	3	1	1	0	1	1	1	1
1	7	107.0	1.0	3.0	10702	111	0													
1	7	107.0	1.0	3.0	10706	101	1	6			4	1	2	1	1	1	1	1	1	1
1	7	107.0	1.0	3.0	10707	101	1	3			4	1	9	0						1
1	7	107.0	1.0	3.0	10708	101	0													
1	7	107.0	1.0	3.0	10710	101	1	3	6		1	1	2	0						1
1	7	107.0	1.0	3.0	10711	101	4	1	3		1	1	1	0						3
1	7	107.0	1.0	3.0	10714	101	1	3			4	0								3
1	7	107.0	1.0	3.0	10715	101	1	3			2	1	9	0						1
1	7	107.0	1.0	3.0	10716	101	1	3			4	1	2	0						1
1	7	107.0	1.0	3.0	10717	101	1	1	3		3	1	1	1	0	1	0	1	1	3
1	7	107.0	1.0	3.0	10718	101	1	1			4	0								3
1	8	108.0	1.0	2.0	10802	101	2	2	3		2	0								3
1	8	108.0	1.0	2.0	10804	101	1	2	3	4	4	1	2	1	0	0	0	0	1	3
1	8	108.0	1.0	2.0	10806	122	2	2	3		2	0								3
1	8	108.0	1.0	2.0	10810	101	1	1	2		1	1	3	1	0	1	0	1	1	1
1	8	108.0	1.0	2.0	10812	101	0													
1	9	109.0	1.0	1.0	10902	101	0													
1	9	109.0	1.0	1.0	10904	121	0													
1	9	109.0	1.0	1.0	10905	101	0													
1	9	109.0	1.0	1.0	10908	101	1	1			2	0								3
1	9	109.0	1.0	1.0	10909	101	0													
1	9	109.0	1.0	1.0	10912	101	0													
1	9	109.0	1.0	1.0	10913	101	0													
1	9	109.0	1.0	1.0	10914	101	1	5	3		2	1	2	0						3
1	10	110.0	1.0	1.0	11001	101	3	1	3	2	1	1	2	1	0	0	0	1	1	3
1	10	110.0	1.0	1.0	11003	101	4	6			4	0								3
1	10	110.0	1.0	1.0	11004	101	0													
1	10	110.0	1.0	1.0	11005	101	1	3	2		1	1	2	0						3
1	10	110.0	1.0	1.0	11006	101	0													
1	10	110.0	1.0	1.0	11007	101	0													
1	10	110.0	1.0	1.0	11014	101	0													
1	10	110.0	1.0	1.0	11018	101	1	1	4		4	1	3	1	1	0	1	0	1	1
1	10	110.0	1.0	1.0	11019	101	0													
1	11	111.0	1.0	1.0	11102	101	1	5	3		1	1	2	1	0	0	0	1	0	2
1	11	111.0	1.0	1.0	11103	101	1	6	3		3	1	2	0						4
1	11	111.0	1.0	1.0	11104	101	1	4	3		4	1	3	0						3
1	11	111.0	1.0	1.0	11105	101	0													
1	11	111.0	1.0	1.0	11110	101	1	3			2	1	9	0						1
1	11	111.0	1.0	1.0	11113	101	1	2	5		1	1	2	0						1
1	11	111.0	1.0	1.0	11116	101	1	2	3		2	1	3	0						3
1	11	111.0	1.0	1.0	11118	101	1	2	3		4	1	3	1	0	0	0	1	0	3
1	12	112.0	1.0	2.0	11201	102	2	3			2	1	3	0						1
1	12	112.0	1.0	2.0	11205	101	4	1	3		1	0								3
1	12	112.0	1.0	2.0	11206	121	0													
1	12	112.0	1.0	2.0	11210	101	0													
1	12	112.0	1.0	2.0	11211	101	0													
1	12	112.0	1.0	2.0	11212	101	3	3			2	1	2	0						3
1	12	112.0	1.0	2.0	11214	101	2	3	6		1	0								3
1	12	112.0	1.0	2.0	11216	101	1	2	3		2	1	2	0						3
1	12	112.0	1.0	2.0	11219	101	0													
1	13	113.0	1.0	3.0	11302	101	1	3			4	0								3
1	13	113.0	1.0	3.0	11305	101	1	3			4	1	2	0						1
1	13	113.0	1.0	3.0	11306	101	0													
1	13	113.0	1.0	3.0	11309	101	0													
1	13	113.0	1.0	3.0	11310	101	1	3			4	1	2	0						1
1	13	113.0	1.0	3.0	11313	101	0													
1	13	113.0	1.0	3.0	11316	101	0													
1	13	113.0	1.0	3.0	11318	101	2	3			2	1	2	0						3
1	14	114.0	1.0	2.0	11401	121	1	3			1	0								3
1	14	114.0	1.0	2.0	11402	101	1	6			4	1	2	0						3
1	14	114.0	1.0	2.0	11403	101	1	1	3		2	1	1	1	0	1	1	0	1	3
1	14	114.0	1.0	2.0	11404	101	0													
1	14	114.0	1.0	2.0	11408	101	0													
1	14	114.0	1.0	2.0	11409	101	4	3			2	0								3
1	14	114.0	1.0	2.0	11410	101	2	3			2	1	3	0						3
1	14	114.0	1.0	2.0	11411	101	1	1	3		2	1	1	0						3
1	14	114.0	1.0	2.0	11412	101	1	1	2		2	1	4	0						3
1	14	114.0	1.0	2.0	11414	101	0													
1	14	114.0	1.0	2.0	11416	101	1	3			4	0								3
1	14	114.0	1.0	2.0	11417	101	3	1	3		4	0								3
1	15	115.0	1.0	1.0	11503	101	1	1	3		1	1	3	1	0	0	0	1	1	3
1	15	115.0	1.0	1.0	11505	101	1	3			4	0								3
1	15	115.0	1.0	1.0	11508	101	3	3			2	1	1	1	1	0	0	0	1	3
1	15	115.0	1.0	1.0	11510	101	2	3			2	1	3	0						3
1	15	115.0	1.0	1.0	11511	101	1	3			4	1	3	0						3
1	15	115.0	1.0	1.0	11512	101	1	3			1	1	3	0						3
1	15	115.0	1.0	1.0	11514	101	0													
1	15	115.0	1.0	1.0	11515	101	1	6			4	0								3
1	16	116.0	1.0	1.0	11601	101	1	3			4	1	2	0						1
1	16	116.0	1.0	1.0	11604	101	1	1	3		1	1	1	0						3
1	16	116.0	1.0	1.0	11607	101	1	3			4	1	2	1	0	0	0	1	1	1
1	16	116.0	1.0	1.0	11608	101	0													
1	16	116.0	1.0	1.0	11609	101	0													
1	16	116.0	1.0	1.0	11610	101	0													
1	16	116.0	1.0	1.0	11612	101	0													
1	16	116.0	1.0	1.0	11620	101	0													
1	17	117.0	1.0	2.0	11701	101	1	2	3		1	1	2	1	0	0	0	1	0	3
1	17	117.0	1.0	2.0	11702	101	1	2	6		4	1	3	0						3
1	17	117.0	1.0	2.0	11703	101	1	3	5		2	1	3	1	0	1	0	0	0	3
1	17	117.0	1.0	2.0	11704	101	1	3	2		4	1	9	1	0	0	0	1	1	3
1	17	117.0	1.0	2.0	11705	101	1	2	6		2	1	4	1	0	0	0	0	1	3
1	17	117.0	1.0	2.0	11706	101	1	3			2	1	3	1	1	0	1	0	0	1
1	17	117.0	1.0	2.0	11707	101	4	7			4	1	3	1	0	0	0	1	0	1
1	17	117.0	1.0	2.0	11708	101	1	1	2		2	1	3	1	0	0	0	1	1	1
1	17	117.0	1.0	2.0	11709	101	1	2	3		4	0								3
1	17	117.0	1.0	2.0	11710	101	0													
1	17	117.0	1.0	2.0	11711	101	2	2			2	1	2	1	0	0	0	1	0	3
1	17	117.0	1.0	2.0	11712	101	0													
1	17	117.0	1.0	2.0	11713	101	0													
1	17	117.0	1.0	2.0	11714	101	1	2	3		4	1	3	1	0	0	0	1	0	3
1	17	117.0	1.0	2.0	11715	101	1	2	3		4	1	1	1	0	0	0	1	1	3
1	17	117.0	1.0	2.0	11716	101	1	2	3		1	1	2	1	0	0	0	0	1	3
1	17	117.0	1.0	2.0	11717	101	0													
1	17	117.0	1.0	2.0	11718	101	1	3	2		1	1	2	0						3
1	18	118.0	1.0	1.0	11801	121	1	4			4	1	3	0						3
1	18	118.0	1.0	1.0	11806	101	1	3			4	1	3	0						3
1	18	118.0	1.0	1.0	11807	121	1	3			4	1	3	0						3
1	18	118.0	1.0	1.0	11813	101	0													
1	18	118.0	1.0	1.0	11816	101	0													
2	1	201.0	2.0	3.0	20102	101	1	5			2	1	3	0						1
2	1	201.0	2.0	3.0	20103	101	0													
2	1	201.0	2.0	3.0	20104	101	0													
2	1	201.0	2.0	3.0	20105	101	0													
2	1	201.0	2.0	3.0	20106	101	0													
2	1	201.0	2.0	3.0	20107	101	1	5			4	1	2	1	0	0	0	0	0	1
2	1	201.0	2.0	3.0	20109	101	1	5			3	0								3
2	1	201.0	2.0	3.0	20110	101	0													
2	1	201.0	2.0	3.0	20111	101	1	2	3		4	0								3
2	1	201.0	2.0	3.0	20112	101	1	3			2	0								3
2	1	201.0	2.0	3.0	20113	101	3	3			3	0								3
2	1	201.0	2.0	3.0	20114	101	3	1			3	0								3
2	1	201.0	2.0	3.0	20115	101	3	1			4	1	1	1	0	0	0	1	0	1
2	1	201.0	2.0	3.0	20116	101	1	1			2	1	2	0						1
2	1	201.0	2.0	3.0	20118	101	0													
2	1	201.0	2.0	3.0	20119	101	0													
2	1	201.0	2.0	3.0	20120	101	1	5			4	1	3	1	0	0	0	0	0	3
2	2	202.0	2.0	3.0	20201	101	0													
2	2	202.0	2.0	3.0	20202	101	0													
2	2	202.0	2.0	3.0	20203	101	3	1			2	1	9	0						1
2	2	202.0	2.0	3.0	20204	101	0													
2	2	202.0	2.0	3.0	20205	122	1	7			4	1	2	1	0	0	0	0	0	3
2	2	202.0	2.0	3.0	20206	101	1	1			4	0								1
2	2	202.0	2.0	3.0	20208	101	1	1			2	0								3
2	2	202.0	2.0	3.0	20210	101	1	5			1	1	3	1	0	0	0	0	0	1
2	2	202.0	2.0	3.0	20211	111	1	1	3		4	1	2	0						1
2	2	202.0	2.0	3.0	20213	121	0													
2	2	202.0	2.0	3.0	20215	101	1	1			4	1	3	1	0	0	0	0	0	1
2	2	202.0	2.0	3.0	20216	101	1	1	3		4	1	2	1	0	0	0	0	0	1
2	2	202.0	2.0	3.0	20217	101	1	7			4	1	2	1	0	0	0	0	1	1
2	2	202.0	2.0	3.0	20218	101	1	1			4	0								3
2	2	202.0	2.0	3.0	20220	101	1	5			4	1	1	0						1
2	3	203.0	2.0	2.0	20301	101	2	5			4	1	2	1	0	0	0	0	1	1
2	3	203.0	2.0	2.0	20302	101	1	1			2	1	3	1	1	0	0	0	1	1
2	3	203.0	2.0	2.0	20303	101	0													
2	3	203.0	2.0	2.0	20304	101	3	2			4	1	9	1	1	1	0	1	0	1
2	3	203.0	2.0	2.0	20305	101	1	5			4	1	3	0						3
2	3	203.0	2.0	2.0	20306	101	0													
2	3	203.0	2.0	2.0	20308	101	0													
2	3	203.0	2.0	2.0	20309	101	1	1			4	1	9	1	0	0	0	0	0	1
2	3	203.0	2.0	2.0	20310	101	1	2			4	1	3	1	0	0	0	0	0	1
2	3	203.0	2.0	2.0	20311	101	1	5			2	1	2	0						3
2	3	203.0	2.0	2.0	20312	101	0													
2	3	203.0	2.0	2.0	20313	101	1	5			4	1	3	0						3
2	3	203.0	2.0	2.0	20314	101	1	1			4	1	2	1	0	0	0	0	0	1
2	3	203.0	2.0	2.0	20315	101	0													
2	3	203.0	2.0	2.0	20316	101	2	5			4	1	2	1	1	0	0	1	1	1
2	3	203.0	2.0	2.0	20317	101	1	5			4	1	2	1	0	0	0	0	1	3
2	3	203.0	2.0	2.0	20318	101	2	1			3	1	3	0						1
2	3	203.0	2.0	2.0	20319	101	2	2			3	1	9	1	1	1	0	0	1	1
2	4	204.0	2.0	2.0	20401	101	1	5			1	1	2	1	0	0	0	1	1	1
2	4	204.0	2.0	2.0	20402	101	0													
2	4	204.0	2.0	2.0	20403	101	1	1			2	1	9	1	0	0	0	0	1	1
2	4	204.0	2.0	2.0	20404	101	0													
2	4	204.0	2.0	2.0	20405	101	0													
2	4	204.0	2.0	2.0	20409	101	0													
2	4	204.0	2.0	2.0	20410	101	1	1			4	1	2	1	1	1	0	0	0	1
2	4	204.0	2.0	2.0	20412	101	1	1	3	4	3	0								3
2	4	204.0	2.0	2.0	20415	101	1	1	3		3	1	2	1	0	0	0	0	0	1
2	4	204.0	2.0	2.0	20416	101	1	5			4	1	2	1	0	0	0	1	1	1
2	4	204.0	2.0	2.0	20418	101	3	1			4	1	3	1	0	0	0	0	0	3
2	4	204.0	2.0	2.0	20419	101	0													
2	5	205.0	2.0	1.0	20501	101	3	5			4	1	2	1	0	0	0	0	1	1
2	5	205.0	2.0	1.0	20502	101	3	2			2	1	9	1	0	0	0	0	1	1
2	5	205.0	2.0	1.0	20503	101	1	5			1	1	3	1	0	0	0	0	1	1
2	5	205.0	2.0	1.0	20504	101	1	2			4	1	9	1	0	0	0	0	0	3
2	5	205.0	2.0	1.0	20505	101	1	5			4	1	3	1	0	0	0	0	1	3
2	5	205.0	2.0	1.0	20507	101	1	5			4	1	2	1	0	0	0	1	1	1
2	5	205.0	2.0	1.0	20510	101	1	2			4	1	3	1	1	0	0	1	1	3
2	5	205.0	2.0	1.0	20511	101	1	5			4	1	2	1	0	0	0	0	1	3
2	5	205.0	2.0	1.0	20515	101	0													
2	5	205.0	2.0	1.0	20516	101	1	5			2	1	3	1	0	0	0	1	0	1
2	5	205.0	2.0	1.0	20517	101	1	5			4	1	2	1	0	0	0	1	1	1
2	5	205.0	2.0	1.0	20519	101	0													
2	6	206.0	2.0	1.0	20601	101	1	5			2	1	2	1	0	0	0	0	0	3
2	6	206.0	2.0	1.0	20603	112	0													
2	6	206.0	2.0	1.0	20604	101	1	2			4	1	2	1	0	0	0	1	1	1
2	6	206.0	2.0	1.0	20607	101	0													
2	6	206.0	2.0	1.0	20610	101	1	2			4	1	2	1	0	0	0	1	1	1
2	6	206.0	2.0	1.0	20612	101	1	5			4	1	4	1	1	1	0	0	1	3
2	6	206.0	2.0	1.0	20617	101	1	5			4	1	2	1	0	0	0	1	1	1
2	6	206.0	2.0	1.0	20619	101	3	2			4	1	9	1	0	0	0	1	1	1
