district	village	villno	strno	group	hhid	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38
1	1	101.0	1.0	3.0	10101	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	4.0	5.0	1	3	4	1	3	0
1	1	101.0	1.0	3.0	10102	1	2	1	0	0	0	1	3	0	0	0	1	0	0	0	3	0	0	0	0	0	4	1	1	0	0	1	0	0	0	3.5	5.0	1	3	1	1	1	0
1	1	101.0	1.0	3.0	10103	1	1	0	0	0	0	0	3	1	0	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	4.0	5.0	1	3	4	1	2	0
1	1	101.0	1.0	3.0	10104	1	2	0	0	1	0	0	3	0	0	0	2	0	0	0	2	0	1	0	1	0	2	1	1	0	0	0	0	0	0	4.0	5.0	1	3	4	1	1	1
1	1	101.0	1.0	3.0	10105	1	3	0	0	0	0	0	3	0	0	0	1	0	0	0	2	1	1	0	1	0	2	1	1	0	0	1	1	0	0	7.0	6.0	1	4	4	2	3	1
1	1	101.0	1.0	3.0	10106	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	4.0	5.0	1	3	4	1	2	1
1	1	101.0	1.0	3.0	10107	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	4.0	5.0	1	2	1	1	1	0
1	1	101.0	1.0	3.0	10109	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	5	0	1	0	0	0	4	1	1	0	0	0	0	0	0	7.0	5.0	1	3	2	1	2	0
1	1	101.0	1.0	3.0	10110	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	2	0	1	0	4	1	1	0	0	1	0	0	0	4.0	5.0	1	3	4	1	2	0
1	1	101.0	1.0	3.0	10111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	5.0	5.0	1	1	1	1	1	0
