district	village	villno	strno	group	hhid	o01
1	1	101.0	1.0	3.0	10101	1
1	1	101.0	1.0	3.0	10102	1
1	1	101.0	1.0	3.0	10103	1
1	1	101.0	1.0	3.0	10104	1
1	1	101.0	1.0	3.0	10105	1
1	1	101.0	1.0	3.0	10106	1
1	1	101.0	1.0	3.0	10107	1
1	1	101.0	1.0	3.0	10109	1
1	1	101.0	1.0	3.0	10110	1
1	1	101.0	1.0	3.0	10111	1
1	1	101.0	1.0	3.0	10112	1
1	1	101.0	1.0	3.0	10113	1
1	1	101.0	1.0	3.0	10114	1
1	1	101.0	1.0	3.0	10115	1
1	1	101.0	1.0	3.0	10116	1
1	1	101.0	1.0	3.0	10117	1
1	1	101.0	1.0	3.0	10118	1
1	1	101.0	1.0	3.0	10119	1
1	1	101.0	1.0	3.0	10120	1
1	2	102.0	1.0	2.0	10202	1
1	2	102.0	1.0	2.0	10203	1
1	2	102.0	1.0	2.0	10205	1
1	2	102.0	1.0	2.0	10207	1
1	2	102.0	1.0	2.0	10208	1
1	2	102.0	1.0	2.0	10209	1
1	2	102.0	1.0	2.0	10211	1
1	2	102.0	1.0	2.0	10212	0
1	2	102.0	1.0	2.0	10214	1
1	2	102.0	1.0	2.0	10215	1
1	2	102.0	1.0	2.0	10217	1
1	2	102.0	1.0	2.0	10218	1
1	2	102.0	1.0	2.0	10219	1
1	2	102.0	1.0	2.0	10220	1
1	3	103.0	1.0	2.0	10302	0
1	3	103.0	1.0	2.0	10303	1
1	3	103.0	1.0	2.0	10304	1
1	3	103.0	1.0	2.0	10306	0
1	3	103.0	1.0	2.0	10307	1
1	3	103.0	1.0	2.0	10308	1
1	3	103.0	1.0	2.0	10309	1
1	3	103.0	1.0	2.0	10311	1
1	3	103.0	1.0	2.0	10312	1
1	3	103.0	1.0	2.0	10313	1
1	3	103.0	1.0	2.0	10314	1
1	3	103.0	1.0	2.0	10315	0
1	3	103.0	1.0	2.0	10316	1
1	3	103.0	1.0	2.0	10317	1
1	3	103.0	1.0	2.0	10318	1
1	3	103.0	1.0	2.0	10319	0
1	3	103.0	1.0	2.0	10320	1
1	4	104.0	1.0	3.0	10401	1
1	4	104.0	1.0	3.0	10402	1
1	4	104.0	1.0	3.0	10403	1
1	4	104.0	1.0	3.0	10404	0
1	4	104.0	1.0	3.0	10405	1
1	4	104.0	1.0	3.0	10407	1
1	4	104.0	1.0	3.0	10408	1
