hhid	line	district	village	villno	strno	group	o02	o03	o04	o05
10101	1	1	1	101.0	1.0	3.0	101	0		0
10101	2	1	1	101.0	1.0	3.0	102	0		0
10101	3	1	1	101.0	1.0	3.0	103	0		0
10101	4	1	1	101.0	1.0	3.0	104	1	3	1
10101	5	1	1	101.0	1.0	3.0	105	1	10	0
10101	6	1	1	101.0	1.0	3.0	106	0		0
10101	7	1	1	101.0	1.0	3.0	107	0		0
10101	8	1	1	101.0	1.0	3.0	108	0		0
10101	9	1	1	101.0	1.0	3.0	109	0		0
10101	10	1	1	101.0	1.0	3.0	110	0		0
10101	11	1	1	101.0	1.0	3.0	111	0		0
10102	1	1	1	101.0	1.0	3.0	101	0		0
10102	2	1	1	101.0	1.0	3.0	102	1	1	1
10102	3	1	1	101.0	1.0	3.0	103	0		0
10102	4	1	1	101.0	1.0	3.0	104	0		0
10102	5	1	1	101.0	1.0	3.0	105	1	5	1
10102	6	1	1	101.0	1.0	3.0	106	0		0
10102	7	1	1	101.0	1.0	3.0	107	0		0
10102	8	1	1	101.0	1.0	3.0	108	0		0
10102	9	1	1	101.0	1.0	3.0	109	0		0
10102	10	1	1	101.0	1.0	3.0	110	1	6	0
10102	11	1	1	101.0	1.0	3.0	111	0		0
10103	1	1	1	101.0	1.0	3.0	101	0		0
10103	2	1	1	101.0	1.0	3.0	102	0		0
10103	3	1	1	101.0	1.0	3.0	103	0		0
10103	4	1	1	101.0	1.0	3.0	104	0		0
10103	5	1	1	101.0	1.0	3.0	105	1	17	0
10103	6	1	1	101.0	1.0	3.0	106	0		0
10103	7	1	1	101.0	1.0	3.0	107	0		0
10103	8	1	1	101.0	1.0	3.0	108	0		0
10103	9	1	1	101.0	1.0	3.0	109	0		0
10103	10	1	1	101.0	1.0	3.0	110	0		0
10103	11	1	1	101.0	1.0	3.0	111	0		0
10104	1	1	1	101.0	1.0	3.0	101	0		0
10104	2	1	1	101.0	1.0	3.0	102	0		0
10104	3	1	1	101.0	1.0	3.0	103	0		0
10104	4	1	1	101.0	1.0	3.0	104	1	1	0
10104	5	1	1	101.0	1.0	3.0	105	1	3	1
10104	6	1	1	101.0	1.0	3.0	106	0		0
10104	7	1	1	101.0	1.0	3.0	107	0		0
10104	8	1	1	101.0	1.0	3.0	108	0		0
10104	9	1	1	101.0	1.0	3.0	109	0		0
10104	10	1	1	101.0	1.0	3.0	110	0		0
10104	11	1	1	101.0	1.0	3.0	111	0		0
10105	1	1	1	101.0	1.0	3.0	101	0		0
10105	2	1	1	101.0	1.0	3.0	102	1	3	0
10105	3	1	1	101.0	1.0	3.0	103	0		0
10105	4	1	1	101.0	1.0	3.0	104	0		0
10105	5	1	1	101.0	1.0	3.0	105	1	1	1
10105	6	1	1	101.0	1.0	3.0	106	0		0
10105	7	1	1	101.0	1.0	3.0	107	0		0
10105	8	1	1	101.0	1.0	3.0	108	0		0
10105	9	1	1	101.0	1.0	3.0	109	0		0
10105	10	1	1	101.0	1.0	3.0	110	0		0
10105	11	1	1	101.0	1.0	3.0	111	0		0
10106	1	1	1	101.0	1.0	3.0	101	0		0
10106	2	1	1	101.0	1.0	3.0	102	0		0
10106	3	1	1	101.0	1.0	3.0	103	0		0
10106	4	1	1	101.0	1.0	3.0	104	0		0
10106	5	1	1	101.0	1.0	3.0	105	1	15	1
10106	6	1	1	101.0	1.0	3.0	106	1	7	0
10106	7	1	1	101.0	1.0	3.0	107	0		0
10106	8	1	1	101.0	1.0	3.0	108	0		0
10106	9	1	1	101.0	1.0	3.0	109	0		0
10106	10	1	1	101.0	1.0	3.0	110	0		0
10106	11	1	1	101.0	1.0	3.0	111	0		0
10107	1	1	1	101.0	1.0	3.0	101	0		0
10107	2	1	1	101.0	1.0	3.0	102	0		0
10107	3	1	1	101.0	1.0	3.0	103	0		0
10107	4	1	1	101.0	1.0	3.0	104	0		0
10107	5	1	1	101.0	1.0	3.0	105	1	10	0
10107	6	1	1	101.0	1.0	3.0	106	0		0
10107	7	1	1	101.0	1.0	3.0	107	0		0
10107	8	1	1	101.0	1.0	3.0	108	0		0
10107	9	1	1	101.0	1.0	3.0	109	0		0
10107	10	1	1	101.0	1.0	3.0	110	0		0
10107	11	1	1	101.0	1.0	3.0	111	0		0
10109	1	1	1	101.0	1.0	3.0	101	0		0
10109	2	1	1	101.0	1.0	3.0	102	0		0
10109	3	1	1	101.0	1.0	3.0	103	0		0
10109	4	1	1	101.0	1.0	3.0	104	0		0
10109	5	1	1	101.0	1.0	3.0	105	1	4	0
10109	6	1	1	101.0	1.0	3.0	106	0		0
10109	7	1	1	101.0	1.0	3.0	107	0		0
10109	8	1	1	101.0	1.0	3.0	108	0		0
10109	9	1	1	101.0	1.0	3.0	109	0		0
10109	10	1	1	101.0	1.0	3.0	110	0		0
10109	11	1	1	101.0	1.0	3.0	111	0		0
10110	1	1	1	101.0	1.0	3.0	101	0		0
10110	2	1	1	101.0	1.0	3.0	102	1	2	0
10110	3	1	1	101.0	1.0	3.0	103	0		0
10110	4	1	1	101.0	1.0	3.0	104	0		0
10110	5	1	1	101.0	1.0	3.0	105	1	6	0
10110	6	1	1	101.0	1.0	3.0	106	0		0
10110	7	1	1	101.0	1.0	3.0	107	0		0
10110	8	1	1	101.0	1.0	3.0	108	0		0
10110	9	1	1	101.0	1.0	3.0	109	0		0
10110	10	1	1	101.0	1.0	3.0	110	0		0
10110	11	1	1	101.0	1.0	3.0	111	0		0
10111	1	1	1	101.0	1.0	3.0	101	0		0
10111	2	1	1	101.0	1.0	3.0	102	0		0
10111	3	1	1	101.0	1.0	3.0	103	0		0
10111	4	1	1	101.0	1.0	3.0	104	0		0
10111	5	1	1	101.0	1.0	3.0	105	1	2	0
10111	6	1	1	101.0	1.0	3.0	106	0		0
10111	7	1	1	101.0	1.0	3.0	107	0		0
10111	8	1	1	101.0	1.0	3.0	108	0		0
10111	9	1	1	101.0	1.0	3.0	109	0		0
10111	10	1	1	101.0	1.0	3.0	110	0		0
10111	11	1	1	101.0	1.0	3.0	111	0		0
10112	1	1	1	101.0	1.0	3.0	101	0		0
10112	2	1	1	101.0	1.0	3.0	102	1	2	0
10112	3	1	1	101.0	1.0	3.0	103	0		0
10112	4	1	1	101.0	1.0	3.0	104	0		0
10112	5	1	1	101.0	1.0	3.0	105	0		0
10112	6	1	1	101.0	1.0	3.0	106	0		0
10112	7	1	1	101.0	1.0	3.0	107	0		0
