district	village	villno	strno	group	hhid	o14	o15	o16
1	1	101.0	1.0	3.0	10101	5	4	4
1	1	101.0	1.0	3.0	10102	5	5	2
1	1	101.0	1.0	3.0	10103	4	2	3
1	1	101.0	1.0	3.0	10104	5	5	2
1	1	101.0	1.0	3.0	10105	5	5	4
1	1	101.0	1.0	3.0	10106	5	2	4
1	1	101.0	1.0	3.0	10107	4	3	2
1	1	101.0	1.0	3.0	10109	2	5	5
1	1	101.0	1.0	3.0	10110	5	4	3
1	1	101.0	1.0	3.0	10111	4	1	4
1	1	101.0	1.0	3.0	10112	4	5	5
1	1	101.0	1.0	3.0	10113	5	4	5
1	1	101.0	1.0	3.0	10114	5	5	3
1	1	101.0	1.0	3.0	10115	5	1	1
1	1	101.0	1.0	3.0	10116	4	4	2
1	1	101.0	1.0	3.0	10117	5	5	4
1	1	101.0	1.0	3.0	10118	4	3	2
1	1	101.0	1.0	3.0	10119	2	5	4
1	1	101.0	1.0	3.0	10120	4	2	2
1	2	102.0	1.0	2.0	10202	4	2	2
1	2	102.0	1.0	2.0	10203	2	2	1
1	2	102.0	1.0	2.0	10205	3	4	3
1	2	102.0	1.0	2.0	10207	5	5	2
1	2	102.0	1.0	2.0	10208	4	2	5
1	2	102.0	1.0	2.0	10209	4	4	2
1	2	102.0	1.0	2.0	10211	4	2	3
1	2	102.0	1.0	2.0	10212	4	4	2
1	2	102.0	1.0	2.0	10214	2	5	1
1	2	102.0	1.0	2.0	10215	2	3	4
1	2	102.0	1.0	2.0	10217	4	1	4
1	2	102.0	1.0	2.0	10218	2	4	2
1	2	102.0	1.0	2.0	10219	4	4	2
1	2	102.0	1.0	2.0	10220	2	3	3
1	3	103.0	1.0	2.0	10302	5	2	4
1	3	103.0	1.0	2.0	10303	4	1	2
1	3	103.0	1.0	2.0	10304	3	3	2
1	3	103.0	1.0	2.0	10306	5	2	5
1	3	103.0	1.0	2.0	10307	5	3	2
1	3	103.0	1.0	2.0	10308	4	2	1
1	3	103.0	1.0	2.0	10309	5	2	4
1	3	103.0	1.0	2.0	10311	5	3	5
1	3	103.0	1.0	2.0	10312	4	4	2
1	3	103.0	1.0	2.0	10313	4	2	2
1	3	103.0	1.0	2.0	10314	4	5	1
1	3	103.0	1.0	2.0	10315	4	3	3
1	3	103.0	1.0	2.0	10316	4	3	3
1	3	103.0	1.0	2.0	10317	4	4	2
1	3	103.0	1.0	2.0	10318	2	4	3
1	3	103.0	1.0	2.0	10319	3	2	4
1	3	103.0	1.0	2.0	10320	4	3	2
1	4	104.0	1.0	3.0	10401	2	2	4
1	4	104.0	1.0	3.0	10402	4	4	3
1	4	104.0	1.0	3.0	10403	5	2	2
1	4	104.0	1.0	3.0	10404	2	3	4
1	4	104.0	1.0	3.0	10405	5	2	1
