district	village	villno	strno	group	hhid	q08	q09_1	q09_2	q09_3	q10_1	q10_2	q10_3	q11	q12	q13	q14	q15	q16	q17	q18	q19
1	1	101.0	1.0	3.0	10101	0															
1	1	101.0	1.0	3.0	10102	1	3			4			1	2	0						1
1	1	101.0	1.0	3.0	10103	2	3			2			1	2	0						3
1	1	101.0	1.0	3.0	10104	1	3			4			1	2	0						3
1	1	101.0	1.0	3.0	10105	1	3			4			0								3
1	1	101.0	1.0	3.0	10106	1	6			4			1	2	1	0	1	0	0	0	3
1	1	101.0	1.0	3.0	10107	0															
1	1	101.0	1.0	3.0	10109	0															
1	1	101.0	1.0	3.0	10110	3	2	3		1	3		1	1	1	1	0	0	0	1	3
1	1	101.0	1.0	3.0	10111	0															
1	1	101.0	1.0	3.0	10112	1	3			4			1	2	0						1
1	1	101.0	1.0	3.0	10113	0															
1	1	101.0	1.0	3.0	10114	0															
1	1	101.0	1.0	3.0	10115	0															
1	1	101.0	1.0	3.0	10116	0															
1	1	101.0	1.0	3.0	10117	1	3			4			0								3
1	1	101.0	1.0	3.0	10118	3	3			2			1	2	0						3
1	1	101.0	1.0	3.0	10119	0															
1	1	101.0	1.0	3.0	10120	1	3			2			1	3	0						3
1	2	102.0	1.0	2.0	10202	2	2	3		2			1	3	1	0	0	0	1	1	3
1	2	102.0	1.0	2.0	10203	1	3	2		4			1	3	1	0	0	0	0	1	1
1	2	102.0	1.0	2.0	10205	0															
1	2	102.0	1.0	2.0	10207	1	3	2		4			1	2	1	0	1	0	1	1	3
1	2	102.0	1.0	2.0	10208	1	2			3			1	3	1	0	0	0	0	0	3
1	2	102.0	1.0	2.0	10209	0															
1	2	102.0	1.0	2.0	10211	0															
1	2	102.0	1.0	2.0	10212	0															
1	2	102.0	1.0	2.0	10214	0															
1	2	102.0	1.0	2.0	10215	1	3	5		1			1	2	0						3
1	2	102.0	1.0	2.0	10217	0															
1	2	102.0	1.0	2.0	10218	0															
1	2	102.0	1.0	2.0	10219	0															
1	2	102.0	1.0	2.0	10220	0															
1	3	103.0	1.0	2.0	10302	0															
1	3	103.0	1.0	2.0	10303	1	2	3		1	3		1	3	1	0	0	0	0	1	3
1	3	103.0	1.0	2.0	10304	0															
1	3	103.0	1.0	2.0	10306	1	2			2			1	3	0						1
1	3	103.0	1.0	2.0	10307	1	2	3		1	2		1	2	1	0	0	0	1	1	3
1	3	103.0	1.0	2.0	10308	0															
1	3	103.0	1.0	2.0	10309	1	2	3	5	4			1	3	1	0	0	0	1	0	3
1	3	103.0	1.0	2.0	10311	2	3			1	2		1	2	0						3
1	3	103.0	1.0	2.0	10312	0															
1	3	103.0	1.0	2.0	10313	1	2	3		1	2	3	1	2	1	0	0	0	1	0	3
1	3	103.0	1.0	2.0	10314	0															
1	3	103.0	1.0	2.0	10315	1	3			2			0								3
1	3	103.0	1.0	2.0	10316	0															
1	3	103.0	1.0	2.0	10317	0															
1	3	103.0	1.0	2.0	10318	0															
1	3	103.0	1.0	2.0	10319	0															
1	3	103.0	1.0	2.0	10320	0															
1	4	104.0	1.0	3.0	10401	0															
1	4	104.0	1.0	3.0	10402	0															
1	4	104.0	1.0	3.0	10403	0															
1	4	104.0	1.0	3.0	10404	1	2	3		4			0								3
1	4	104.0	1.0	3.0	10405	1	2	3		4			1	2	0						3
1	4	104.0	1.0	3.0	10407	1	5	3		2	3		1	9	0						3
1	4	104.0	1.0	3.0	10408	0															
1	4	104.0	1.0	3.0	10409	0															
1	4	104.0	1.0	3.0	10410	0															
1	4	104.0	1.0	3.0	10411	0															
1	4	104.0	1.0	3.0	10412	0															
1	4	104.0	1.0	3.0	10413	0															
1	4	104.0	1.0	3.0	10414	0															
1	4	104.0	1.0	3.0	10416	0															
1	4	104.0	1.0	3.0	10417	4	2			2			0								3
1	4	104.0	1.0	3.0	10418	1	2	3		4			1	2	0						3
1	4	104.0	1.0	3.0	10419	0															
1	4	104.0	1.0	3.0	10420	0															
1	5	105.0	1.0	3.0	10501	1	3			3			0								1
1	5	105.0	1.0	3.0	10502	0															
1	5	105.0	1.0	3.0	10503	1	6			2			1	3	0						3
1	5	105.0	1.0	3.0	10504	1	6			4			1	2	1	0	0	0	0	0	1
1	5	105.0	1.0	3.0	10505	1	3	4		2			0								2
1	5	105.0	1.0	3.0	10507	1	3			1			0								3
1	5	105.0	1.0	3.0	10508	1	3			4			0								1
1	5	105.0	1.0	3.0	10509	0															
1	5	105.0	1.0	3.0	10510	1	1	2		1	2		0								3
1	5	105.0	1.0	3.0	10511	1	3			2			0								3
1	5	105.0	1.0	3.0	10512	0															
1	5	105.0	1.0	3.0	10513	0															
1	5	105.0	1.0	3.0	10515	0															
1	5	105.0	1.0	3.0	10516	0															
1	5	105.0	1.0	3.0	10518	1	2	3		2	3		1	3	1	0	0	0	1	0	3
1	5	105.0	1.0	3.0	10519	0															
1	5	105.0	1.0	3.0	10520	0															
1	6	106.0	1.0	3.0	10601	0															
1	6	106.0	1.0	3.0	10602	3	2	3		1	2		0								3
1	6	106.0	1.0	3.0	10603	0															
1	6	106.0	1.0	3.0	10604	1	3			4			1	2	0						1
1	6	106.0	1.0	3.0	10605	0															
1	6	106.0	1.0	3.0	10606	0															
1	6	106.0	1.0	3.0	10607	0															
1	6	106.0	1.0	3.0	10608	0															
1	6	106.0	1.0	3.0	10609	0															
1	6	106.0	1.0	3.0	10610	0															
1	6	106.0	1.0	3.0	10611	0															
1	6	106.0	1.0	3.0	10612	0															
1	6	106.0	1.0	3.0	10613	0															
1	6	106.0	1.0	3.0	10614	0															
1	6	106.0	1.0	3.0	10615	1	3			4			1	2	0						1
1	6	106.0	1.0	3.0	10617	0															
1	6	106.0	1.0	3.0	10618	0															
1	6	106.0	1.0	3.0	10620	0															
1	7	107.0	1.0	3.0	10701	2	6			4			0								1
1	7	107.0	1.0	3.0	10702	4	6			1	2		0								1
