ID	wealth_quintile
"201011001"	1
"201011002"	1
"201011003"	1
"201011004"	1
"201011005"	1
"201011006"	1
"201011007"	3
"201011008"	1
"201020901"	1
"201020902"	1
"201020903"	1
"201020904"	2
"201020905"	1
"201020906"	5
"201020907"	4
"201020908"	2
"201030801"	2
"201030901"	1
"201030902"	1
"201030903"	4
"201031001"	1
"201040801"	4
"201040802"	2
"201041001"	1
"201041002"	1
"201041003"	2
"201041004"	1
"201050901"	3
"201050902"	1
"201050903"	2
"201050904"	2
"201050905"	3
"201050906"	2
"201050907"	1
"201050908"	2
"201051001"	1
"201051002"	1
"201051004"	1
"201060901"	1
"201060902"	1
"201060903"	4
"201060904"	3
"201060905"	2
"201060906"	1
"201060907"	3
"201060908"	4
"201061001"	4
"201061003"	1
"201061004"	
"201070901"	2
"201070902"	1
"201070903"	2
"201070904"	2
"201071001"	1
"201071002"	4
"201080801"	3
"201080802"	1
"201080901"	1
"201080902"	2
"201080903"	1
"201080904"	1
"201080905"	4
"201090801"	4
"201090802"	3
"201090803"	1
"201090804"	1
"201090805"	5
"201090806"	3
"201090807"	3
"201090808"	1
"201090901"	1
"201090902"	2
"201090903"	4
"201090904"	1
"201100801"	3
"201100802"	3
"201100901"	2
"201100902"	4
"201100903"	4
"201100904"	1
"201100905"	1
"201100906"	2
"201110801"	2
"201110802"	3
"201110803"	1
"201120801"	
"201120802"	3
"201120803"	1
"201120901"	1
"201120902"	3
"201120903"	2
"201120904"	2
"201120905"	2
"201120906"	1
"201120907"	5
"201130901"	2
"201130902"	3
"201130903"	3
"201130904"	3
"201130905"	3
"201130906"	2
"201130907"	4
"201130908"	2
"201130909"	1
"201130910"	2
"201130911"	1
"201130912"	2
"201130913"	1
"201140901"	4
"201140902"	2
"201140903"	3
"201140904"	1
"201140905"	2
"201140906"	5
"201140907"	2
"201140908"	3
"201140909"	4
"201150801"	1
"201150901"	1
"201150902"	4
"201160801"	1
"201160802"	1
"201160901"	1
"201160902"	3
"201170901"	2
"201170902"	1
"201170903"	3
"201170904"	1
"201170905"	3
"201170906"	1
"201190801"	1
"201190802"	1
"201190803"	1
"201190804"	1
"201190805"	4
"201190806"	4
"201190807"	3
"201190901"	1
"201190902"	1
"201190903"	2
"201190904"	1
"201190905"	1
"201190906"	1
"201190907"	1
"201190921"	3
"201200801"	1
"201200802"	2
"201200803"	1
"201200804"	1
"201200807"	
"201200901"	4
"201200902"	4
"201200903"	3
"201200904"	1
"201200905"	5
"201200906"	2
"201200907"	5
"201200908"	2
"201200909"	1
"201200911"	3
"201200912"	4
"201200926"	4
"201210901"	1
"201210902"	5
"201210903"	4
"201210904"	1
"201210905"	3
"201210906"	1
"201220801"	3
"201220802"	2
"201220803"	4
"201220804"	2
"201220805"	2
"201220806"	1
"201220807"	5
"201220808"	3
"201220810"	4
"201220811"	4
"201220901"	4
"201220902"	2
"201220903"	1
"201220904"	2
"201220905"	2
"201220906"	1
"201220907"	1
"201220908"	1
"201220909"	1
"201220910"	5
"201230801"	4
"201230802"	1
"201230803"	3
"201230804"	4
"201230805"	1
"201230901"	2
"201230902"	3
"201230903"	2
"201230904"	4
"201230905"	2
"201230906"	2
"201230907"	1
"201240801"	1
"201240802"	4
"201240803"	1
"201240804"	1
"201240805"	4
"201240806"	5
"201240901"	2
"201240902"	3
"201240903"	1
"201240904"	5
"201240905"	3
"201250801"	1
"201250802"	3
"201250803"	1
"201250804"	1
"201250805"	2
"201250806"	4
"201250807"	2
"201260801"	1
"201260802"	2
"201260803"	1
"201260804"	4
"201260805"	2
"201260901"	2
"201260902"	1
"201260903"	1
"201260904"	5
"201260905"	1
"201260906"	2
"201260907"	1
"201270701"	1
"201270703"	3
"201270704"	1
"201270801"	1
"201270901"	4
"201270902"	1
"201270903"	
"201270904"	4
"201270905"	5
"201270906"	1
"201270907"	4
"201270908"	5
"201270909"	3
"201280701"	3
"201280702"	1
"201280703"	1
"201280901"	1
"201280902"	1
"201280903"	3
"201280904"	1
"201280905"	3
"201280906"	4
"201280907"	1
"201290801"	2
"201290802"	3
"201290803"	1
"201290804"	1
"201290805"	4
"201290806"	1
"201290901"	3
"201290902"	1
"201290903"	2
"201290904"	3
"201290905"	1
"201290906"	3
"201290907"	1
"201290908"	4
"201300901"	1
"201300902"	1
"201300903"	1
"201300904"	1
"201300905"	1
"201300906"	1
"201300907"	1
"202000000"	4
"202010801"	3
"202010802"	5
"202010803"	3
"202011001"	
"202011003"	2
"202011004"	2
"202020901"	2
"202030801"	2
"202030823"	4
"202031001"	4
"202031002"	3
"202031003"	3
"202031004"	4
"202031005"	2
"202040801"	4
"202040802"	4
"202040803"	5
"202040804"	4
"202040805"	3
"202040806"	
"202041001"	2
"202041002"	5
"202041003"	2
"202041004"	2
"202050801"	5
"202051001"	5
"202051002"	3
"202060801"	5
"202060802"	3
"202060901"	5
"202061001"	2
"202070901"	4
"202070902"	5
"202070903"	4
"202070904"	3
"202070905"	4
"202070906"	3
"202070910"	3
"202070912"	5
"202090801"	4
"202090802"	2
"202090901"	4
"202110801"	5
"202110802"	4
"202120901"	2
"202120902"	2
"202120903"	3
"202120905"	2
"202130901"	5
"202130902"	2
"202130903"	4
"202130904"	3
"202130905"	4
"202140901"	2
"202140902"	2
"202140903"	2
"202150801"	4
"202160801"	4
"202170801"	3
"202170802"	3
"202170901"	5
"202170902"	5
"202180801"	3
"202190801"	2
"202220801"	2
"202220802"	2
"202220901"	5
"202220902"	5
"202230801"	5
"202230901"	4
"202230902"	2
"202230903"	5
"202230904"	3
"202230905"	2
"202230906"	3
"202240901"	2
"202240902"	2
"202240903"	3
"202240904"	3
"202240905"	4
"202250801"	5
"202250802"	3
"202250803"	4
"202260901"	2
"202270701"	4
"202270702"	3
"202270703"	5
"202270704"	4
"202270901"	2
"202270902"	2
"202270903"	4
"202270904"	2
"202270905"	2
"202270906"	
"202280701"	4
"202280702"	4
"202280901"	3
"202280902"	3
"202280903"	2
"202280904"	2
"202280905"	4
"202290801"	5
"202300901"	2
"202300902"	4
"202300921"	
"203010801"	2
"203010802"	2
"203010803"	2
"203011001"	2
"203011002"	3
"203011003"	2
"203011004"	2
"203011005"	5
"203011006"	3
"203011007"	3
"203020801"	2
"203020901"	2
"203020902"	5
"203020903"	5
"203020904"	5
"203020905"	4
"203020906"	4
"203020907"	4
"203020908"	3
"203030901"	2
"203030902"	3
"203030903"	3
"203030904"	2
"203030905"	5
"203030906"	5
"203031001"	3
"203031002"	1
"203031003"	2
"203031004"	3
"203031005"	5
"203031006"	3
"203040801"	2
"203040802"	1
"203040803"	2
"203041001"	3
"203041002"	4
"203041003"	3
"203041004"	4
"203041005"	3
"203041006"	5
"203050801"	2
"203050901"	4
"203050902"	5
"203050903"	5
"203050904"	2
"203050905"	5
"203050906"	5
"203051001"	4
"203051002"	3
"203051003"	4
"203051004"	3
"203060901"	4
"203060902"	5
"203060903"	2
"203060904"	5
"203060905"	4
"203060906"	3
"203060907"	3
"203060908"	5
"203060909"	5
"203070901"	5
"203070902"	3
"203070903"	4
"203070904"	3
"203070905"	4
"203080801"	4
"203080802"	2
"203080803"	4
"203080804"	4
"203080805"	4
"203080806"	5
"203080807"	5
"203080808"	4
"203080809"	4
"203080810"	3
"203080901"	5
"203080902"	5
"203080903"	5
"203080904"	5
"203090801"	3
"203090802"	4
"203090803"	5
"203090804"	4
"203090805"	4
"203090806"	3
"203090807"	4
"203090808"	4
"203090809"	3
"203090810"	3
"203090811"	5
"203090901"	4
"203090902"	4
"203090903"	5
"203100803"	4
"203100804"	5
"203100805"	3
"203100806"	5
"203100807"	5
"203100808"	4
"203100809"	3
"203100810"	5
"203100811"	1
"203100812"	5
"203100901"	2
"203100902"	5
"203100903"	5
"203100904"	5
"203100905"	5
"203100906"	5
"203100907"	3
"203100908"	5
"203100909"	4
"203110801"	5
"203110802"	4
"203110803"	3
"203110804"	5
"203110805"	4
"203110806"	4
"203110807"	3
"203110809"	2
"203110810"	4
"203110811"	5
"203120801"	2
"203120802"	4
"203120803"	4
"203120804"	2
"203120805"	3
"203120806"	5
"203130901"	4
"203130902"	4
"203130903"	4
"203130904"	3
"203140901"	5
"203140902"	5
"203140903"	3
"203140904"	2
"203140905"	3
"203140906"	2
"203140907"	5
"203140908"	3
"203140909"	3
"203140910"	4
"203140911"	2
"203150901"	3
"203150902"	2
"203150903"	3
"203150904"	3
"203150905"	4
"203150906"	2
"203150907"	2
"203150908"	3
"203150909"	4
"203150910"	3
"203150911"	2
"203160801"	3
"203160802"	5
"203160803"	3
"203160804"	3
"203160805"	5
"203160806"	2
"203160901"	3
"203160902"	4
"203160903"	3
"203160904"	3
"203160905"	3
"203160906"	4
"203160907"	5
"203160908"	2
"203160909"	2
"203160910"	4
"203160911"	2
"203170801"	5
"203170802"	4
"203170901"	4
"203170902"	3
"203170903"	2
"203170904"	2
"203170905"	4
"203170906"	3
"203170907"	4
"203180801"	5
"203180802"	1
"203180803"	3
"203180805"	2
"203180806"	2
"203180808"	2
"203180809"	3
"203180811"	4
"203190901"	5
"203190902"	5
"203190903"	5
"203190904"	5
"203190905"	5
"203190906"	5
"203190907"	2
"203190908"	3
"203200901"	2
"203200902"	3
"203200903"	4
"203200904"	2
"203200905"	2
"203200906"	4
"203210901"	3
"203210902"	4
"203210903"	2
"203210904"	2
"203210905"	2
"203210906"	3
"203210907"	3
"203210908"	1
"203220801"	4
"203220802"	3
"203220803"	4
"203220804"	2
"203220805"	2
"203220806"	3
"203220901"	3
"203220902"	4
"203220903"	5
"203230801"	4
"203230802"	5
"203230803"	5
"203230901"	5
"203230902"	5
"203240801"	2
"203240802"	2
"203240901"	3
"203240902"	4
"203240903"	4
"203240904"	3
"203250801"	2
"203260901"	4
"203260902"	4
"203260903"	5
"203260904"	4
"203260905"	5
"203260906"	4
"203260907"	4
"203260908"	5
"203270701"	5
"203270801"	3
"203270802"	3
"203270803"	4
"203270804"	3
"203270805"	3
"203270901"	4
"203270902"	2
"203270903"	2
"203270904"	5
"203270905"	3
"203270906"	5
"203270907"	2
