candidate_id,repository,source_record,file_name,download_url,content_type,declared_size,restricted,role,guestbook_id,local_path,download_status,download_error,bytes_downloaded
RCTC-03215,Figshare,10.6084/m9.figshare.c.3619169_D2.v1,13148_2016_281_MOESM1_ESM.xlsx,https://ndownloader.figshare.com/files/7114583,,487429,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,already_downloaded,,487429
RCTC-03207,Figshare,10.6084/m9.figshare.c.3613661_D1.v1,12871_2016_279_MOESM1_ESM.xlsx,https://ndownloader.figshare.com/files/7097042,,39068,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03207/12871_2016_279_MOESM1_ESM.xlsx,already_downloaded,,39068
RCTC-05855,Figshare,10.6084/m9.figshare.c.3597956_D2.v1,40795_2016_111_MOESM1_ESM.xlsx,https://ndownloader.figshare.com/files/7047173,,42279,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-05855/40795_2016_111_MOESM1_ESM.xlsx,already_downloaded,,42279
RCTC-01009,Figshare,10.6084/m9.figshare.c.3734041_D1.v1,12888_2017_1291_MOESM1_ESM.xls,https://ndownloader.figshare.com/files/7985617,,60416,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-01009/12888_2017_1291_MOESM1_ESM.xls,already_downloaded,,60416
RCTC-03182,Figshare,10.6084/m9.figshare.c.3881320_D1.v1,12909_2017_1004_MOESM1_ESM.xlsx,https://ndownloader.figshare.com/files/9335854,,26571,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03182/12909_2017_1004_MOESM1_ESM.xlsx,already_downloaded,,26571
RCTC-05858,Figshare,10.6084/m9.figshare.c.3616040_D2.v1,12931_2016_347_MOESM2_ESM.xlsx,https://ndownloader.figshare.com/files/7104500,,13141,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-05858/12931_2016_347_MOESM2_ESM.xlsx,already_downloaded,,13141
RCTC-05849,Figshare,10.6084/m9.figshare.c.3640964_D1.v1,12909_2016_796_MOESM2_ESM.xlsx,https://ndownloader.figshare.com/files/7186538,,13497,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-05849/12909_2016_796_MOESM2_ESM.xlsx,already_downloaded,,13497
RCTC-03212,Figshare,10.6084/m9.figshare.c.3602990_D1.v1,12906_2016_1337_MOESM2_ESM.xlsx,https://ndownloader.figshare.com/files/7062014,,92587,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03212/12906_2016_1337_MOESM2_ESM.xlsx,already_downloaded,,92587
RCTC-00458,Figshare,10.6084/m9.figshare.c.3603329_D3.v1,12913_2016_1384_MOESM2_ESM.xlsx,https://ndownloader.figshare.com/files/7063160,,43717,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-00458/12913_2016_1384_MOESM2_ESM.xlsx,already_downloaded,,43717
RCTC-05859,Figshare,10.6084/m9.figshare.c.3616040_D3.v1,12931_2016_347_MOESM3_ESM.xlsx,https://ndownloader.figshare.com/files/7104521,,49268,no,data,,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-05859/12931_2016_347_MOESM3_ESM.xlsx,already_downloaded,,49268
