candidate_id,source_kind,local_path,file_name,sheet_or_object,read_status,read_error,n_rows_sampled,n_cols,columns_sample,id_candidates,treatment_candidates,treatment_levels_sample,outcome_candidates,numeric_col_count
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S1 Global methylation 450K,readable,,13,7,Table S1 Global DNA methylation levels at birth across all probes by genomic location ; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6,,,,,0
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S2 VMRs,readable,,1000,8,Table S2 Variable Methylated Regions (VMRs) at birth; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7,,,,Table S2 Variable Methylated Regions (VMRs) at birth,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S3 Newborn DMRs adj cell type,readable,,24,7,Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture ; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6,,Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture ,,Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture ,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S4 Newborn Male DMRs,readable,,129,8,Table S4 DMRs between the DHA-supplemented and control group at birth in males; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7,,Table S4 DMRs between the DHA-supplemented and control group at birth in males,,Table S4 DMRs between the DHA-supplemented and control group at birth in males,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S5 Newborn Female DMRs,readable,,74,8,Table S5 DMRs between the DHA-supplemented and control group at birth in females; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7,,Table S5 DMRs between the DHA-supplemented and control group at birth in females,,Table S5 DMRs between the DHA-supplemented and control group at birth in females,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S6 5 yr DMRs,readable,,12,9,Table S6 DMRs between the DHA-supplemented and control group at age 5 years; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8,,Table S6 DMRs between the DHA-supplemented and control group at age 5 years,Table S6 DMRs between the DHA-supplemented and control group at age 5 years: 1.0 | 2.0 | 3.0 | 4.0 | 5.0 | 6.0 | 7.0 | 8.0,Table S6 DMRs between the DHA-supplemented and control group at age 5 years,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S7 5yr Male DMRs,readable,,47,8,Table S7 DMRs between the DHA-supplemented and control group at age 5 yrs in males; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7,,Table S7 DMRs between the DHA-supplemented and control group at age 5 yrs in males,,Table S7 DMRs between the DHA-supplemented and control group at age 5 yrs in males,1
RCTC-03215,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03215/13148_2016_281_MOESM1_ESM.xlsx,13148_2016_281_MOESM1_ESM.xlsx,S8 5yr Female DMRs,readable,,12,7,Table S8 DMRs between the DHA-supplemented and control group at age 5 yrs in females; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6,,Table S8 DMRs between the DHA-supplemented and control group at age 5 yrs in females,Table S8 DMRs between the DHA-supplemented and control group at age 5 yrs in females: 1.0 | 2.0 | 3.0 | 4.0 | 5.0 | 6.0 | 7.0 | 8.0,Table S8 DMRs between the DHA-supplemented and control group at age 5 yrs in females,1
RCTC-03207,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03207/12871_2016_279_MOESM1_ESM.xlsx,12871_2016_279_MOESM1_ESM.xlsx,base,readable,,67,13,No.; Group; Sex; Age; Height; Weight; BMI; ASA; Unnamed: 8; Mallampati; Cormack-Lehane; Difficulty of intubation; ANE time,,Group,Group: F | O,Weight; BMI,1
RCTC-03207,download,rct_expansion/provenance/manual_check_verification_2026_06_09/downloads/RCTC-03207/12871_2016_279_MOESM1_ESM.xlsx,12871_2016_279_MOESM1_ESM.xlsx,BP&HR,readable,,69,29,Unnamed: 0; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 20; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28,,,,,0
