candidate_id,final_qualification,is_qualified_for_cleaning_queue,title,repository,dataset_doi,publication_doi,url,download_status_summary,automated_decision,downloaded_file_count,download_failed_count,readable_table_count,license_status_from_screen,final_reason,key_tables,treatment_evidence,outcome_evidence,next_action,manual_inspection_note
RCTC-00079,not_qualified_before_cleaning,no,Background data for: Patient-Tailored Levothyroxine Dosage with Pharmacokinetic/Pharmacodynamic Modeling: A Novel Approach After Total Thyroidectomy,DataverseNO,10.18710/t5bq22,10.1089/thy.2021.0125,https://dataverse.no/citation?persistentId=doi:10.18710/T5BQ22,no data file downloaded,not_qualified_before_cleaning,0,0,0,pass,DataverseNO API returned 403 during official access attempt.,,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03215,not_qualified_before_cleaning,no,Additional file 1: Table S1. of Effect of prenatal DHA supplementation on the infant epigenome: results from a randomized controlled trial,Figshare,10.6084/m9.figshare.c.3619169_d2.v1,10.1186/s13148-016-0281-7,https://springernature.figshare.com/articles/dataset/Additional_file_1_Table_S1_of_Effect_of_prenatal_DHA_supplementation_on_the_infant_epigenome_results_from_a_randomized_controlled_trial/4388267/1,downloaded 1 file(s); 8 readable table(s),qualified_for_cleaning,1,0,8,pass,"Downloaded workbook is aggregate epigenome/DMR supplementary tables, not participant-level randomized trial data.",13148_2016_281_MOESM1_ESM.xlsx:S1 Global methylation 450K rows>=13 cols=7 | 13148_2016_281_MOESM1_ESM.xlsx:S2 VMRs rows>=1000 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S3 Newborn DMRs adj cell type rows>=24 cols=7 | 13148_2016_281_MOESM1_ESM.xlsx:S4 Newborn Male DMRs rows>=129 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S5 Newborn Female DMRs rows>=74 cols=8 | 13148_2016_281_MOESM1_ESM.xlsx:S6 5 yr DMRs rows>=12 cols=9,Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture  | Table S4 DMRs between the DHA-supplemented and control group at birth in males | Table S5 DMRs between the DHA-supplemented and control group at birth in females | Table S6 DMRs between the DHA-supplemented and control group at age 5 years,Table S2 Variable Methylated Regions (VMRs) at birth | Table S3 DMRs between the DHA-supplemented and control group at birth with adjustment for cell mixture  | Table S4 DMRs between the DHA-supplemented and control group at birth in males | Table S5 DMRs between the DHA-supplemented and control group at birth in females,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03207,qualified_for_cleaning,yes,Additional file 1: of Comparison of hemodynamic response to tracheal intubation and postoperative pain in patients undergoing closed reduction of nasal bone fracture under general anesthesia: a randomized controlled trial comparing fentanyl and oxycodone,Figshare,10.6084/m9.figshare.c.3613661_d1.v1,10.1186/s12871-016-0279-x,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Comparison_of_hemodynamic_response_to_tracheal_intubation_and_postoperative_pain_in_patients_undergoing_closed_reduction_of_nasal_bone_fracture_under_general_anesthesia_a_randomized_controlled_trial_comparing_fentanyl_and_oxycodone/4370921/1,downloaded 1 file(s); 5 readable table(s),qualified_for_cleaning,1,0,5,pass,"Participant-level anesthesia RCT workbook; arm in Group column (F/O), baseline characteristics and postoperative/hemodynamic outcomes present.",12871_2016_279_MOESM1_ESM.xlsx:base rows>=67 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:BP&HR rows>=69 cols=29 | 12871_2016_279_MOESM1_ESM.xlsx:Hemodynamic changes rows>=68 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:complications rows>=76 cols=10,Group | Group | Group,Weight; BMI | Post 1; Post 2; Post 3; Post 4; Post 5; Delta MBP/Pre induction; Post induction HR; Delta HR | Delta MBP>40%; Delta HR>20% | Pain(VAS),Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-05855,qualified_for_cleaning,yes,Additional file 1: of Effects of nutrition education on recurrent coronary events after percutaneous coronary intervention: A randomized clinical trial,Figshare,10.6084/m9.figshare.c.3597956_d2.v1,10.1186/s40795-016-0111-5,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Effects_of_nutrition_education_on_recurrent_coronary_events_after_percutaneous_coronary_intervention_A_randomized_clinical_trial/4323647/1,downloaded 1 file(s); 2 readable table(s),qualified_for_cleaning,1,0,2,pass,"Participant-level PCI nutrition-education RCT raw database; id, two-arm group, baseline covariates, and recurrent-event outcomes present.",40795_2016_111_MOESM1_ESM.xlsx:raw database rows>=200 cols=34 | 40795_2016_111_MOESM1_ESM.xlsx:variables rows>=23 cols=4,group | group; 1 = intervention; 2=control,,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-01009,not_qualified_before_cleaning,no,Additional file 1: of Rationale and design of the PLACID study: a randomised trial comparing the efficacy and safety of inhaled loxapine versus IM aripiprazole in acutely agitated patients with schizophrenia or bipolar disorder,Figshare,10.6084/m9.figshare.c.3734041_d1,10.1186/s12888-017-1291-5,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Rationale_and_design_of_the_PLACID_study_a_randomised_trial_comparing_the_efficacy_and_safety_of_inhaled_loxapine_versus_IM_aripiprazole_in_acutely_agitated_patients_with_schizophrenia_or_bipolar_disorder/4817128,downloaded 1 file(s); 0 readable table(s),needs_manual_review_before_cleaning,1,0,0,pass,"Downloaded file is ethics committee/IRB site list only, not trial participant data.",,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03182,not_qualified_before_cleaning,no,Additional file 1: of Virtual patients in the acquisition of clinical reasoning skills: does presentation mode matter? A quasi-randomized controlled trial,Figshare,10.6084/m9.figshare.c.3881320_d1,10.1186/s12909-017-1004-2,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Virtual_patients_in_the_acquisition_of_clinical_reasoning_skills_does_presentation_mode_matter_A_quasi-randomized_controlled_trial/5413273,downloaded 1 file(s); 1 readable table(s),not_qualified_before_cleaning,1,0,1,pass,Downloaded medical-education quasi-randomized dataset lacks a usable treatment assignment for participant-level RCT cleaning.,12909_2017_1004_MOESM1_ESM.xlsx:Additional file 1 rows>=97 cols=74,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-05858,not_qualified_before_cleaning,no,Additional file 2: Table S1. of A randomized trial of the efficacy and safety of quilizumab in adults with inadequately controlled allergic asthma,Figshare,10.6084/m9.figshare.c.3616040_d2.v1,10.1186/s12931-016-0347-2,https://springernature.figshare.com/articles/dataset/Additional_file_2_Table_S1_of_A_randomized_trial_of_the_efficacy_and_safety_of_quilizumab_in_adults_with_inadequately_controlled_allergic_asthma/4378361/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Downloaded quilizumab file is a subgroup summary table, not participant-level treatment/outcome data.",12931_2016_347_MOESM2_ESM.xlsx:Sheet1 rows>=69 cols=5,,,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-05849,not_qualified_before_cleaning,no,Additional file 2: of A randomized trial of an intervention to improve resident-fellow teaching interactions on the wards,Figshare,10.6084/m9.figshare.c.3640964_d1.v1,10.1186/s12909-016-0796-9,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_A_randomized_trial_of_an_intervention_to_improve_resident-fellow_teaching_interactions_on_the_wards/4457285/1,downloaded 1 file(s); 1 readable table(s),qualified_for_cleaning,1,0,1,pass,Downloaded resident-fellow teaching survey lacks participant IDs/pairing and is a medical-education survey rather than a patient-level clinical RCT dataset.,12909_2016_796_MOESM2_ESM.xlsx:Data rows>=117 cols=14,Group,Rate communication,Do not add to active cleaning queue unless the stated blocker is resolved.,
RCTC-03212,qualified_for_cleaning,yes,Additional file 2: of Efficacy and safety assessment of acupuncture and nimodipine to treat mild cognitive impairment after cerebral infarction: a randomized controlled trial,Figshare,10.6084/m9.figshare.c.3602990_d1.v1,10.1186/s12906-016-1337-0,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Efficacy_and_safety_assessment_of_acupuncture_and_nimodipine_to_treat_mild_cognitive_impairment_after_cerebral_infarction_a_randomized_controlled_trial/4338227/1,downloaded 1 file(s); 3 readable table(s),not_qualified_before_cleaning,1,0,3,pass,"Participant-level MoCA outcome workbook; treatment assignment is encoded by arm-specific sheets (Nimodipine, Acupuncture, Nimodipine+Acupuncture).",12906_2016_1337_MOESM2_ESM.xlsx:Nimodipine rows>=39 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:Acupuncture rows>=40 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:nimodipine +acupuncture rows>=40 cols=4,,post-treament 3 month follow-up | post-treament 3 month follow-up | post-treament 3 month follow-up,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-00458,qualified_supporting_same_trial,yes,Additional file 2: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,Figshare,10.6084/m9.figshare.c.3603329_d3.v1,10.1186/s12913-016-1384-8,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Impact_of_a_community_pharmacist-led_medication_review_on_medicines_use_in_patients_on_polypharmacy_-_a_prospective_randomised_controlled_trial/4339370/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Same medication-review RCT as RCTC-00459; file contains patient IDs, study group, ATC medication rows, and MPR outcome, useful as supporting/derived outcome source.",12913_2016_1384_MOESM2_ESM.xlsx:Tabelle1 rows>=1000 cols=6,Study group,,Read primary publication and map primary outcome/covariates before cleaning.,
