candidate_id,final_qualification,is_qualified_for_cleaning_queue,title,repository,dataset_doi,publication_doi,url,download_status_summary,automated_decision,downloaded_file_count,download_failed_count,readable_table_count,license_status_from_screen,final_reason,key_tables,treatment_evidence,outcome_evidence,next_action,manual_inspection_note
RCTC-03207,qualified_for_cleaning,yes,Additional file 1: of Comparison of hemodynamic response to tracheal intubation and postoperative pain in patients undergoing closed reduction of nasal bone fracture under general anesthesia: a randomized controlled trial comparing fentanyl and oxycodone,Figshare,10.6084/m9.figshare.c.3613661_d1.v1,10.1186/s12871-016-0279-x,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Comparison_of_hemodynamic_response_to_tracheal_intubation_and_postoperative_pain_in_patients_undergoing_closed_reduction_of_nasal_bone_fracture_under_general_anesthesia_a_randomized_controlled_trial_comparing_fentanyl_and_oxycodone/4370921/1,downloaded 1 file(s); 5 readable table(s),qualified_for_cleaning,1,0,5,pass,"Participant-level anesthesia RCT workbook; arm in Group column (F/O), baseline characteristics and postoperative/hemodynamic outcomes present.",12871_2016_279_MOESM1_ESM.xlsx:base rows>=67 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:BP&HR rows>=69 cols=29 | 12871_2016_279_MOESM1_ESM.xlsx:Hemodynamic changes rows>=68 cols=13 | 12871_2016_279_MOESM1_ESM.xlsx:complications rows>=76 cols=10,Group | Group | Group,Weight; BMI | Post 1; Post 2; Post 3; Post 4; Post 5; Delta MBP/Pre induction; Post induction HR; Delta HR | Delta MBP>40%; Delta HR>20% | Pain(VAS),Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-05855,qualified_for_cleaning,yes,Additional file 1: of Effects of nutrition education on recurrent coronary events after percutaneous coronary intervention: A randomized clinical trial,Figshare,10.6084/m9.figshare.c.3597956_d2.v1,10.1186/s40795-016-0111-5,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Effects_of_nutrition_education_on_recurrent_coronary_events_after_percutaneous_coronary_intervention_A_randomized_clinical_trial/4323647/1,downloaded 1 file(s); 2 readable table(s),qualified_for_cleaning,1,0,2,pass,"Participant-level PCI nutrition-education RCT raw database; id, two-arm group, baseline covariates, and recurrent-event outcomes present.",40795_2016_111_MOESM1_ESM.xlsx:raw database rows>=200 cols=34 | 40795_2016_111_MOESM1_ESM.xlsx:variables rows>=23 cols=4,group | group; 1 = intervention; 2=control,,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-03212,qualified_for_cleaning,yes,Additional file 2: of Efficacy and safety assessment of acupuncture and nimodipine to treat mild cognitive impairment after cerebral infarction: a randomized controlled trial,Figshare,10.6084/m9.figshare.c.3602990_d1.v1,10.1186/s12906-016-1337-0,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Efficacy_and_safety_assessment_of_acupuncture_and_nimodipine_to_treat_mild_cognitive_impairment_after_cerebral_infarction_a_randomized_controlled_trial/4338227/1,downloaded 1 file(s); 3 readable table(s),not_qualified_before_cleaning,1,0,3,pass,"Participant-level MoCA outcome workbook; treatment assignment is encoded by arm-specific sheets (Nimodipine, Acupuncture, Nimodipine+Acupuncture).",12906_2016_1337_MOESM2_ESM.xlsx:Nimodipine rows>=39 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:Acupuncture rows>=40 cols=4 | 12906_2016_1337_MOESM2_ESM.xlsx:nimodipine +acupuncture rows>=40 cols=4,,post-treament 3 month follow-up | post-treament 3 month follow-up | post-treament 3 month follow-up,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-00458,qualified_supporting_same_trial,yes,Additional file 2: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,Figshare,10.6084/m9.figshare.c.3603329_d3.v1,10.1186/s12913-016-1384-8,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Impact_of_a_community_pharmacist-led_medication_review_on_medicines_use_in_patients_on_polypharmacy_-_a_prospective_randomised_controlled_trial/4339370/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Same medication-review RCT as RCTC-00459; file contains patient IDs, study group, ATC medication rows, and MPR outcome, useful as supporting/derived outcome source.",12913_2016_1384_MOESM2_ESM.xlsx:Tabelle1 rows>=1000 cols=6,Study group,,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-00459,qualified_for_cleaning,yes,Additional file 3: of Impact of a community pharmacist-led medication review on medicines use in patients on polypharmacy - a prospective randomised controlled trial,Figshare,10.6084/m9.figshare.c.3603329_d1.v1,10.1186/s12913-016-1384-8,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Impact_of_a_community_pharmacist-led_medication_review_on_medicines_use_in_patients_on_polypharmacy_-_a_prospective_randomised_controlled_trial/4339337/1,downloaded 1 file(s); 1 readable table(s),needs_manual_review_before_cleaning,1,0,1,pass,"Participant-level medication-review RCT file; Pat ID, study group, baseline sex/region/nDrugs, and DPPR outcome present.",12913_2016_1384_MOESM3_ESM.xlsx:Tabelle1 rows>=293 cols=6,Study group,,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-03185,qualified_for_cleaning,yes,Additional files 2: of The MOVE-trial: MonocrylÂŽ vs. Vicryl Rapideâ ˘ for skin repair in mediolateral episiotomies: a randomized controlled trial,Figshare,10.6084/m9.figshare.c.3906040_d2,10.1186/s12884-017-1545-8,https://springernature.figshare.com/articles/dataset/Additional_files_2_of_The_MOVE-trial_Monocryl_vs_Vicryl_Rapide_for_skin_repair_in_mediolateral_episiotomies_a_randomized_controlled_trial/5504932,downloaded 1 file(s); inspected with R readxl (older .xls),needs_manual_review_before_cleaning,1,0,1,pass,"Older XLS opened with R readxl; MOVE trial participant-level records include treatment code (1=Monocryl, 2=Vicryl) and pain/wound-healing outcomes.",12884_2017_1545_MOESM2_ESM.xls:Blad1 rows>=8 sampled cols=50; participant-level treatment/outcomes confirmed with R readxl,,,Read primary publication and map primary outcome/covariates before cleaning.,Automated pandas inspection could not open old .xls because xlrd is unavailable; R readxl opened it and confirmed participant-level fields.
RCTC-04202,qualified_for_cleaning,yes,Additional file 1 of Improving malaria preventive practices and pregnancy outcomes through a health education intervention: A randomized controlled trial,figshare,10.6084/m9.figshare.13627127.v1,10.1186/s12936-021-03586-5,https://springernature.figshare.com/articles/dataset/Additional_file_1_of_Improving_malaria_preventive_practices_and_pregnancy_outcomes_through_a_health_education_intervention_A_randomized_controlled_trial/13627127/1,downloaded 1 file(s); 1 readable table(s),qualified_for_cleaning,1,0,1,pass,"Participant-level malaria-prevention/pregnancy RCT workbook; GROUP, baseline covariates, malaria prevention measures, pregnancy outcome, and birth weight present.",12936_2021_3586_MOESM1_ESM.xlsx:Sheet1 rows>=371 cols=31,GROUP,PREG_OUTCOME; BIRTH_WEIGHT,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-07219,qualified_for_cleaning,yes,"Replication Data for ""The Impact of Text Message Reminders on Adherence to Antimalarial Treatment""",Harvard Dataverse,10.7910/dvn/fomqoo,10.1371/journal.pone.0109032,https://doi.org/10.7910/DVN/FOMQOO,downloaded 3 file(s); 2 readable table(s),not_qualified_before_cleaning,3,0,2,fail_or_unclear,"Harvard Dataverse metadata license is CC0; participant-level antimalarial SMS reminder data downloaded with ID, treatment indicators, baseline variables, and outcomes.",PACT_30March2012.tab:delimited rows>=1000 cols=567,treated_ate; _treated_itt; _treated_mhis,_FU_outcome; eFUattp1_e18_IWoutcome; eFUattp2_e18_IWoutcome; eFUattp3_e18_IWoutcome; eFUattp_phoneFU_IWoutcome; eFUattp_phoneFU_e18_IWoutcome; eFUbackcheck_e18_IWoutcome; l1_postpone; m1_symptoms; p11e_vomit; p12e_vomit; p13e_vomit; p14e_vomit; p15e_vomit; p16e_vomit; p22_weightkg; r13a_msgchange; r13b_msgchange; r13c_msgchange; r13d_msgchange; r13e_msgchange; r13f_msgchange; r13g_msgchange; v2j_accepted; matching_quality; MHIS_match_quality,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-06852,qualified_with_license_caveat,yes,Impact of mobile message reminders on tuberculosis treatment outcomes in Pakistan,Impact Evaluation Dataverse,10.7910/dvn/tpraot,,https://doi.org/10.7910/DVN/TPRAOT,downloaded 7 file(s); 6 readable table(s),not_qualified_before_cleaning,7,0,6,fail_or_unclear,"TB SMS reminder RCT data downloaded through official Dataverse guestbook using the repository-specified identity; participant-level treatment/outcome file has 2,207 unique patient IDs. Terms are CC BY-NC-SA 4.0, so reuse needs attribution, noncommercial use, and share-alike compliance.",secondaryoutcomedata_3ie.tab:delimited rows>=1000 cols=82 | Secondary Outcomes data Codebook_3IE.xlsx:Sheet1 rows>=86 cols=4 | Treatment Outcomes and Baseline Data Codebook_3IE.xlsx:Sheet1 rows>=175 cols=4 | txoutcomeandbaselinedata_3ie.tab:delimited rows>=1000 cols=162 | zindagisystemresponsedata_3ie.tab:delimited rows>=1000 cols=21 | Zindagi System Response data Codebook_3IE.xlsx:Sheet1 rows>=20 cols=3,treatsupp; hhtreatsupp; daysfirsttreat,outcome | selfoutcome; outcome; primary; secondary | resprate; twowkresprate,Read primary publication and map primary outcome/covariates before cleaning.,
RCTC-03313,qualified_for_cleaning,yes,"Laryngeal mask vs. laryngeal tube trial in pediatric patients (LaMaTuPe): a single-blinded, open-label, randomized controlled trial [data]",heiDATA,10.11588/data/j7zitw,10.1097/mej.0000000000001178,https://heidata.uni-heidelberg.de/citation?persistentId=doi:10.11588/data/J7ZITW,downloaded 1 file(s); 3 readable table(s),not_qualified_before_cleaning,1,0,3,fail_or_unclear,"heiDATA metadata license is CC BY 4.0; participant-level pediatric airway RCT workbook includes Studienarm, baseline/anesthesia covariates, and insertion/safety outcomes.",Anonymised_Data_LaMaTuPe_2024-01-23.xlsx:Datensatz LaMaTuPe rows>=254 cols=79 | Anonymised_Data_LaMaTuPe_2024-01-23.xlsx:Legende SPSS rows>=26 cols=8 | Anonymised_Data_LaMaTuPe_2024-01-23.xlsx:Glossar rows>=86 cols=17,Studienarm,Komplikationen postop; postop. Schmerztherapie; Schmerzen Mund-Rachenraum postop,Read primary publication and map primary outcome/covariates before cleaning.,
