manual_download_category,candidate_id,title,repository,dataset_doi,publication_doi,url,final_reason,download_status_summary
technical_download_or_api_blocker,RCTC-00079,Background data for: Patient-Tailored Levothyroxine Dosage with Pharmacokinetic/Pharmacodynamic Modeling: A Novel Approach After Total Thyroidectomy,DataverseNO,10.18710/t5bq22,10.1089/thy.2021.0125,https://dataverse.no/citation?persistentId=doi:10.18710/T5BQ22,DataverseNO API returned 403 during official access attempt.,no data file downloaded
technical_download_or_api_blocker,RCTC-00206,NTNU Intranasal Naloxone Trial (NINA-1) Study documents,DataverseNO,10.18710/abruww,,https://dataverse.no/citation?persistentId=doi:10.18710/ABRUWW,DataverseNO API returned 403 during official access attempt.,no data file downloaded
technical_download_or_api_blocker,RCTC-06889,Increasing Community College Completion Rates among Low-Income Students: Evidence from a Randomized Controlled Trial Evaluation of a Case Management Intervention,ICPSR Harvested Dataverse,10.3886/e120838v1,10.3886/e120838,https://doi.org/10.3886/E120838V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06946,Who has been studied in PTSD clinical trials?,ICPSR Harvested Dataverse,10.3886/e245213v1,10.3886/e245213,https://doi.org/10.3886/E245213V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06947,Who has been studied in PTSD clinical trials?,ICPSR Harvested Dataverse,10.3886/e245213,10.3886/e245213v1,https://doi.org/10.3886/E245213,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06961,Risk of Bias Assessment in the PTSD Repository,ICPSR Harvested Dataverse,10.3886/e238615,10.3886/e238615v1,https://doi.org/10.3886/E238615,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06962,Risk of Bias Assessment in the PTSD Repository,ICPSR Harvested Dataverse,10.3886/e238615v1,10.3886/e238615,https://doi.org/10.3886/E238615V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06972,PODER Familiar: Health Promotion for Latino Families of Children With IDD (PODER),ICPSR Harvested Dataverse,10.3886/e233931v1,10.3886/e233931,https://doi.org/10.3886/E233931V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06973,PRESCHOOL FIRST STEP TO SUCCESS: AN EFFICACY REPLICATION STUDY,ICPSR Harvested Dataverse,10.3886/e194849v1,10.1177/0014402920924848,https://doi.org/10.3886/E194849V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
technical_download_or_api_blocker,RCTC-06975,Improving Children's Understanding of Mathematical Equivalence: An Efficacy Study,ICPSR Harvested Dataverse,10.3886/e182542v1,10.3886/e182542,https://doi.org/10.3886/E182542V1,ICPSR/openICPSR DOI and project pages returned Cloudflare/challenge pages; no ethical no-login download path was available.,no data file downloaded
