candidate_id,repository,doi,title,final_queue,manual_priority,landing_url,doi_url,local_drop_dir,downloaded_file_count,registered_file_count,readable_table_count,license_status,publication_status,randomization_status,crossover_status,current_reasons,expected_file_names,official_download_urls,official_file_statuses,manual_action
RCTC-01363,Dryad,10.5061/dryad.vx0k6djsv,A comparative study between Vitamin K1 and K2 on vascular calcification in hemodialysis patients: a randomized controlled trial,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.vx0k6djsv,https://doi.org/10.5061/dryad.vx0k6djsv,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01363,0,2,0,pass,pass,pass,no,no data file downloaded; 2 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Raw_data.xlsx | read_me_file.docx,https://datadryad.org/api/v2/files/1216086/download | https://datadryad.org/api/v2/files/1216087/download,failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-01889,Dryad,10.5061/dryad.bnzs7h4gq,A feasibility randomized controlled superiority trial of fluticasone-vilanterol once daily use for the treatment of mild asthma in adults,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.bnzs7h4gq,https://doi.org/10.5061/dryad.bnzs7h4gq,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01889,0,2,0,pass,pass,pass,no,no data file downloaded; 2 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,asthma_data_for_repository(003).sav | README.txt,https://datadryad.org/api/v2/files/2423827/download | https://datadryad.org/api/v2/files/2423830/download,failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-00135,Dryad,10.5061/dryad.t4b8gtjg8,"Data and statistical codes for: Reliability of urological telesurgery compared to local surgery: A multicenter, randomised controlled trial",access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.t4b8gtjg8,https://doi.org/10.5061/dryad.t4b8gtjg8,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00135,0,12,0,pass,pass,pass,no,no data file downloaded; 12 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Clinical_and_Demographic_data_of_per-protocol_population_-_prostate_cancer.csv | Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.csv | Clinical_and_Demographic_data_of_per-protocol_population_-_renal_cancer.xlsx | Clinical_and_Demographic_data_of_withdraw_population_-_prostate__cancer.csv | Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.csv | Clinical_and_Demographic_data_of_withdraw_population_-_renal_cancer.xlsx | Data_of_Scales_-_30_Second_Chair_to_Stand_test.csv | Data_of_Scales_-_Clavien-Dindo_classification.csv | Data_of_Scales_-_EPIC-26.csv | Data_of_Scales_-_NASA_TLX.csv | Data_of_Scales_-_QoR-15.csv | telesurgery_system_monitoring_data.zip,https://datadryad.org/api/v2/files/4497788/download | https://datadryad.org/api/v2/files/4497789/download | https://datadryad.org/api/v2/files/4497826/download | https://datadryad.org/api/v2/files/4497790/download | https://datadryad.org/api/v2/files/4497791/download | https://datadryad.org/api/v2/files/4497825/download | https://datadryad.org/api/v2/files/4497792/download | https://datadryad.org/api/v2/files/4497795/download | https://datadryad.org/api/v2/files/4497794/download | https://datadryad.org/api/v2/files/4497793/download | https://datadryad.org/api/v2/files/4497796/download | https://datadryad.org/api/v2/files/4497798/download,failed | failed | failed | failed | failed | failed | failed | failed | failed | failed | failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-01930,Dryad,10.5061/dryad.7gt44,"Data from: 8-way randomized controlled trial of doxylamine, pyridoxine and dicyclomine for nausea and vomiting during pregnancy: restoration of unpublished information",not_qualified_before_cleaning,landing_page_check,https://datadryad.org/dataset/doi:10.5061/dryad.7gt44,https://doi.org/10.5061/dryad.7gt44,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01930,0,0,0,pass,pass,pass,no,no data file downloaded; participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,,,,Open the landing page and verify whether any participant-level data file exists; current official metadata exposed no usable data file.
RCTC-00888,Dryad,10.5061/dryad.87f03,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.87f03,https://doi.org/10.5061/dryad.87f03,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00888,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Dryad_data.xlsx,https://datadryad.org/api/v2/files/66549/download,failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-01937,Dryad,10.5061/dryad.p67jf576,Data from: A randomised controlled pilot study of standardised counselling and cost-free pharmacotherapy for smoking cessation among stroke and TIA patients,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.p67jf576,https://doi.org/10.5061/dryad.p67jf576,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01937,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,QuitPilot_Participants sp.sav,https://datadryad.org/api/v2/files/55002/download,failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-00893,Dryad,10.5061/dryad.8jf11,Data from: A randomised trial comparing the clinical effectiveness of different emergency department healthcare professionals in soft tissue injury management,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.8jf11,https://doi.org/10.5061/dryad.8jf11,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00893,0,4,0,pass,pass,pass,no,no data file downloaded; 4 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,Final results SSPS.sav | README_for_Final results SSPS.txt | README_for_SF6D results SSPS.txt | SF6D results SSPS.sav,https://datadryad.org/api/v2/files/32994/download | https://datadryad.org/api/v2/files/32995/download | https://datadryad.org/api/v2/files/32997/download | https://datadryad.org/api/v2/files/32996/download,failed | failed | failed | failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-01912,Dryad,10.5061/dryad.dz08kprtc,"Data from: A randomized, placebo-controlled phase 2 trial of laquinimod in primary progressive multiple sclerosis",access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.dz08kprtc,https://doi.org/10.5061/dryad.dz08kprtc,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-01912,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,19-11-21_ARPEGGIO_Revised_manuscript_Draft_2_Supplement_SUBMITTED.docx,https://datadryad.org/api/v2/files/596227/download,failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-00175,Dryad,10.5061/dryad.5q1j0,Data from: Adjunctive clindamycin for cellulitis: clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.5q1j0,https://doi.org/10.5061/dryad.5q1j0,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-00175,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,C4CAnonFinalDataCheck1612.ods,https://datadryad.org/api/v2/files/29891/download,failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
RCTC-05250,Dryad,10.5061/dryad.c3g48,Data from: Ambulatory versus inpatient management of severe nausea and vomiting of pregnancy: a randomized control trial with patient preference arm,access_failed_official_route,high_manual_browser,https://datadryad.org/dataset/doi:10.5061/dryad.c3g48,https://doi.org/10.5061/dryad.c3g48,rct_expansion/provenance/manual_download_rescue_2026_06_11/manual_downloads/RCTC-05250,0,1,0,pass,pass,pass,no,no data file downloaded; 1 download failure(s); participant-level rows not confirmed; treatment/group assignment not confirmed; outcomes not confirmed,HIP data NMJ et al Dryad .xlsx,https://datadryad.org/api/v2/files/44663/download,failed,Open the Dryad landing page in a browser and use the visible Download Dataset or file buttons; automation hit 401/403 but manual browser download may work.
