candidate_id,title,doi,repository,file_count,data_file_count,readable_table_count,extensions,qualification_decision,reasons,best_readable_tables,treatment_evidence,outcome_evidence
RCTC-00079,Background data for: Patient-Tailored Levothyroxine Dosage with Pharmacokinetic/Pharmacodynamic Modeling: A Novel Approach After Total Thyroidectomy,10.18710/t5bq22,,8,6,5,.pdf:2; .txt:6,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,Lab-results.txt:delimited rows=4443.0 cols=6.0 | Levothyroxine-Dosage.txt:delimited rows=607.0 cols=5.0 | Patient-demographic.txt:delimited rows=195.0 cols=6.0 | Thyrogen-Dosage.txt:delimited rows=78.0 cols=3.0,,
RCTC-00135,"Data and statistical codes for: Reliability of urological telesurgery compared to local surgery: A multicenter, randomised controlled trial",10.5061/dryad.t4b8gtjg8,,14,11,11,.csv:9; .md:2; .xlsx:2; .zip:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",0054ec8c-afba-4633-ab07-91771571fbd6.csv:delimited rows=63.0 cols=26.0 | 10a9a5b8-3722-4388-8ce7-e2547edcbff9.csv:delimited rows=33.0 cols=27.0 | 89dd4bc9-b96d-4a6e-b389-415a67e38f08.csv:delimited rows=63.0 cols=7.0 | d36db6ac-b7ac-4238-8336-376a79915ef1.xlsx:Clinical_and_Demographic_data_o rows=30.0 cols=29.0 | dfee11db-f016-4a24-bd99-0ed99b374233.csv:delimited rows=30.0 cols=29.0 | ea403a44-1ca9-4725-895e-910aa7e7153d.csv:delimited rows=33.0 cols=92.0 | eb1ce023-ebc0-4551-a956-e1e64b318c7a.csv:delimited rows=63.0 cols=8.0 | ed24a43e-ff35-4724-99d5-1dfa86b9b066.csv:delimited rows=63.0 cols=53.0,Random numbers; Random numbers; Baseline-Urinary control; 4w-Urinary control; 6w-Urinary control; Random numbers; Reoperation intervention,(A)Anterior/Posterior descriptor; 4 week follow-up; 6 week follow-up; Baseline-Score; 4w-Score; 6w-Score; Baseline-Total Score; 4w-Total Score; 6w-Total Score; Gleason Score; Postoperative hospitalization days; Length of days in critical care; Intra and post-operative blood transfusion; Mortality; (A) Anterior/Posterior descriptor; Blood loss(ml); Postoperative Hemoglobin; Postoperative Blood creatinine; Postoperative hospitalization days; Length of days in critical care; Intra and post-operative blood transfusion; Mortality; Blood loss(ml); Gleason Score; Postoperative Hemoglobin(g/L); Surgeo
RCTC-00152,Effect of a tailored multidimensional intervention on the care burden among family caregivers of stroke survivors: A randomised controlled trial,10.5061/dryad.gf1vhhmm5,,1,1,4,.xlsx:1,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,RCTC-00152.xlsx:3-MONTH rows=110.0 cols=39.0 | RCTC-00152.xlsx:6-MONTH rows=110.0 cols=39.0 | RCTC-00152.xlsx:BASELINE DATA rows=110.0 cols=68.0 | RCTC-00152.xlsx:DATA LABELS AND IDENTIFICATIONS rows=67.0 cols=3.0,,
RCTC-00158,Data from: Are statin trials in diabetes representative of real-world diabetes care: a population-based study on statin initiators in Finland,10.5061/dryad.4m94c,,2,2,2,.xlsx:2,needs_manual_review_before_cleaning,treatment assignment not confirmed; outcomes not confirmed,Graph2a_nelson_data_Ruokoniemi.xlsx:graph2a_nelson_data_Ruokoniemi rows=5000.0 cols=3.0 | Graph2b_nelson_data_Ruokoniemi.xlsx:Graph2b_nelson_data_Ruokoniemi2 rows=5000.0 cols=3.0,,
RCTC-00161,Data from: Long-term use benefits of personal frequency-modulated systems for speech in noise perception in patients with stroke with auditory processing deficits: a non-randomised controlled trial study,10.5061/dryad.3hg4k,,1,1,1,.xlsx:1,not_qualified_before_cleaning,Readable tables do not appear participant-level.,,,
RCTC-00166,Data from: Strategies for understanding and reducing the Plasmodium vivax and Plasmodium ovale hypnozoite reservoir in Papua New Guinean children: a randomised placebo-controlled trial and mathematical model,10.5061/dryad.m1n03,,13,13,13,.dta:13,needs_manual_review_before_cleaning,outcomes not confirmed,Albinama_Table1.dta:dta rows=504.0 cols=14.0 | Albinama_Table2_Po.dta:dta rows=504.0 cols=8.0 | Albinama_Table2_Pv_LM.dta:dta rows=504.0 cols=8.0 | Albinama_Table2_Pv_PCR.dta:dta rows=499.0 cols=8.0 | Albinama_Table2_Pv_clin.dta:dta rows=504.0 cols=8.0 | Albinama_Table2_Pvg.dta:dta rows=504.0 cols=8.0 | Albinama_Table3_0-3mo.dta:dta rows=504.0 cols=10.0 | Albinama_Table3_0-8mo.dta:dta rows=504.0 cols=10.0 | Albinama_Table3_4-8mo.dta:dta rows=504.0 cols=10.0 | Albinama_Table4_Pf_LM.dta:dta rows=504.0 cols=7.0 | Albinama_Table4_Pf_PCR.dta:dta rows=502.0 cols=7.0 | Albinama_Table4_Pf_clin.dta:dta rows=504.0 cols=7.0 | Albinama_Table4_Pm_PCR.dta:dta rows=504.0 cols=7.0,treat2,
RCTC-00167,Data from: Randomised controlled trial of an education and support package for stroke patients and their carers,10.5061/dryad.4ms68,,2,2,2,.xlsx:2,needs_manual_review_before_cleaning,treatment assignment not confirmed,ALL_demographics+and+baseline_RCTC00167.xlsx:Sheet1 rows=138.0 cols=37.0 | ANALYSED_RCT_Whole+group_RCTC00167.xlsx:Sheet1 rows=119.0 cols=61.0,,HADSdepress; iihadsdepress; fuhadsdepress
RCTC-00170,"Data from: Can recombinant human thrombomodulin increase survival among patients with severe septic-induced disseminated intravascular coagulation: a single-centre, open-label, randomised controlled trial",10.5061/dryad.2n6v4,,1,1,1,.xlsx:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",coagulation_data_clean_R Open data.xlsx:coagulation_data_clean_R rows=92.0 cols=178.0,Treatment rhTM (T) Control ?; Treatment,Death =1 Alive = 0 28 day; Death = 1   Alive = 0   90 day Cencer
RCTC-00173,Data from: Cost-effectiveness of a specialist geriatric medical intervention for frail older people discharged from acute medical units: economic evaluation in a two-centre randomised controlled trial (AMIGOS),10.5061/dryad.6vh02,,1,1,6,.xlsx:1,qualified_for_publication_review,"Participant-level rows, likely treatment assignment, and likely outcome fields detected.",AMIGOS economic evaluation dataset.xlsx:clinical data rows=417.0 cols=66.0 | AMIGOS economic evaluation dataset.xlsx:inpatient and daycase rows=924.0 cols=9.0 | AMIGOS economic evaluation dataset.xlsx:intervention rows=205.0 cols=7.0 | AMIGOS economic evaluation dataset.xlsx:outpatient rows=1497.0 cols=5.0 | AMIGOS economic evaluation dataset.xlsx:primary & tertiary (Nottingham) rows=417.0 cols=7.0 | AMIGOS economic evaluation dataset.xlsx:social care rows=475.0 cols=5.0,Intervention; TREATMENT_FUNCTION_CODE,Duration.of.follow.up.phone.calls..hrs.; TYPE (new visit = ON; follow up visit = OF); pi_pres_wl (weight loss); charlson comorbidity score; pi_eq5d_pain; pi_eq5d_anx (anxiety/depression); pi_feed_b; po_eq5d_pain; po_feed_b; Dead at follow up (=1); Days in study until death
RCTC-00175,Data from: Adjunctive clindamycin for cellulitis: clinical trial comparing flucloxacillin with or without clindamycin for the treatment of limb cellulitis,10.5061/dryad.5q1j0,,1,1,4,.ods:1,needs_manual_review_before_cleaning,treatment assignment not confirmed,C4CAnonFinalDataCheck1612.ods:AnonData rows=410.0 cols=145.0 | C4CAnonFinalDataCheck1612.ods:CodeTables rows=25.0 cols=10.0 | C4CAnonFinalDataCheck1612.ods:FieldExpansion rows=142.0 cols=2.0,,"No antibiotic data is included as this was found to be of poor quality. The data was re-analysed from the data enty forms after the primary analysis. The errors mostly resulted from an inconsistency in recording the number of days, as the start point was not defined. No data on dosing was uploaded as this was inconsistently recorded and very variable. No data on route was consistently available.; Pain; BLPainScore; BLHealthTodayScore; BLEuroqolPain; tblFollowUpDay5_UpperAffectedArea; tblFollowUpDay5_LowerAffectedArea; D5PainScore; tblFollowUpDay10_UpperAffectedArea; tblFollowUpDay10_LowerAffec"
