Trial_ID,candidate_id,variable_name,variable_type,brief_explanation
97,RCTC-00152,Treatment,Treatment assignment,Treatment
97,RCTC-00152,X_caregiver_age,Baseline covariate,X caregiver age
97,RCTC-00152,X_caregiver_sex,Baseline covariate,X caregiver sex
97,RCTC-00152,X_duration_stroke_months,Baseline covariate,X duration stroke months
97,RCTC-00152,X_qol_bref_0m,Baseline covariate,X qol bref 0m
97,RCTC-00152,X_zarit_burden_0m,Baseline covariate,X zarit burden 0m
97,RCTC-00152,YP_zarit_burden_3m,Primary outcome,YP zarit burden 3m
97,RCTC-00152,YS_qol_bref_3m,Secondary outcome,YS qol bref 3m
97,RCTC-00152,YS_qol_bref_6m,Secondary outcome,YS qol bref 6m
97,RCTC-00152,YS_zarit_burden_6m,Secondary outcome,YS zarit burden 6m
98,RCTC-00166,Treatment,Treatment assignment,Treatment
98,RCTC-00166,X_age_years,Baseline covariate,X age years
98,RCTC-00166,X_pvivax_enroll,Baseline covariate,X pvivax enroll
98,RCTC-00166,X_village_group,Baseline covariate,X village group
98,RCTC-00166,YP_pvivax_qpcr_infection_8m,Primary outcome,YP pvivax qpcr infection 8m
98,RCTC-00166,YS_time_to_pvivax_qpcr_days,Secondary outcome,YS time to pvivax qpcr days
99,RCTC-00167,Treatment,Treatment assignment,Treatment
99,RCTC-00167,X_age_years,Baseline covariate,X age years
99,RCTC-00167,X_days_since_stroke_0m,Baseline covariate,X days since stroke 0m
99,RCTC-00167,X_gender,Baseline covariate,X gender
99,RCTC-00167,X_site,Baseline covariate,X site
99,RCTC-00167,X_stroke_knowledge_0m,Baseline covariate,X stroke knowledge 0m
99,RCTC-00167,YP_stroke_knowledge_3m,Primary outcome,YP stroke knowledge 3m
99,RCTC-00167,YS_hads_anxiety_3m,Secondary outcome,YS hads anxiety 3m
99,RCTC-00167,YS_hads_depression_3m,Secondary outcome,YS hads depression 3m
99,RCTC-00167,YS_self_efficacy_3m,Secondary outcome,YS self efficacy 3m
100,RCTC-00170,Treatment,Treatment assignment,Treatment
100,RCTC-00170,X_age_years,Baseline covariate,X age years
100,RCTC-00170,X_dic_score_0d,Baseline covariate,X dic score 0d
100,RCTC-00170,X_platelet_0d,Baseline covariate,X platelet 0d
100,RCTC-00170,X_sex,Baseline covariate,X sex
100,RCTC-00170,X_sofa_0d,Baseline covariate,X sofa 0d
100,RCTC-00170,YP_death_28d,Primary outcome,YP death 28d
100,RCTC-00170,YS_death_90d,Secondary outcome,YS death 90d
101,RCTC-00173,Treatment,Treatment assignment,Treatment
101,RCTC-00173,X_age_years,Baseline covariate,X age years
101,RCTC-00173,X_barthel_feed_0m,Baseline covariate,X barthel feed 0m
101,RCTC-00173,X_charlson_0m,Baseline covariate,X charlson 0m
101,RCTC-00173,X_eq5d_pain_0m,Baseline covariate,X eq5d pain 0m
101,RCTC-00173,X_sex,Baseline covariate,X sex
101,RCTC-00173,YP_eq5d_pain_3m,Primary outcome,YP eq5d pain 3m
101,RCTC-00173,YS_dead_3m,Secondary outcome,YS dead 3m
102,RCTC-00175,Treatment,Treatment assignment,Treatment
102,RCTC-00175,X_age_years,Baseline covariate,X age years
102,RCTC-00175,X_crp_0d,Baseline covariate,X crp 0d
102,RCTC-00175,X_pain_0d,Baseline covariate,X pain 0d
102,RCTC-00175,X_sex,Baseline covariate,X sex
102,RCTC-00175,YP_improved_day5,Primary outcome,YP improved day5
102,RCTC-00175,YS_diarrhoea_day5,Secondary outcome,YS diarrhoea day5
102,RCTC-00175,YS_pain_day5,Secondary outcome,YS pain day5
103,RCTC-00180,Treatment,Treatment assignment,Treatment
103,RCTC-00180,X_age_years,Baseline covariate,X age years
103,RCTC-00180,X_eq5d_pain_0m,Baseline covariate,X eq5d pain 0m
103,RCTC-00180,X_gender,Baseline covariate,X gender
103,RCTC-00180,X_npi_depression_0m,Baseline covariate,X npi depression 0m
103,RCTC-00180,YP_eq5d_pain_3m,Primary outcome,YP eq5d pain 3m
103,RCTC-00180,YS_mmse_3m,Secondary outcome,YS mmse 3m
103,RCTC-00180,YS_status_3m,Secondary outcome,YS status 3m
104,RCTC-00181,Treatment,Treatment assignment,Treatment
104,RCTC-00181,X_cam_medications,Baseline covariate,X cam medications
104,RCTC-00181,X_otc_medications,Baseline covariate,X otc medications
104,RCTC-00181,X_prn_medications,Baseline covariate,X prn medications
104,RCTC-00181,YP_total_medications,Primary outcome,YP total medications
104,RCTC-00181,YS_new_medications,Secondary outcome,YS new medications
104,RCTC-00181,YS_regular_medications,Secondary outcome,YS regular medications
105,RCTC-00888,Treatment,Treatment assignment,Treatment
105,RCTC-00888,X_bmi_14w,Baseline covariate,X bmi 14w
105,RCTC-00888,X_counts_per_day_14w,Baseline covariate,X counts per day 14w
105,RCTC-00888,X_maternal_age,Baseline covariate,X maternal age
105,RCTC-00888,X_weight_14w,Baseline covariate,X weight 14w
105,RCTC-00888,YP_counts_per_day_28w,Primary outcome,YP counts per day 28w
105,RCTC-00888,YS_counts_per_day_36w,Secondary outcome,YS counts per day 36w
105,RCTC-00888,YS_weight_28w,Secondary outcome,YS weight 28w
106,RCTC-00890,Treatment,Treatment assignment,Treatment
106,RCTC-00890,X_bdi_0w,Baseline covariate,X bdi 0w
106,RCTC-00890,X_hdrs_0w,Baseline covariate,X hdrs 0w
106,RCTC-00890,X_personality_type,Baseline covariate,X personality type
106,RCTC-00890,X_who5_0w,Baseline covariate,X who5 0w
106,RCTC-00890,YP_hdrs_18w,Primary outcome,YP hdrs 18w
106,RCTC-00890,YS_bdi_18w,Secondary outcome,YS bdi 18w
106,RCTC-00890,YS_who5_18w,Secondary outcome,YS who5 18w
107,RCTC-00893,Treatment,Treatment assignment,Treatment
107,RCTC-00893,X_age_years,Baseline covariate,X age years
107,RCTC-00893,X_fracture,Baseline covariate,X fracture
107,RCTC-00893,X_function_0w,Baseline covariate,X function 0w
107,RCTC-00893,X_qol_0w,Baseline covariate,X qol 0w
107,RCTC-00893,X_sex,Baseline covariate,X sex
107,RCTC-00893,YP_function_8w,Primary outcome,YP function 8w
107,RCTC-00893,YS_qol_8w,Secondary outcome,YS qol 8w
108,RCTC-01313,Treatment,Treatment assignment,Treatment
108,RCTC-01313,X_age_years,Baseline covariate,X age years
108,RCTC-01313,X_baseline_creatinine,Baseline covariate,X baseline creatinine
108,RCTC-01313,X_hospital,Baseline covariate,X hospital
108,RCTC-01313,X_initial_egfr,Baseline covariate,X initial egfr
108,RCTC-01313,X_sex,Baseline covariate,X sex
108,RCTC-01313,X_sofa_0d,Baseline covariate,X sofa 0d
108,RCTC-01313,YP_composite_14d,Primary outcome,YP composite 14d
108,RCTC-01313,YS_aki_progression_14d,Secondary outcome,YS aki progression 14d
108,RCTC-01313,YS_death_14d,Secondary outcome,YS death 14d
108,RCTC-01313,YS_dialysis_14d,Secondary outcome,YS dialysis 14d
109,RCTC-01363,Treatment,Treatment assignment,Treatment
109,RCTC-01363,X_age_years,Baseline covariate,X age years
109,RCTC-01363,X_ca_ph_product_0m,Baseline covariate,X ca ph product 0m
109,RCTC-01363,X_duration_dialysis_years,Baseline covariate,X duration dialysis years
109,RCTC-01363,X_gender,Baseline covariate,X gender
109,RCTC-01363,X_mgp_0m,Baseline covariate,X mgp 0m
109,RCTC-01363,X_pth_0m,Baseline covariate,X pth 0m
109,RCTC-01363,YP_mgp_post,Primary outcome,YP mgp post
109,RCTC-01363,YS_ca_ph_product_post,Secondary outcome,YS ca ph product post
110,RCTC-01383,Treatment,Treatment assignment,Treatment
110,RCTC-01383,X_ferritin_0w,Baseline covariate,X ferritin 0w
110,RCTC-01383,X_hgb_screening,Baseline covariate,X hgb screening
110,RCTC-01383,X_parity,Baseline covariate,X parity
110,RCTC-01383,X_tsat_0w,Baseline covariate,X tsat 0w
110,RCTC-01383,YP_hgb_4w,Primary outcome,YP hgb 4w
110,RCTC-01383,YS_hgb_8w,Secondary outcome,YS hgb 8w
110,RCTC-01383,YS_hgb_admission,Secondary outcome,YS hgb admission
111,RCTC-01888,Treatment,Treatment assignment,Treatment
111,RCTC-01888,X_cogevo_total_0w,Baseline covariate,X cogevo total 0w
111,RCTC-01888,X_decade,Baseline covariate,X decade
111,RCTC-01888,X_depression,Baseline covariate,X depression
111,RCTC-01888,X_moca_total_0w,Baseline covariate,X moca total 0w
