Trial_ID,candidate_id,outcome_variable,outcome_role,arm,statistic,paper_value,cleaned_value,status,notes
97,RCTC-00152,Treatment,allocation,Group 1,n,,55.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
97,RCTC-00152,Treatment,allocation,Group 2,n,,55.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
97,RCTC-00152,YP_zarit_burden_3m,primary,Group 1,mean,,34.38181818181818,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
97,RCTC-00152,YP_zarit_burden_3m,primary,Group 2,mean,,32.527272727272724,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
98,RCTC-00166,Treatment,allocation,Placebo,n,,254.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
98,RCTC-00166,Treatment,allocation,Primaquine,n,,245.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
98,RCTC-00166,YP_pvivax_qpcr_infection_8m,primary,Placebo,mean,,0.65748031496063,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
98,RCTC-00166,YP_pvivax_qpcr_infection_8m,primary,Primaquine,mean,,0.2571428571428571,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
99,RCTC-00167,Treatment,allocation,Control,n,,59.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
99,RCTC-00167,Treatment,allocation,Education support,n,,60.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
99,RCTC-00167,YP_stroke_knowledge_3m,primary,Control,mean,,18.728813559322035,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
99,RCTC-00167,YP_stroke_knowledge_3m,primary,Education support,mean,,19.75,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
100,RCTC-00170,Treatment,allocation,Control,n,,45.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
100,RCTC-00170,Treatment,allocation,rhTM,n,,47.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
100,RCTC-00170,YP_death_28d,primary,Control,mean,,0.2,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
100,RCTC-00170,YP_death_28d,primary,rhTM,mean,,0.1702127659574468,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
101,RCTC-00173,Treatment,allocation,Geriatric intervention,n,,205.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
101,RCTC-00173,Treatment,allocation,Standard care,n,,212.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
101,RCTC-00173,YP_eq5d_pain_3m,primary,Geriatric intervention,mean,,1.769736842105263,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
101,RCTC-00173,YP_eq5d_pain_3m,primary,Standard care,mean,,1.7666666666666666,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
102,RCTC-00175,Treatment,allocation,Flucloxacillin,n,,203.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
102,RCTC-00175,Treatment,allocation,Flucloxacillin + clindamycin,n,,207.0,descriptive_recovered,Arm counts recovered from cleaned participant-level data.
102,RCTC-00175,YP_improved_day5,primary,Flucloxacillin,mean,,0.8717948717948718,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
102,RCTC-00175,YP_improved_day5,primary,Flucloxacillin + clindamycin,mean,,0.813953488372093,descriptive_recovered,Primary-outcome descriptive mean computed for publication summary-stat screen.
